Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,45.093105,45.093105,44.830734,9.219956,0.0029405253,0.0029405253,0.002975692,6.448971e-09
2019-01-02,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,50.14799,50.14799,50.026245,2.4002433,0.00303543,0.00303543,0.0029664477,1.0415442e-08
2019-01-03,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,77.005806,77.005806,75.26524,8.219903,0.0035251973,0.0035251973,0.0035115676,1.87324e-09
2019-01-04,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,82.16408,82.16408,82.36134,3.2782867,0.0029140776,0.0029140776,0.0029236937,5.403766e-09
2019-01-05,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,56.75716,56.75716,55.34961,13.529819,0.0021336155,0.0021336155,0.0021604376,5.061802e-09
2019-01-06,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,47.17168,47.17168,46.762177,13.848807,0.0022940023,0.0022940023,0.0022906645,1.2677314e-09
2019-01-07,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,43.293835,43.293835,42.036346,5.267224,0.0016290932,0.0016290932,0.0016399412,2.0504654e-09
2019-01-08,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,42.021374,42.021374,40.607635,5.0160007,0.0014979687,0.0014979687,0.0015112406,1.4238952e-09
2019-01-09,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,87.816795,87.816795,86.739975,3.179162,0.0030065943,0.0030065943,0.0029511224,1.7574113e-08
2019-01-10,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,81.79998,81.79998,79.76645,23.106474,0.0044939024,0.0044939024,0.0045743687,3.5854924e-08
2019-01-11,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,54.863785,54.863785,53.603043,9.623726,0.0029243305,0.0029243305,0.0029423311,1.8611767e-09
2019-01-12,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,56.399517,56.399517,56.168396,4.451149,0.0024898218,0.0024898218,0.0024894243,7.5348155e-10
2019-01-13,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,50.250774,50.250774,48.85852,5.486351,0.0025296786,0.0025296786,0.0025292018,9.824058e-10
2019-01-14,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,58.24754,58.24754,58.639465,6.2895947,0.003061217,0.003061217,0.0030332028,6.662058e-09
2019-01-15,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,39.06541,39.06541,39.273743,3.538791,0.0018190574,0.0018190574,0.001831773,9.971693e-10
2019-01-16,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,39.22885,39.22885,38.972992,5.3575635,0.0025697835,0.0025697835,0.0025706775,1.1347604e-10
2019-01-17,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,43.040325,43.040325,43.215454,0.44492364,0.003175983,0.003175983,0.003106782,1.6709983e-08
2019-01-18,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,56.877777,56.877777,56.493988,4.4129643,0.0038045596,0.0038045596,0.0036977876,2.4308735e-08
2019-01-19,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,58.497746,58.497746,58.566757,3.1640656,0.0043758214,0.0043758214,0.0044455193,1.3417939e-08
2019-01-20,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,79.64864,79.64864,78.457886,12.165772,0.006292179,0.006292179,0.00638254,2.322608e-08
2019-01-21,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,68.61638,68.61638,68.2238,5.205029,0.005268857,0.005268857,0.0052520484,1.1635971e-08
2019-01-22,ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ,86.45243,86.45243,87.72749,4.430888,0.0061803,0.0061803,0.006067965,1.0022486e-07
