Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,47.941574,47.941574,47.53044,3.5666907,0.0030425685,0.0030425685,0.00303029,1.4310636e-08
2019-01-02,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,54.13098,54.13098,53.830933,3.8165553,0.0032693585,0.0032693585,0.0032620868,1.2512018e-09
2019-01-03,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,81.68321,81.68321,80.84923,32.216087,0.0041547017,0.0041547017,0.0041408734,9.567202e-09
2019-01-04,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,77.127945,77.127945,77.804214,28.477966,0.0034138823,0.0034138823,0.00341877,3.3032478e-08
2019-01-05,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,75.186035,75.186035,75.0293,0.5566032,0.0029792862,0.0029792862,0.0029901343,8.10418e-09
2019-01-06,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,52.921356,52.921356,52.95749,0.613142,0.002613662,0.002613662,0.0026274903,4.7765845e-09
2019-01-07,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,60.101044,60.101044,59.35324,22.850128,0.0026022284,0.0026022284,0.002586761,5.0242555e-08
2019-01-08,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,47.895233,47.895233,47.817596,1.1232502,0.0018071628,0.0018071628,0.0018009788,1.14935705e-08
2019-01-09,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,87.203354,87.203354,87.3098,31.001953,0.0040842067,0.0040842067,0.004058219,1.3814119e-07
2019-01-10,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,83.52768,83.52768,83.59653,24.930748,0.0065569086,0.0065569086,0.0065955026,1.9772438e-08
2019-01-11,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,56.374283,56.374283,56.491226,5.610523,0.0037031546,0.0037031546,0.003719516,1.7858026e-09
2019-01-12,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,61.405212,61.405212,61.45746,1.4786747,0.0036110645,0.0036110645,0.0036459928,3.033633e-08
2019-01-13,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,56.99231,56.99231,56.9093,14.198595,0.003094999,0.003094999,0.003092704,4.706235e-08
2019-01-14,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,62.89215,62.89215,62.79132,4.53658,0.0036569356,0.0036569356,0.003655535,5.9414077e-08
2019-01-15,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,35.796204,35.796204,35.63507,10.146599,0.0018974871,0.0018974871,0.0018966824,1.6533372e-08
2019-01-16,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,42.184418,42.184418,41.833344,1.7856219,0.0027518459,0.0027518459,0.0027234443,1.1962232e-08
2019-01-17,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,51.345093,51.345093,51.08557,5.9228144,0.00393557,0.00393557,0.003895769,7.4698704e-08
2019-01-18,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,67.267914,67.267914,67.66196,5.3908086,0.0048887776,0.0048887776,0.0048612105,9.069723e-08
2019-01-19,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,78.59215,78.59215,78.21031,11.301496,0.0062745176,0.0062745176,0.0062371753,8.9414755e-08
2019-01-20,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,86.64905,86.64905,87.10779,4.810853,0.0069702864,0.0069702864,0.0069829077,2.279656e-09
2019-01-21,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,79.333176,79.333176,78.94597,7.532598,0.006291166,0.006291166,0.0062794536,2.9154245e-08
2019-01-22,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,88.646194,88.646194,88.61714,8.002584,0.006715808,0.006715808,0.006720159,1.9373535e-07
2019-01-23,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,84.181656,84.181656,84.758804,10.360204,0.0076692626,0.0076692626,0.007677667,2.9118432e-09
2019-01-24,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,64.554596,64.554596,64.48599,0.28279513,0.005910759,0.005910759,0.005919044,1.691113e-09
2019-01-25,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,83.928375,83.928375,84.422516,3.3038082,0.006820421,0.006820421,0.0067935395,1.17443975e-08
2019-01-26,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,90.679245,90.679245,90.998825,3.8659892,0.005794632,0.005794632,0.0057465904,2.7262388e-07
2019-01-27,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,61.9825,61.9825,61.705643,3.8258495,0.0047209784,0.0047209784,0.004707657,4.6851568e-08
2019-01-28,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,75.49654,75.49654,74.947464,1.0136081,0.006362725,0.006362725,0.0063879825,1.7475966e-08
2019-01-29,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,83.34721,83.34721,83.75102,10.267328,0.007330131,0.007330131,0.0073437504,7.803437e-09
2019-01-30,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,85.35991,85.35991,85.9041,3.0360942,0.0068039373,0.0068039373,0.006816618,8.802463e-09
2019-01-31,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,80.85228,80.85228,80.775375,7.294654,0.005785309,0.005785309,0.0057943687,8.5690885e-09
2019-02-01,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,61.719208,61.719208,61.81662,12.461401,0.0057952385,0.0057952385,0.0057875197,8.818731e-08
2019-02-02,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,80.95015,80.95015,82.18794,13.133957,0.007514138,0.007514138,0.0075060315,3.7384854e-08
2019-02-03,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,85.932724,85.932724,85.63805,4.490614,0.008466516,0.008466516,0.008492265,5.6731977e-08
2019-02-04,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,87.68352,87.68352,87.98967,0.37667227,0.008575473,0.008575473,0.008581046,2.9189362e-10
2019-02-05,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,68.6568,68.6568,68.909,6.3156686,0.0066579245,0.0066579245,0.006634023,1.7001447e-08
2019-02-06,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,73.95349,73.95349,73.88147,6.9189577,0.0051644407,0.0051644407,0.005162727,1.3057187e-08
2019-02-07,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,65.44539,65.44539,65.80818,0.8748336,0.0041424353,0.0041424353,0.0041272063,3.571695e-09
2019-02-08,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,69.041046,69.041046,68.40286,3.2935557,0.0041861897,0.0041861897,0.004176176,7.698034e-09
2019-02-09,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,61.718216,61.718216,62.822464,19.499023,0.004161262,0.004161262,0.0041574175,4.5527628e-08
2019-02-10,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,65.51439,65.51439,65.88939,9.778919,0.005249409,0.005249409,0.005249737,3.4660076e-08
2019-02-11,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,67.54428,67.54428,68.46835,10.611034,0.006489128,0.006489128,0.0065204203,7.3905206e-08
2019-02-12,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,41.12166,41.12166,41.08235,0.24189872,0.003322916,0.003322916,0.003348546,5.0286992e-09
2019-02-13,ΔΗΜΟΣ ΑΡΙΣΤΟΤΕΛΗ,56.67833,56.67833,57.011826,21.000923,0.0031613505,0.0031613505,0.0031812883,3.216539e-08
