Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΓΙΑΣ,54.78752,54.78752,54.901047,6.835708,0.0033016698,0.0033016698,0.0033070939,5.8847043e-09
2019-01-02,ΔΗΜΟΣ ΑΓΙΑΣ,59.626587,59.626587,59.50183,0.41003674,0.003725185,0.003725185,0.003714188,1.2901774e-08
2019-01-03,ΔΗΜΟΣ ΑΓΙΑΣ,92.25206,92.25206,92.09825,14.246094,0.004258563,0.004258563,0.0042361217,3.6352777e-08
2019-01-04,ΔΗΜΟΣ ΑΓΙΑΣ,96.268326,96.268326,96.21242,3.0460515,0.00375193,0.00375193,0.0037526751,2.4799373e-08
2019-01-05,ΔΗΜΟΣ ΑΓΙΑΣ,75.242676,75.242676,75.48047,21.572311,0.0031440335,0.0031440335,0.003157206,4.789532e-08
2019-01-06,ΔΗΜΟΣ ΑΓΙΑΣ,53.51706,53.51706,53.564423,35.94915,0.0027822836,0.0027822836,0.0027866943,2.4366415e-08
2019-01-07,ΔΗΜΟΣ ΑΓΙΑΣ,60.34787,60.34787,59.920624,14.660904,0.0025515645,0.0025515645,0.0025467663,4.0027693e-08
2019-01-08,ΔΗΜΟΣ ΑΓΙΑΣ,45.735565,45.735565,45.48996,1.431931,0.0017899668,0.0017899668,0.0017803258,8.728123e-09
2019-01-09,ΔΗΜΟΣ ΑΓΙΑΣ,86.4702,86.4702,86.72679,23.006802,0.004252977,0.004252977,0.0042621265,5.2857224e-08
2019-01-10,ΔΗΜΟΣ ΑΓΙΑΣ,76.24838,76.24838,75.80551,6.3498983,0.006057809,0.006057809,0.006043325,3.7886757e-08
2019-01-11,ΔΗΜΟΣ ΑΓΙΑΣ,65.88551,65.88551,66.20314,12.975486,0.004379876,0.004379876,0.0043783262,6.218269e-08
2019-01-12,ΔΗΜΟΣ ΑΓΙΑΣ,72.5473,72.5473,72.11615,46.34714,0.0037227934,0.0037227934,0.0037428504,4.9658432e-08
2019-01-13,ΔΗΜΟΣ ΑΓΙΑΣ,56.697388,56.697388,56.698853,1.9068208,0.003030894,0.003030894,0.0030239203,1.3277191e-08
2019-01-14,ΔΗΜΟΣ ΑΓΙΑΣ,63.67267,63.67267,63.64679,8.33164,0.0036646544,0.0036646544,0.0036670982,7.220173e-09
2019-01-15,ΔΗΜΟΣ ΑΓΙΑΣ,33.679016,33.679016,33.68097,15.577232,0.0018136234,0.0018136234,0.0017868907,7.448341e-08
