Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,70.11736,70.11736,69.98259,4.295242,0.004418343,0.004418343,0.004417707,2.4495476e-08
2019-01-02,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,55.03227,55.03227,55.094604,1.6447102,0.003822768,0.003822768,0.0038430532,6.852965e-09
2019-01-03,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,85.312775,85.312775,85.47716,3.5398397,0.0048876996,0.0048876996,0.004920383,5.1244076e-09
2019-01-04,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,85.06463,85.06463,85.18996,2.1169357,0.0048156045,0.0048156045,0.0048715733,1.9344894e-08
2019-01-05,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,80.54313,80.54313,81.19971,25.379591,0.0038606797,0.0038606797,0.0039355233,3.2135564e-08
2019-01-06,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,51.905895,51.905895,52.20749,3.9341154,0.0030794328,0.0030794328,0.0031016453,5.2981175e-09
2019-01-07,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,89.37977,89.37977,89.0632,1.2699822,0.0036271007,0.0036271007,0.0036369949,3.228558e-09
2019-01-08,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,62.7354,62.7354,63.5007,21.709082,0.0027167844,0.0027167844,0.0027227348,3.21954e-08
2019-01-09,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,69.5489,69.5489,70.02464,1.7017959,0.0059271227,0.0059271227,0.0059208046,2.1367903e-08
2019-01-10,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,62.828785,62.828785,62.472992,1.9994744,0.0066883075,0.0066883075,0.006654094,3.427073e-08
2019-01-11,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,64.153984,64.153984,62.847183,18.665976,0.0050707534,0.0050707534,0.005032547,1.3065129e-07
2019-01-12,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,78.88682,78.88682,79.27338,17.294184,0.0051874686,0.0051874686,0.005236662,1.2577107e-07
2019-01-13,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,69.649864,69.649864,69.70569,1.2688239,0.004325527,0.004325527,0.004342852,1.2586283e-08
2019-01-14,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,63.065735,63.065735,62.566223,5.674028,0.004802666,0.004802666,0.0047969045,4.0122945e-08
2019-01-15,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,48.371723,48.371723,48.97882,10.109679,0.0030551981,0.0030551981,0.0030748278,4.7220876e-08
2019-01-16,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,41.718597,41.718597,41.80356,3.046631,0.0030602105,0.0030602105,0.003081102,1.5439314e-08
2019-01-17,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,55.10673,55.10673,55.28235,1.2566339,0.0045585725,0.0045585725,0.004581133,1.3736662e-09
2019-01-18,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,69.75147,69.75147,70.37045,4.0117826,0.0059306566,0.0059306566,0.005932604,8.726055e-09
2019-01-19,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,74.729034,74.729034,74.96959,0.80947036,0.006459024,0.006459024,0.0064893626,5.5856226e-09
2019-01-20,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,72.61202,72.61202,72.37341,2.691369,0.0067676553,0.0067676553,0.006738648,1.7861174e-08
2019-01-21,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,87.59344,87.59344,87.52409,1.554684,0.0071893185,0.0071893185,0.007214412,4.034154e-09
2019-01-22,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,77.505974,77.505974,78.39302,2.606588,0.0072534815,0.0072534815,0.007309947,1.13967245e-08
2019-01-23,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,67.04395,67.04395,67.58058,3.5240173,0.0073253238,0.0073253238,0.007331364,3.2268066e-08
2019-01-24,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,54.472973,54.472973,54.548492,2.6798894,0.0053041023,0.0053041023,0.005317514,6.2748406e-09
2019-01-25,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,71.505684,71.505684,71.056305,1.8759447,0.006433885,0.006433885,0.0064057517,1.4819551e-08
2019-01-26,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,78.55352,78.55352,79.075485,17.3929,0.0058446997,0.0058446997,0.0058116787,9.767524e-08
2019-01-27,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,66.122795,66.122795,66.275955,17.492147,0.005205415,0.005205415,0.0052192435,1.1488206e-07
2019-01-28,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,61.179394,61.179394,61.04854,3.1634235,0.0061442093,0.0061442093,0.0061017014,6.5148456e-09
2019-01-29,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,67.34689,67.34689,67.60112,4.452731,0.0072468533,0.0072468533,0.0072569363,2.9076332e-08
2019-01-30,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,66.404915,66.404915,67.03252,6.522407,0.0064274794,0.0064274794,0.0064753816,3.7074592e-08
2019-01-31,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,50.142075,50.142075,49.452133,6.798443,0.00463327,0.00463327,0.0045489296,5.386487e-08
2019-02-01,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,63.076385,63.076385,62.474823,20.976187,0.0060322764,0.0060322764,0.005957572,6.910733e-08
2019-02-02,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,67.87397,67.87397,67.38179,27.700006,0.0069090114,0.0069090114,0.0068814345,1.2042852e-07
2019-02-03,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,79.572784,79.572784,81.45787,30.77339,0.008591149,0.008591149,0.008700464,8.902165e-08
2019-02-04,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,80.084076,80.084076,80.12248,0.6563656,0.008146945,0.008146945,0.008152429,5.75071e-09
2019-02-05,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,79.20278,79.20278,78.85773,1.3505985,0.0074376925,0.0074376925,0.007379677,3.1771737e-08
2019-02-06,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,88.04895,88.04895,87.73938,0.3310102,0.0068654926,0.0068654926,0.00686587,3.4193555e-08
2019-02-07,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,67.93659,67.93659,68.05769,1.0812181,0.004305742,0.004305742,0.004299106,5.3719105e-09
2019-02-08,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,66.13073,66.13073,66.01419,2.8611796,0.004304396,0.004304396,0.0043136245,1.230963e-08
2019-02-09,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,69.96243,69.96243,69.63936,1.2862085,0.0044598314,0.0044598314,0.0044596726,1.6885227e-08
2019-02-10,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,69.233955,69.233955,69.27904,4.338473,0.0051009436,0.0051009436,0.0050842147,1.67036e-08
2019-02-11,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,61.386486,61.386486,60.936127,18.187689,0.0064068735,0.0064068735,0.006346971,3.7901817e-08
2019-02-12,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,49.765293,49.765293,49.214188,5.8394227,0.004260696,0.004260696,0.004218893,4.2064915e-08
2019-02-13,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,81.17557,81.17557,80.867294,6.3063188,0.004262099,0.004262099,0.0042623375,2.154828e-08
2019-02-14,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,54.764454,54.764454,54.580215,4.724061,0.0034384893,0.0034384893,0.0034299658,1.1830387e-08
2019-02-15,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,80.462654,80.462654,80.723724,2.8984709,0.004481726,0.004481726,0.004462951,1.18478924e-08
2019-02-16,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,62.85951,62.85951,62.615204,1.8455456,0.003674227,0.003674227,0.0036602796,7.897403e-09
2019-02-17,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,64.00953,64.00953,63.42311,2.0509713,0.0043668593,0.0043668593,0.004357064,1.5077689e-09
2019-02-18,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,66.056435,66.056435,65.85364,1.2552127,0.0055335234,0.0055335234,0.0055323113,3.3631051e-09
2019-02-19,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,77.22503,77.22503,77.35654,1.1501912,0.0064358846,0.0064358846,0.0064721443,1.0607192e-08
2019-02-20,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,72.75231,72.75231,73.547226,35.534748,0.006449674,0.006449674,0.006450369,1.538706e-07
2019-02-21,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,57.681305,57.681305,55.23111,42.105732,0.0049545728,0.0049545728,0.0048066936,2.8177888e-07
2019-02-22,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,57.539722,57.539722,57.861664,3.738144,0.004972148,0.004972148,0.005051929,5.1680477e-08
2019-02-23,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,78.13024,78.13024,78.26549,1.6181036,0.0032410908,0.0032410908,0.003215282,2.6586159e-08
2019-02-24,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,71.147064,71.147064,71.14772,1.8385653,0.0030307437,0.0030307437,0.003040479,9.38686e-09
2019-02-25,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,77.70852,77.70852,77.53436,0.60991883,0.0043137227,0.0043137227,0.004327372,2.473958e-08
2019-02-26,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,54.031372,54.031372,53.689575,2.366157,0.0041015046,0.0041015046,0.0041211345,4.370803e-09
2019-02-27,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,54.482655,54.482655,54.347076,0.32607347,0.0035929934,0.0035929934,0.0035860993,1.2513873e-09
2019-02-28,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,40.485325,40.485325,40.2267,7.1827316,0.003325736,0.003325736,0.0033242756,2.303758e-08
2019-03-01,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,50.26646,50.26646,50.000183,14.045743,0.0055685434,0.0055685434,0.00555702,3.865007e-08
2019-03-02,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,87.23226,87.23226,87.34473,1.9570738,0.008123373,0.008123373,0.008106782,1.0876875e-08
2019-03-03,ΔΗΜΟΣ ΑΛΟΝΝΗΣΟΥ,69.11777,69.11777,68.559494,3.4807122,0.004939205,0.004939205,0.004936801,2.519812e-08
