Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΠΕΛΛΑΣ,46.890305,46.890305,46.918137,19.242775,0.002799769,0.002799769,0.0027952092,3.6565506e-10
2019-01-02,ΔΗΜΟΣ ΠΕΛΛΑΣ,52.24597,52.24597,51.622437,11.007039,0.0028660735,0.0028660735,0.0028833589,1.1201244e-08
2019-01-03,ΔΗΜΟΣ ΠΕΛΛΑΣ,78.831406,78.831406,78.84825,7.1413164,0.0032210248,0.0032210248,0.0031936364,3.3618825e-08
2019-01-04,ΔΗΜΟΣ ΠΕΛΛΑΣ,84.04494,84.04494,84.13136,8.717144,0.0026099647,0.0026099647,0.0025907422,2.2814463e-08
2019-01-05,ΔΗΜΟΣ ΠΕΛΛΑΣ,60.84619,60.84619,61.59961,36.33097,0.0019829946,0.0019829946,0.0019838887,1.4717365e-09
2019-01-06,ΔΗΜΟΣ ΠΕΛΛΑΣ,54.655,54.655,55.486786,35.97134,0.00229889,0.00229889,0.0023010357,2.354028e-11
2019-01-07,ΔΗΜΟΣ ΠΕΛΛΑΣ,51.599823,51.599823,52.44113,57.374756,0.0015840321,0.0015840321,0.0015861182,9.50493e-11
2019-01-08,ΔΗΜΟΣ ΠΕΛΛΑΣ,47.406708,47.406708,48.153046,24.072296,0.001452232,0.001452232,0.0014508909,3.9110937e-10
2019-01-09,ΔΗΜΟΣ ΠΕΛΛΑΣ,88.87572,88.87572,88.61009,6.042737,0.0027284394,0.0027284394,0.0027084718,9.41025e-09
2019-01-10,ΔΗΜΟΣ ΠΕΛΛΑΣ,84.931244,84.931244,85.47055,15.157815,0.0041224165,0.0041224165,0.0041019423,4.9309774e-09
2019-01-11,ΔΗΜΟΣ ΠΕΛΛΑΣ,61.66481,61.66481,61.256363,43.48272,0.0028215721,0.0028215721,0.0028259233,1.5436896e-09
2019-01-12,ΔΗΜΟΣ ΠΕΛΛΑΣ,64.398865,64.398865,64.89935,39.892487,0.0023832684,0.0023832684,0.002388752,3.93948e-09
2019-01-13,ΔΗΜΟΣ ΠΕΛΛΑΣ,56.362183,56.362183,56.831665,33.393707,0.0024686137,0.0024686137,0.0024734118,3.1938496e-09
2019-01-14,ΔΗΜΟΣ ΠΕΛΛΑΣ,69.86359,69.86359,71.71564,61.36087,0.0031566739,0.0031566739,0.003188771,5.5613425e-09
2019-01-15,ΔΗΜΟΣ ΠΕΛΛΑΣ,45.191223,45.191223,45.111633,22.026665,0.0017890662,0.0017890662,0.0018099577,2.5371518e-09
2019-01-16,ΔΗΜΟΣ ΠΕΛΛΑΣ,48.14267,48.14267,49.616547,40.924473,0.0026127435,0.0026127435,0.0026082583,2.0006474e-09
2019-01-17,ΔΗΜΟΣ ΠΕΛΛΑΣ,51.654175,51.654175,53.857544,34.07982,0.0032556148,0.0032556148,0.003259191,1.0579578e-08
2019-01-18,ΔΗΜΟΣ ΠΕΛΛΑΣ,62.631927,62.631927,62.582855,34.03547,0.0038282322,0.0038282322,0.0037965525,2.643969e-08
2019-01-19,ΔΗΜΟΣ ΠΕΛΛΑΣ,69.824326,69.824326,71.37828,80.08786,0.0044786595,0.0044786595,0.004521396,2.6773527e-08
2019-01-20,ΔΗΜΟΣ ΠΕΛΛΑΣ,77.31531,77.31531,75.76062,10.805628,0.005661562,0.005661562,0.0056922287,1.0277664e-07
2019-01-21,ΔΗΜΟΣ ΠΕΛΛΑΣ,70.6906,70.6906,70.8029,11.935562,0.0048859566,0.0048859566,0.0048519224,3.287939e-08
2019-01-22,ΔΗΜΟΣ ΠΕΛΛΑΣ,95.708694,95.708694,97.33638,23.535122,0.0058001615,0.0058001615,0.0058012344,5.5247554e-08
2019-01-23,ΔΗΜΟΣ ΠΕΛΛΑΣ,96.35768,96.35768,96.54689,5.9138546,0.006002061,0.006002061,0.005894594,1.5526645e-07
2019-01-24,ΔΗΜΟΣ ΠΕΛΛΑΣ,60.09781,60.09781,59.613434,9.558913,0.0047582434,0.0047582434,0.004815166,7.244045e-08
2019-01-25,ΔΗΜΟΣ ΠΕΛΛΑΣ,96.245026,96.245026,97.27652,7.816695,0.0059428024,0.0059428024,0.0058687734,3.8519028e-07
2019-01-26,ΔΗΜΟΣ ΠΕΛΛΑΣ,70.548874,70.548874,70.70732,6.3494925,0.0030306154,0.0030306154,0.00302993,4.272193e-08
2019-01-27,ΔΗΜΟΣ ΠΕΛΛΑΣ,56.29915,56.29915,56.957596,7.286992,0.0035625622,0.0035625622,0.0035895333,2.6053728e-08
2019-01-28,ΔΗΜΟΣ ΠΕΛΛΑΣ,78.853714,78.853714,78.37715,18.300482,0.0055715926,0.0055715926,0.0055441596,6.220715e-08
2019-01-29,ΔΗΜΟΣ ΠΕΛΛΑΣ,93.91289,93.91289,94.352585,12.367624,0.00624555,0.00624555,0.0062074177,6.2956985e-08
2019-01-30,ΔΗΜΟΣ ΠΕΛΛΑΣ,87.379684,87.379684,86.93437,7.5078735,0.006173067,0.006173067,0.0060838684,1.537328e-07
2019-01-31,ΔΗΜΟΣ ΠΕΛΛΑΣ,73.84813,73.84813,73.75682,7.143769,0.004947357,0.004947357,0.004949115,1.2269302e-07
2019-02-01,ΔΗΜΟΣ ΠΕΛΛΑΣ,64.79074,64.79074,65.47189,11.996872,0.0051658433,0.0051658433,0.0051163714,1.7828413e-08
2019-02-02,ΔΗΜΟΣ ΠΕΛΛΑΣ,75.38667,75.38667,75.68111,12.392277,0.0064589866,0.0064589866,0.006496746,3.8529237e-08
2019-02-03,ΔΗΜΟΣ ΠΕΛΛΑΣ,78.48302,78.48302,78.80162,27.243725,0.0070122518,0.0070122518,0.0069804527,2.4423047e-08
2019-02-04,ΔΗΜΟΣ ΠΕΛΛΑΣ,79.60539,79.60539,80.27336,15.7644005,0.00734121,0.00734121,0.0073127784,5.658789e-08
2019-02-05,ΔΗΜΟΣ ΠΕΛΛΑΣ,62.386536,62.386536,62.2088,4.8447857,0.0061698817,0.0061698817,0.0061828755,2.2310786e-07
2019-02-06,ΔΗΜΟΣ ΠΕΛΛΑΣ,82.775024,82.775024,82.862915,16.483744,0.0052914433,0.0052914433,0.005258154,6.042804e-08
2019-02-07,ΔΗΜΟΣ ΠΕΛΛΑΣ,66.46419,66.46419,67.330154,8.603799,0.004404338,0.004404338,0.004388811,8.9528896e-08
2019-02-08,ΔΗΜΟΣ ΠΕΛΛΑΣ,76.450226,76.450226,76.87991,20.870867,0.0046400195,0.0046400195,0.004606492,1.6160597e-07
2019-02-09,ΔΗΜΟΣ ΠΕΛΛΑΣ,63.796585,63.796585,63.49385,15.918369,0.004195311,0.004195311,0.00420677,7.818126e-08
2019-02-10,ΔΗΜΟΣ ΠΕΛΛΑΣ,67.83348,67.83348,69.48021,29.092703,0.005099727,0.005099727,0.0051252525,1.2038005e-07
2019-02-11,ΔΗΜΟΣ ΠΕΛΛΑΣ,60.736664,60.736664,62.291107,21.918571,0.005493909,0.005493909,0.0055100024,2.1203597e-07
2019-02-12,ΔΗΜΟΣ ΠΕΛΛΑΣ,44.21663,44.21663,43.647293,9.636127,0.002769189,0.002769189,0.0027894545,8.037961e-09
2019-02-13,ΔΗΜΟΣ ΠΕΛΛΑΣ,30.883408,30.883408,30.47667,3.7041059,0.0017471111,0.0017471111,0.0017327166,3.4373384e-09
2019-02-14,ΔΗΜΟΣ ΠΕΛΛΑΣ,54.238174,54.238174,54.81703,16.749054,0.0031265782,0.0031265782,0.0031256245,1.1874661e-09
2019-02-15,ΔΗΜΟΣ ΠΕΛΛΑΣ,43.87314,43.87314,41.59384,30.49733,0.002712005,0.002712005,0.0027227935,1.696544e-08
2019-02-16,ΔΗΜΟΣ ΠΕΛΛΑΣ,44.343964,44.343964,43.88913,2.9071708,0.0032122016,0.0032122016,0.0032049597,2.0591697e-09
2019-02-17,ΔΗΜΟΣ ΠΕΛΛΑΣ,45.228775,45.228775,44.885025,0.89518833,0.0037572624,0.0037572624,0.0037746073,6.347374e-09
2019-02-18,ΔΗΜΟΣ ΠΕΛΛΑΣ,46.995728,46.995728,48.38733,6.8317995,0.0043550003,0.0043550003,0.0043216813,7.589035e-09
2019-02-19,ΔΗΜΟΣ ΠΕΛΛΑΣ,62.684418,62.684418,62.454193,5.524824,0.0055711754,0.0055711754,0.005591426,2.0380423e-08
2019-02-20,ΔΗΜΟΣ ΠΕΛΛΑΣ,36.40587,36.40587,36.36168,1.0603014,0.003973498,0.003973498,0.0039292714,9.054408e-08
2019-02-21,ΔΗΜΟΣ ΠΕΛΛΑΣ,35.604645,35.604645,35.271637,7.1544523,0.0032404326,0.0032404326,0.0032695495,4.065906e-09
2019-02-22,ΔΗΜΟΣ ΠΕΛΛΑΣ,58.968353,58.968353,59.531586,31.30452,0.0042638364,0.0042638364,0.004274297,9.792469e-10
