Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,72.597534,72.597534,70.89226,29.632965,0.0041743414,0.0041743414,0.0042432444,4.5602537e-08
2019-01-02,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,62.463356,62.463356,62.271362,1.653549,0.003902813,0.003902813,0.003904148,1.3820673e-08
2019-01-03,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,98.06661,98.06661,98.003525,0.77783495,0.004139872,0.004139872,0.004186769,1.8355248e-08
2019-01-04,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,97.53302,97.53302,98.184586,1.5396185,0.003923931,0.003923931,0.0040098093,7.956619e-08
2019-01-05,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,75.81543,75.81543,75.22168,0.8636383,0.0030348855,0.0030348855,0.0030666667,3.2278137e-08
2019-01-06,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,54.430534,54.430534,51.58737,15.678639,0.0027407988,0.0027407988,0.002732931,2.8698485e-08
2019-01-07,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,72.118965,72.118965,71.88791,25.98294,0.0030572682,0.0030572682,0.0030271797,7.07489e-08
2019-01-08,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,49.81779,49.81779,50.15451,3.072128,0.0019898063,0.0019898063,0.0019230491,2.4812328e-08
2019-01-09,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,86.3726,86.3726,85.952866,25.575325,0.0045870077,0.0045870077,0.0045449506,8.250588e-08
2019-01-10,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,70.74828,70.74828,71.179535,2.7729404,0.0059532626,0.0059532626,0.006067942,3.3517534e-08
2019-01-11,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,78.56476,78.56476,77.31789,17.374804,0.005473383,0.005473383,0.0056469515,8.6160156e-08
2019-01-12,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,87.46352,87.46352,87.99652,18.421942,0.00419345,0.00419345,0.0041886335,6.016311e-08
