Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,50.588547,50.588547,50.588547,2.7302399,0.0030689137,0.0030689137,0.0030689137,2.7512215e-09
2019-01-02,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,54.65808,54.65808,54.65808,6.526428,0.002995654,0.002995654,0.002995654,1.2619807e-09
2019-01-03,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,84.84874,84.84874,84.84874,14.44965,0.0036860304,0.0036860304,0.0036860304,1.0473716e-08
2019-01-04,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,84.55373,84.55373,84.55373,4.8065424,0.0030271078,0.0030271078,0.0030271078,1.06944675e-08
2019-01-05,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,65.646484,65.646484,65.646484,14.811975,0.0023025947,0.0023025947,0.0023025947,9.6839905e-09
2019-01-06,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,52.964813,52.964813,52.964813,1.0908415,0.0023378117,0.0023378117,0.0023378117,1.8793855e-12
2019-01-07,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,48.94406,48.94406,48.94406,5.905754,0.0017671376,0.0017671376,0.0017671376,7.88738e-09
2019-01-08,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,47.110077,47.110077,47.110077,3.7142775,0.001539225,0.001539225,0.001539225,7.8312556e-10
2019-01-09,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,91.282455,91.282455,91.282455,0.9075167,0.002975918,0.002975918,0.002975918,6.148184e-10
2019-01-10,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,91.895355,91.895355,91.895355,11.978088,0.0048073037,0.0048073037,0.0048073037,5.425869e-08
2019-01-11,ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ,61.189957,61.189957,61.189957,4.2297707,0.0030244067,0.0030244067,0.0030244067,6.7364034e-09
