Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,53.703293,53.703293,53.65593,4.918856,0.0029978054,0.0029978054,0.0029728906,1.3196587e-08
2019-01-02,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,59.50891,59.50891,59.77478,3.6811843,0.0032751402,0.0032751402,0.003202184,5.0066408e-08
2019-01-03,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,85.369,85.369,85.73985,17.65307,0.0036095576,0.0036095576,0.0035388665,4.295933e-08
2019-01-04,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,93.89992,93.89992,94.22511,1.3200915,0.0031014646,0.0031014646,0.0030532146,4.810215e-08
2019-01-05,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,65.649414,65.649414,65.8833,7.295924,0.0023834782,0.0023834782,0.0023323374,3.0111174e-08
2019-01-06,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,45.80661,45.80661,45.76706,4.8415995,0.0022096916,0.0022096916,0.0021826013,5.5866876e-09
2019-01-07,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,55.511444,55.511444,55.36447,19.75123,0.0019326298,0.0019326298,0.001899281,2.5124516e-08
2019-01-08,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,43.00583,43.00583,43.084686,2.0805464,0.0015125519,0.0015125519,0.0014956242,1.6911054e-08
2019-01-09,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,92.99315,92.99315,93.13597,10.511724,0.0037328969,0.0037328969,0.0037052403,6.691369e-08
2019-01-10,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,83.84262,83.84262,82.63608,23.637774,0.005157958,0.005157958,0.005148004,1.2048673e-07
2019-01-11,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,67.34865,67.34865,67.6382,29.439774,0.003637828,0.003637828,0.0036894158,3.8638355e-08
2019-01-12,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,62.15033,62.15033,62.109314,11.819767,0.0028204387,0.0028204387,0.0027885204,1.6727322e-08
2019-01-13,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,55.007446,55.007446,55.420044,1.8299851,0.0025846937,0.0025846937,0.0025272944,2.4334202e-08
2019-01-14,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,64.493225,64.493225,64.7337,7.8093414,0.0034297525,0.0034297525,0.003388208,3.3986662e-08
2019-01-15,ΔΗΜΟΣ ΔΙΟΥ - ΟΛΥΜΠΟΥ,37.14972,37.14972,36.65753,0.9550295,0.0016486079,0.0016486079,0.0016379387,1.6933267e-08
