Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,46.586594,46.586594,47.205734,1.7808456,0.00306041,0.00306041,0.0030879872,4.6585105e-09
2019-01-02,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,54.35079,54.35079,54.216675,0.38790977,0.0033820113,0.0033820113,0.0033705672,6.5920553e-09
2019-01-03,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,82.83751,82.83751,81.478134,5.732058,0.004267275,0.004267275,0.0042706924,2.3091097e-08
2019-01-04,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,88.83856,88.83856,88.37111,4.8824573,0.0037477876,0.0037477876,0.0037293101,7.2347555e-09
2019-01-05,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,71.31641,71.31641,70.70801,3.7546966,0.0029250064,0.0029250064,0.002965458,1.2638655e-08
2019-01-06,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,50.33672,50.33672,49.404755,3.9948695,0.002590913,0.002590913,0.0026407822,5.389081e-09
2019-01-07,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,54.50705,54.50705,54.634003,8.353427,0.0023843239,0.0023843239,0.0024045496,3.9226318e-08
2019-01-08,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,49.693897,49.693897,49.258026,0.5890226,0.0018840678,0.0018840678,0.0018493778,7.657564e-09
2019-01-09,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,80.75788,80.75788,84.07201,33.215805,0.004406906,0.004406906,0.004162527,1.4798081e-07
2019-01-10,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,79.30942,79.30942,83.39145,38.78564,0.006340176,0.006340176,0.0064093573,1.2240002e-08
2019-01-11,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,55.39471,55.39471,54.68019,2.957207,0.0034995552,0.0034995552,0.0035680607,1.2791488e-08
2019-01-12,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,60.72829,60.72829,61.28363,6.2325797,0.0033933485,0.0033933485,0.0033944612,8.205645e-08
2019-01-13,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,51.55318,51.55318,51.826294,0.32312414,0.0027966278,0.0027966278,0.0027819255,3.2295053e-09
2019-01-14,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,62.292133,62.292133,61.872864,2.5854552,0.0037875194,0.0037875194,0.003732723,3.5864357e-08
2019-01-15,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,42.67934,42.67934,43.295227,2.528527,0.0021855067,0.0021855067,0.0021107227,2.698892e-08
2019-01-16,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,44.54298,44.54298,44.595062,0.97421163,0.002976327,0.002976327,0.0029552467,1.633794e-08
2019-01-17,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,50.024372,50.024372,49.555298,5.429329,0.0038356676,0.0038356676,0.0036112757,1.0078353e-07
2019-01-18,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,69.01026,69.01026,69.24985,0.72965074,0.00494416,0.00494416,0.0048027383,9.1360356e-08
2019-01-19,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,74.12014,74.12014,73.91539,4.186001,0.0059305094,0.0059305094,0.0059318207,8.5521975e-08
2019-01-20,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,84.312706,84.312706,85.41785,3.1019351,0.006896729,0.006896729,0.0069058686,2.5691387e-09
2019-01-21,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,75.0223,75.0223,74.95036,0.8079658,0.0060195974,0.0060195974,0.0059857816,2.7550172e-08
2019-01-22,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,89.40686,89.40686,89.175735,4.9792542,0.0072258846,0.0072258846,0.0071708895,2.042754e-08
2019-01-23,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,84.52866,84.52866,85.571304,3.8471565,0.007805499,0.007805499,0.007794611,2.4738751e-08
2019-01-24,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,64.73078,64.73078,67.43619,16.67478,0.005758489,0.005758489,0.0059248256,5.8445607e-08
2019-01-25,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,79.94726,79.94726,79.694,4.72893,0.006687463,0.006687463,0.006694298,2.7350244e-09
2019-01-26,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,75.905235,75.905235,76.01103,5.9102745,0.004252918,0.004252918,0.004201221,6.325481e-08
2019-01-27,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,54.21248,54.21248,54.881424,1.9683272,0.004004004,0.004004004,0.0040689334,1.5978651e-08
2019-01-28,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,72.273796,72.273796,71.24385,5.5649037,0.0063267387,0.0063267387,0.006305162,8.711129e-09
2019-01-29,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,82.91964,82.91964,83.55278,5.1760726,0.0072910204,0.0072910204,0.007186692,3.212563e-08
2019-01-30,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,81.163376,81.163376,81.265915,4.924145,0.0066532516,0.0066532516,0.00667163,1.4120909e-09
2019-01-31,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,78.2093,78.2093,80.19432,23.17392,0.0057661557,0.0057661557,0.0057514533,8.0385437e-10
2019-02-01,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,60.994843,60.994843,61.099335,1.8180968,0.0057385247,0.0057385247,0.00575283,3.949027e-08
2019-02-02,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,71.17785,71.17785,73.29048,12.716758,0.006748516,0.006748516,0.006833393,6.6273664e-08
2019-02-03,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,79.75117,79.75117,79.79967,1.0485473,0.0075515644,0.0075515644,0.00760803,1.813904e-08
2019-02-04,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,84.476814,84.476814,84.79387,2.4777555,0.008398815,0.008398815,0.008302573,2.2257387e-08
2019-02-05,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,66.20685,66.20685,66.852356,2.9974754,0.0066217245,0.0066217245,0.0065621994,3.9667235e-08
2019-02-06,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,73.60201,73.60201,73.03821,10.80478,0.005335501,0.005335501,0.005234074,2.160733e-08
2019-02-07,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,64.04272,64.04272,63.727615,12.555001,0.0042541246,0.0042541246,0.0042040963,4.2219597e-08
2019-02-08,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,68.54626,68.54626,68.0889,3.6261652,0.0043776003,0.0043776003,0.0043220287,1.0638185e-08
2019-02-09,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,71.18151,71.18151,70.3918,5.954041,0.0047527486,0.0047527486,0.00472241,9.452499e-09
2019-02-10,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,74.06989,74.06989,73.55492,1.6977445,0.005638806,0.005638806,0.0056168716,7.312792e-09
2019-02-11,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,60.69394,60.69394,62.06308,8.123555,0.0061879656,0.0061879656,0.006164402,1.0099336e-07
2019-02-12,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,42.919754,42.919754,42.995926,0.06558672,0.0032970675,0.0032970675,0.003300326,8.234568e-09
2019-02-13,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,52.754665,52.754665,54.30284,33.592228,0.0030191636,0.0030191636,0.0031134582,6.101149e-08
2019-02-14,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,47.44203,47.44203,46.57875,2.1563957,0.0032778943,0.0032778943,0.0032809542,3.109812e-09
2019-02-15,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,64.16741,64.16741,62.627045,9.975121,0.003723317,0.003723317,0.003704482,9.822581e-09
2019-02-16,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,50.67803,50.67803,51.16208,1.3482007,0.0033381365,0.0033381365,0.0033402026,1.525548e-09
2019-02-17,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,57.44134,57.44134,58.169205,3.5728471,0.0042276825,0.0042276825,0.0042739753,1.5253498e-08
2019-02-18,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,50.525513,50.525513,53.7511,22.722631,0.004565206,0.004565206,0.0048336256,1.7297174e-07
2019-02-19,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,68.31129,68.31129,67.99228,6.671627,0.006039752,0.006039752,0.005936239,4.3575923e-08
2019-02-20,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,62.305363,62.305363,62.54332,10.870172,0.0058904425,0.0058904425,0.0058962842,9.315841e-08
2019-02-21,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,40.523426,40.523426,42.895172,26.922087,0.00397354,0.00397354,0.004233774,1.9675002e-07
2019-02-22,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,52.832855,52.832855,52.752777,1.4413573,0.004401781,0.004401781,0.00446381,9.606162e-09
2019-02-23,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,73.462265,73.462265,73.115585,13.012059,0.003013838,0.003013838,0.0030091095,2.1284853e-08
2019-02-24,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,59.99277,59.99277,60.468033,2.256094,0.0023957952,0.0023957952,0.0023850664,3.0073863e-09
2019-02-25,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,60.747578,60.747578,59.256042,5.40032,0.0027879036,0.0027879036,0.0027200733,2.0697286e-08
2019-02-26,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,42.98108,42.98108,41.84729,5.9106846,0.0034575362,0.0034575362,0.0033341148,3.6663412e-08
2019-02-27,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,61.013092,61.013092,63.696686,18.747831,0.004071341,0.004071341,0.004159198,3.4606114e-08
2019-02-28,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,47.013973,47.013973,48.534805,6.955061,0.0038927651,0.0038927651,0.003939992,1.6197788e-08
2019-03-01,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,45.674824,45.674824,46.41864,19.03989,0.0050575132,0.0050575132,0.0052494006,1.3777158e-07
2019-03-02,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,70.839516,70.839516,72.12695,33.272488,0.006736034,0.006736034,0.00677438,1.9296562e-07
2019-03-03,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,76.31031,76.31031,75.84807,5.2637334,0.0052646063,0.0052646063,0.0051544174,2.7973728e-08
2019-03-04,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,54.274837,54.274837,54.448013,0.8025833,0.004668597,0.004668597,0.004673127,9.809014e-09
2019-03-05,ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,57.606762,57.606762,59.08853,16.613213,0.0056471485,0.0056471485,0.005765881,1.8140736e-07
