Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,46.136204,46.136204,45.268234,1.8468993,0.002831878,0.002831878,0.0028306143,6.180218e-09
2019-01-02,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,57.049488,57.049488,56.472534,1.574725,0.0030348024,0.0030348024,0.0030569276,1.0310019e-08
2019-01-03,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,88.313095,88.313095,88.33653,14.907867,0.003954239,0.003954239,0.0040121274,1.4089226e-08
2019-01-04,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,79.50763,79.50763,80.440445,39.471455,0.0031610872,0.0031610872,0.0031736756,1.0344029e-08
2019-01-05,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,71.833206,71.833206,72.22754,1.7457743,0.002631648,0.002631648,0.002616294,1.4897066e-08
2019-01-06,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,50.58483,50.58483,50.342255,1.1242191,0.0022852523,0.0022852523,0.0023067577,1.2820695e-08
2019-01-07,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,54.643963,54.643963,53.5549,5.978868,0.0021318705,0.0021318705,0.0021357327,2.239157e-08
2019-01-08,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,47.437325,47.437325,47.899628,1.4562563,0.0015729314,0.0015729314,0.0015667325,1.6220796e-09
2019-01-09,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,91.83197,91.83197,92.11888,2.4844832,0.0031591665,0.0031591665,0.0031403075,2.7857823e-08
2019-01-10,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,91.93715,91.93715,90.75473,3.3421142,0.005560063,0.005560063,0.005501817,1.4147184e-07
2019-01-11,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,61.128822,61.128822,61.604996,4.6361322,0.0033506467,0.0033506467,0.0033037737,2.171711e-08
2019-01-12,ΔΗΜΟΣ ΒΙΣΑΛΤΙΑΣ,55.6598,55.6598,55.544373,2.0545366,0.0028867489,0.0028867489,0.0027969843,7.2211336e-08
