Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,52.190113,52.190113,53.420578,10.011681,0.0027744668,0.0027744668,0.0027522938,6.3421624e-09
2019-01-02,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,52.852222,52.852222,52.49695,12.415166,0.002832695,0.002832695,0.0027867993,5.8461456e-08
2019-01-03,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,85.955284,85.955284,86.068954,11.1569,0.0032182173,0.0032182173,0.0032005506,3.4254988e-08
2019-01-04,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,91.0881,91.0881,90.815445,6.7774262,0.0026208782,0.0026208782,0.0025534297,4.6126715e-08
2019-01-05,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,66.31777,66.31777,66.10156,26.146343,0.002049883,0.002049883,0.0020601826,8.932026e-09
2019-01-06,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,52.316475,52.316475,52.03073,32.212975,0.0021980626,0.0021980626,0.0022326095,3.3636376e-09
2019-01-07,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,56.722088,56.722088,57.62619,28.333683,0.0016531497,0.0016531497,0.0016302853,4.1490997e-09
2019-01-08,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,42.243378,42.243378,40.95334,9.147364,0.0013346082,0.0013346082,0.0013480431,4.4528115e-09
2019-01-09,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,93.2726,93.2726,94.356186,8.450476,0.0030262005,0.0030262005,0.0029738913,5.343576e-08
2019-01-10,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,87.4727,87.4727,87.270355,19.599802,0.0044221147,0.0044221147,0.0043736203,2.5845377e-08
2019-01-11,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,67.884094,67.884094,69.12843,22.449322,0.0032702996,0.0032702996,0.0031161383,5.8723906e-08
2019-01-12,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,65.009995,65.009995,66.092224,15.275729,0.0025527244,0.0025527244,0.002559281,1.049919e-08
2019-01-13,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,56.135277,56.135277,55.77063,10.145606,0.0023693661,0.0023693661,0.0023633817,5.0130518e-09
2019-01-14,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,68.903336,68.903336,69.57501,34.887123,0.0031738698,0.0031738698,0.003165406,1.8232186e-09
2019-01-15,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,41.7964,41.7964,40.87726,10.596158,0.0015985996,0.0015985996,0.0015779764,6.1369008e-09
2019-01-16,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,46.84252,46.84252,46.62436,22.624203,0.0024752624,0.0024752624,0.0024698265,6.0724163e-09
2019-01-17,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,51.982056,51.982056,51.55139,5.45485,0.003274545,0.003274545,0.0032652707,3.3911515e-08
2019-01-18,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,71.15434,71.15434,72.199066,17.154789,0.0043744906,0.0043744906,0.004399811,1.2351466e-08
2019-01-19,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,74.88981,74.88981,76.08238,14.966728,0.004751768,0.004751768,0.004727926,7.617854e-09
2019-01-20,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,71.85535,71.85535,72.10828,4.059933,0.0052288086,0.0052288086,0.005181566,1.8569979e-07
2019-01-21,ΔΗΜΟΣ ΒΕΡΟΙΑΣ,73.89119,73.89119,72.77458,6.256908,0.0048691244,0.0048691244,0.0048060864,6.120307e-08
