Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,71.020676,71.020676,71.020676,8.880283,0.0044499533,0.0044499533,0.0044499533,3.409754e-08
2019-01-02,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,58.67517,58.67517,58.67517,0.009252787,0.004014655,0.004014655,0.004014655,5.9721117e-10
2019-01-03,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,87.3878,87.3878,87.3878,5.75016,0.004837592,0.004837592,0.004837592,1.745807e-09
2019-01-04,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,86.77785,86.77785,86.77785,0.31476045,0.004457142,0.004457142,0.004457142,2.609287e-09
2019-01-05,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,77.49414,77.49414,77.49414,18.513523,0.0037736967,0.0037736967,0.0037736967,2.0668745e-08
2019-01-06,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,46.9653,46.9653,46.9653,0.064468384,0.002884148,0.002884148,0.002884148,4.9960036e-10
2019-01-07,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,89.66916,89.66916,89.66916,1.4758453,0.0035934835,0.0035934835,0.0035934835,7.035261e-10
2019-01-08,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,54.726776,54.726776,54.726776,1.0654917,0.0024531132,0.0024531132,0.0024531132,5.4036775e-12
2019-01-09,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,71.05736,71.05736,71.05736,2.8082428,0.005652226,0.005652226,0.005652226,4.9888094e-09
2019-01-10,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,62.492523,62.492523,62.492523,0.097961664,0.0064365966,0.0064365966,0.0064365966,3.072742e-11
2019-01-11,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,66.29054,66.29054,66.29054,14.505386,0.0050425604,0.0050425604,0.0050425604,1.2789769e-07
2019-01-12,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,72.855896,72.855896,72.855896,5.102128,0.0048672324,0.0048672324,0.0048672324,4.5966463e-08
2019-01-13,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,63.990356,63.990356,63.990356,3.120881,0.0039428454,0.0039428454,0.0039428454,1.4539612e-08
2019-01-14,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,62.5047,62.5047,62.5047,17.797852,0.004642469,0.004642469,0.004642469,8.100409e-08
2019-01-15,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,48.161438,48.161438,48.161438,3.7652674,0.0028395087,0.0028395087,0.0028395087,1.7493424e-08
2019-01-16,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,38.792816,38.792816,38.792816,0.38031793,0.0029184408,0.0029184408,0.0029184408,3.699868e-09
2019-01-17,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,53.08069,53.08069,53.08069,1.4522133,0.004391024,0.004391024,0.004391024,1.0547044e-08
2019-01-18,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,66.68637,66.68637,66.68637,3.5781565,0.005780612,0.005780612,0.005780612,2.8521754e-09
2019-01-19,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,72.482285,72.482285,72.482285,1.79649,0.0062369965,0.0062369965,0.0062369965,3.6241232e-09
2019-01-20,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,71.8822,71.8822,71.8822,0.011020899,0.006635532,0.006635532,0.006635532,2.2830537e-10
2019-01-21,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,87.387375,87.387375,87.387375,0.014311075,0.0071357936,0.0071357936,0.0071357936,1.691447e-09
2019-01-22,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,73.16255,73.16255,73.16255,0.09980416,0.0070063807,0.0070063807,0.0070063807,7.163692e-11
2019-01-23,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,63.628433,63.628433,63.628433,2.1158316,0.006970875,0.006970875,0.006970875,3.2703284e-08
2019-01-24,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,53.97574,53.97574,53.97574,0.30713677,0.00534219,0.00534219,0.00534219,9.132215e-10
2019-01-25,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,71.08609,71.08609,71.08609,0.0025293827,0.006265919,0.006265919,0.006265919,2.9874379e-09
2019-01-26,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,71.72832,71.72832,71.72832,8.426434,0.0052796477,0.0052796477,0.0052796477,2.2830537e-08
2019-01-27,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,58.863358,58.863358,58.863358,0.046367884,0.0045882687,0.0045882687,0.0045882687,7.06315e-11
2019-01-28,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,60.824905,60.824905,60.824905,0.32192326,0.00609586,0.00609586,0.00609586,1.6652368e-10
2019-01-29,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,64.03911,64.03911,64.03911,4.461831,0.006909352,0.006909352,0.006909352,2.9652089e-08
2019-01-30,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,63.91484,63.91484,63.91484,4.476282,0.006209038,0.006209038,0.006209038,3.210245e-08
2019-01-31,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,48.449203,48.449203,48.449203,1.4592829,0.004410647,0.004410647,0.004410647,5.2273528e-09
2019-02-01,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,57.02365,57.02365,57.02365,2.2019198,0.0057607573,0.0057607573,0.0057607573,5.09036e-09
2019-02-02,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,60.39644,60.39644,60.39644,4.108143,0.006391544,0.006391544,0.006391544,1.4597425e-09
2019-02-03,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,63.02623,63.02623,63.02623,2.041215,0.0075339414,0.0075339414,0.0075339414,1.826411e-09
2019-02-04,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,84.04729,84.04729,84.04729,0.87250924,0.008337501,0.008337501,0.008337501,4.5525326e-09
2019-02-05,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,81.91681,81.91681,81.91681,2.29416,0.0075480603,0.0075480603,0.0075480603,3.5028336e-08
2019-02-06,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,89.195435,89.195435,89.195435,0.51660156,0.0069935434,0.0069935434,0.0069935434,1.3274676e-08
2019-02-07,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,66.93318,66.93318,66.93318,1.625376,0.0043215174,0.0043215174,0.0043215174,6.3602243e-09
2019-02-08,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,69.5054,69.5054,69.5054,1.2601378,0.0045238202,0.0045238202,0.0045238202,3.8833656e-09
2019-02-09,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,72.67207,72.67207,72.67207,0.97284317,0.004792058,0.004792058,0.004792058,1.9218769e-09
2019-02-10,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,67.25218,67.25218,67.25218,7.888199,0.0051926356,0.0051926356,0.0051926356,7.402762e-09
2019-02-11,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,56.494232,56.494232,56.494232,1.6203997,0.006197244,0.006197244,0.006197244,3.159247e-09
2019-02-12,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,50.311356,50.311356,50.311356,7.8443756,0.0042032767,0.0042032767,0.0042032767,7.77797e-08
2019-02-13,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,82.671005,82.671005,82.671005,3.0046701,0.004344711,0.004344711,0.004344711,7.053135e-09
2019-02-14,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,55.881973,55.881973,55.881973,2.8262732,0.0035369562,0.0035369562,0.0035369562,2.7825742e-09
2019-02-15,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,80.405365,80.405365,80.405365,7.492837,0.004552179,0.004552179,0.004552179,1.1690545e-08
2019-02-16,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,59.652313,59.652313,59.652313,1.9528971,0.0035238445,0.0035238445,0.0035238445,6.1434413e-09
2019-02-17,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,63.754166,63.754166,63.754166,0.015625,0.0044306163,0.0044306163,0.0044306163,1.1510792e-10
2019-02-18,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,63.036255,63.036255,63.036255,0.028542519,0.0053975154,0.0053975154,0.0053975154,4.698464e-13
2019-02-19,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,75.663666,75.663666,75.663666,3.4156382,0.0064799823,0.0064799823,0.0064799823,5.240289e-09
2019-02-20,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,62.66783,62.66783,62.66783,0.71438813,0.0057683727,0.0057683727,0.0057683727,2.185061e-08
2019-02-21,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,73.6149,73.6149,73.6149,5.6267176,0.006116148,0.006116148,0.006116148,4.0419682e-08
2019-02-22,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,58.068207,58.068207,58.068207,0.57280064,0.0051050666,0.0051050666,0.0051050666,1.3488418e-08
2019-02-23,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,76.43541,76.43541,76.43541,0.7061579,0.0032519985,0.0032519985,0.0032519985,1.2892887e-08
2019-02-24,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,70.05495,70.05495,70.05495,0.10448551,0.0030100807,0.0030100807,0.0030100807,3.887081e-09
2019-02-25,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,75.91913,75.91913,75.91913,0.015870094,0.0040514027,0.0040514027,0.0040514027,9.026863e-09
2019-02-26,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,50.884888,50.884888,50.884888,0.16385102,0.004168222,0.004168222,0.004168222,6.3268146e-10
2019-02-27,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,54.387115,54.387115,54.387115,1.3482294,0.0036234118,0.0036234118,0.0036234118,1.5335253e-09
2019-02-28,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,35.426895,35.426895,35.426895,0.3508017,0.0031653696,0.0031653696,0.0031653696,2.406356e-09
2019-03-01,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,44.66571,44.66571,44.66571,1.4545679,0.005476554,0.005476554,0.005476554,3.6084803e-08
2019-03-02,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,86.069824,86.069824,86.069824,4.312517,0.007991626,0.007991626,0.007991626,3.248806e-08
2019-03-03,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,72.89055,72.89055,72.89055,1.1072218,0.0052344664,0.0052344664,0.0052344664,7.982951e-09
2019-03-04,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,53.69069,53.69069,53.69069,7.5598145,0.0045705475,0.0045705475,0.0045705475,2.8152503e-08
2019-03-05,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,57.675934,57.675934,57.675934,4.736149,0.006399538,0.006399538,0.006399538,6.2749486e-09
2019-03-06,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,43.625763,43.625763,43.625763,0.080758095,0.005716887,0.005716887,0.005716887,2.0090184e-08
2019-03-07,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,50.646072,50.646072,50.646072,0.79844,0.0058127707,0.0058127707,0.0058127707,1.0039918e-07
2019-03-08,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,66.146866,66.146866,66.146866,0.14505386,0.0066376687,0.0066376687,0.0066376687,8.5928505e-08
2019-03-09,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,33.484634,33.484634,33.484634,0.69715977,0.004485412,0.004485412,0.004485412,5.624813e-08
2019-03-10,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,38.62674,38.62674,38.62674,0.07423496,0.0055375993,0.0055375993,0.0055375993,8.623729e-09
2019-03-11,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,52.801865,52.801865,52.801865,0.008159876,0.0073120147,0.0073120147,0.0073120147,1.7008063e-08
2019-03-12,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,83.72392,83.72392,83.72392,0.002432108,0.007695347,0.007695347,0.007695347,5.2386895e-10
2019-03-13,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,65.777664,65.777664,65.777664,4.6115885,0.004652806,0.004652806,0.004652806,1.942e-08
