Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,44.895187,44.895187,44.895187,0.018161774,0.0026636021,0.0026636021,0.0026636021,2.591051e-09
2019-01-02,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,57.480835,57.480835,57.480835,1.0166705,0.0029629907,0.0029629907,0.0029629907,4.604317e-10
2019-01-03,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,83.78282,83.78282,83.78282,8.571629,0.0037369924,0.0037369924,0.0037369924,7.614517e-09
2019-01-04,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,74.42384,74.42384,74.42384,8.059167,0.0029607082,0.0029607082,0.0029607082,1.3942131e-08
2019-01-05,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,72.77344,72.77344,72.77344,0.50127506,0.0026425796,0.0026425796,0.0026425796,6.909353e-10
2019-01-06,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,50.501434,50.501434,50.501434,1.2612343,0.0022118075,0.0022118075,0.0022118075,1.4415811e-09
2019-01-07,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,56.25363,56.25363,56.25363,0.042257547,0.0021555214,0.0021555214,0.0021555214,3.915943e-10
2019-01-08,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,47.543182,47.543182,47.543182,0.15106583,0.0015388376,0.0015388376,0.0015388376,4.106937e-12
2019-01-09,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,89.794174,89.794174,89.794174,0.00029206276,0.0030110846,0.0030110846,0.0030110846,3.1974423e-10
2019-01-10,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,92.327484,92.327484,92.327484,2.4735548,0.0053710444,0.0053710444,0.0053710444,5.6223968e-09
2019-01-11,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,61.727066,61.727066,61.727066,0.014901161,0.0033577755,0.0033577755,0.0033577755,2.9161953e-09
2019-01-12,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,56.455017,56.455017,56.455017,4.9250183,0.0029428368,0.0029428368,0.0029428368,2.1272971e-08
2019-01-13,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,61.13098,61.13098,61.13098,14.781922,0.0028479674,0.0028479674,0.0028479674,2.0259506e-08
2019-01-14,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,64.517395,64.517395,64.517395,0.098267555,0.003025335,0.003025335,0.003025335,2.7512215e-11
2019-01-15,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,30.483704,30.483704,30.483704,1.5698328,0.0013840229,0.0013840229,0.0013840229,3.961759e-09
2019-01-16,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,48.833344,48.833344,48.833344,2.4170532,0.0026809163,0.0026809163,0.0026809163,1.5033317e-09
2019-01-17,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,53.817505,53.817505,53.817505,6.0106373,0.0035100372,0.0035100372,0.0035100372,7.516015e-09
2019-01-18,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,64.02719,64.02719,64.02719,0.017380714,0.0038195003,0.0038195003,0.0038195003,1.547562e-11
2019-01-19,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,66.888535,66.888535,66.888535,5.0033474,0.004863169,0.004863169,0.004863169,2.5247324e-09
2019-01-20,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,90.830444,90.830444,90.830444,1.9816611,0.006273076,0.006273076,0.006273076,6.432197e-10
2019-01-21,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,72.52458,72.52458,72.52458,6.6719294,0.0053646415,0.0053646415,0.0053646415,3.5883296e-09
2019-01-22,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,86.37398,86.37398,86.37398,4.3023834,0.0050418116,0.0050418116,0.0050418116,2.7063152e-10
2019-01-23,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,94.590836,94.590836,94.590836,0.17063999,0.0069266483,0.0069266483,0.0069266483,2.4592737e-09
2019-01-24,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,72.00845,72.00845,72.00845,0.7503214,0.005603914,0.005603914,0.005603914,4.2055035e-09
2019-01-25,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,96.27896,96.27896,96.27896,1.4357843,0.006477635,0.006477635,0.006477635,6.5995565e-10
2019-01-26,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,86.90996,86.90996,86.90996,0.00044083595,0.005351948,0.005351948,0.005351948,3.4627888e-08
2019-01-27,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,63.89412,63.89412,63.89412,2.650155,0.0043966994,0.0043966994,0.0043966994,1.714827e-08
2019-01-28,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,83.01338,83.01338,83.01338,3.94938,0.005960021,0.005960021,0.005960021,1.937587e-09
2019-01-29,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,83.33208,83.33208,83.33208,0.26185608,0.0062202625,0.0062202625,0.0062202625,3.5527137e-11
2019-01-30,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,85.10332,85.10332,85.10332,2.607405,0.006061606,0.006061606,0.006061606,6.401999e-10
2019-01-31,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,90.98534,90.98534,90.98534,0.50127506,0.0053731427,0.0053731427,0.0053731427,9.866916e-10
2019-02-01,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,51.775604,51.775604,51.775604,1.5248873,0.004351048,0.004351048,0.004351048,4.969394e-10
2019-02-02,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,71.42232,71.42232,71.42232,11.024475,0.006306011,0.006306011,0.006306011,1.5288606e-09
2019-02-03,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,86.47252,86.47252,86.47252,12.858948,0.007986162,0.007986162,0.007986162,9.094947e-09
2019-02-04,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,80.49895,80.49895,80.49895,5.6964264,0.007928316,0.007928316,0.007928316,3.5883296e-09
2019-02-05,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,52.40265,52.40265,52.40265,0.058418512,0.00562438,0.00562438,0.00562438,1.945466e-11
2019-02-06,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,71.23938,71.23938,71.23938,0.18715763,0.004955124,0.004955124,0.004955124,1.0134901e-08
2019-02-07,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,69.5157,69.5157,69.5157,0.017124176,0.0043706913,0.0043706913,0.0043706913,1.0110913e-08
2019-02-08,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,77.643585,77.643585,77.643585,0.32525635,0.004445738,0.004445738,0.004445738,1.136418e-08
2019-02-09,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,58.850296,58.850296,58.850296,2.0370314,0.0036642484,0.0036642484,0.0036642484,1.3922232e-09
2019-02-10,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,64.47435,64.47435,64.47435,0.9699557,0.0045677703,0.0045677703,0.0045677703,1.7509194e-10
2019-02-11,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,63.911713,63.911713,63.911713,10.247501,0.005505055,0.005505055,0.005505055,6.513247e-09
2019-02-12,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,40.036453,40.036453,40.036453,0.06978059,0.002905326,0.002905326,0.002905326,2.1118787e-09
2019-02-13,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,40.1671,40.1671,40.1671,7.849847,0.00229151,0.00229151,0.00229151,2.9549483e-09
2019-02-14,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,39.415665,39.415665,39.415665,0.8534584,0.0028598474,0.0028598474,0.0028598474,2.8840965e-09
2019-02-15,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,49.862396,49.862396,49.862396,4.082452,0.0028284725,0.0028284725,0.0028284725,3.7065107e-10
2019-02-16,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,49.296844,49.296844,49.296844,1.0837135,0.0034119666,0.0034119666,0.0034119666,4.969394e-10
2019-02-17,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,51.610123,51.610123,51.610123,0.0955317,0.004004324,0.004004324,0.004004324,2.1499602e-10
2019-02-18,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,51.625122,51.625122,51.625122,4.553056,0.0047399867,0.0047399867,0.0047399867,5.270536e-09
2019-02-19,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,62.31259,62.31259,62.31259,6.172119,0.0054883994,0.0054883994,0.0054883994,5.725661e-09
2019-02-20,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,50.01793,50.01793,50.01793,2.9206276,0.005036845,0.005036845,0.005036845,2.1517085e-08
2019-02-21,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,38.73355,38.73355,38.73355,24.181614,0.0035792552,0.0035792552,0.0035792552,1.21375e-07
2019-02-22,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,60.18637,60.18637,60.18637,3.7425623,0.004278678,0.004278678,0.004278678,3.363457e-09
2019-02-23,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,45.975937,45.975937,45.975937,1.7587318,0.0019481468,0.0019481468,0.0019481468,4.393087e-09
2019-02-24,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,50.421158,50.421158,50.421158,0.61954117,0.0020186766,0.0020186766,0.0020186766,2.7200464e-09
2019-02-25,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,48.951355,48.951355,48.951355,0.5335846,0.0022609984,0.0022609984,0.0022609984,9.024461e-10
2019-02-26,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,44.404907,44.404907,44.404907,7.7788696,0.0032795765,0.0032795765,0.0032795765,2.1797778e-08
2019-02-27,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,38.600006,38.600006,38.600006,12.985325,0.0027381636,0.0027381636,0.0027381636,2.1762592e-08
2019-02-28,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,42.872208,42.872208,42.872208,1.0990164,0.003735041,0.003735041,0.003735041,1.5971944e-09
2019-03-01,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,39.34149,39.34149,39.34149,0.00027561188,0.0045934515,0.0045934515,0.0045934515,6.5614394e-09
2019-03-02,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,65.12012,65.12012,65.12012,49.97551,0.0056688925,0.0056688925,0.0056688925,5.67014e-08
2019-03-03,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,66.58098,66.58098,66.58098,134.49431,0.004578279,0.004578279,0.004578279,1.812174e-07
2019-03-04,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,43.70485,43.70485,43.70485,5.6545496,0.0039964356,0.0039964356,0.0039964356,1.9703439e-08
2019-03-05,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,45.823883,45.823883,45.823883,12.8939905,0.004930164,0.004930164,0.004930164,4.834789e-08
2019-03-06,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,36.5701,36.5701,36.5701,2.6597023,0.0047336486,0.0047336486,0.0047336486,4.4773074e-08
2019-03-07,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,61.0074,61.0074,61.0074,11.318231,0.006437606,0.006437606,0.006437606,6.784582e-10
2019-03-08,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,53.956436,53.956436,53.956436,18.876648,0.006536579,0.006536579,0.006536579,2.036144e-08
2019-03-09,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,42.020767,42.020767,42.020767,42.504288,0.0055370764,0.0055370764,0.0055370764,1.4393189e-07
2019-03-10,ΔΗΜΟΣ ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,34.11795,34.11795,34.11795,23.461914,0.004747957,0.004747957,0.004747957,1.414552e-07
