Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,56.469738,56.469738,56.924484,3.2881033,0.0029535787,0.0029535787,0.0030153291,4.137335e-08
2019-01-02,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,56.209187,56.209187,56.802124,19.394827,0.0030278603,0.0030278603,0.0030910214,8.768816e-08
2019-01-03,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,89.99344,89.99344,91.16222,8.420262,0.0034585192,0.0034585192,0.003485878,4.865035e-08
2019-01-04,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,90.74024,90.74024,90.730484,9.808808,0.00282024,0.00282024,0.0028465653,4.3184404e-08
2019-01-05,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,67.41129,67.41129,67.82617,16.741367,0.00225958,0.00225958,0.0022294002,1.4926696e-08
2019-01-06,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,46.652966,46.652966,48.446747,11.783193,0.0022098802,0.0022098802,0.002183078,1.4783864e-08
2019-01-07,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,58.328663,58.328663,61.371796,23.968328,0.0020162056,0.0020162056,0.0020029335,5.273291e-08
2019-01-08,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,40.4758,40.4758,41.101776,8.91691,0.0013800507,0.0013800507,0.0013983494,1.6021227e-08
2019-01-09,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,96.767975,96.767975,96.75658,1.1477256,0.003637927,0.003637927,0.0036806832,1.1413924e-08
2019-01-10,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,91.08253,91.08253,90.65512,10.39359,0.0052123372,0.0052123372,0.0051828725,7.426744e-08
2019-01-11,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,71.48422,71.48422,71.755875,6.108916,0.004030851,0.004030851,0.0040484145,7.4166515e-08
2019-01-12,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,66.13584,66.13584,66.83002,10.828548,0.0029524134,0.0029524134,0.0029237634,4.6572165e-08
2019-01-13,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,53.144817,53.144817,53.127563,2.653672,0.0024701336,0.0024701336,0.0024977901,1.4322996e-08
2019-01-14,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,67.381165,67.381165,67.16974,3.1677577,0.0032646277,0.0032646277,0.0032923638,6.9620287e-09
2019-01-15,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,34.958637,34.958637,35.48761,10.214841,0.001430276,0.001430276,0.0014332563,1.8561698e-09
2019-01-16,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,44.51531,44.51531,44.12436,1.7183396,0.0026262589,0.0026262589,0.0026126392,2.8513847e-08
2019-01-17,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,50.571247,50.571247,49.670044,14.642337,0.0034213255,0.0034213255,0.003490785,4.9266124e-08
