Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,46.912766,46.912766,46.912766,4.7510376,0.0030668275,0.0030668275,0.0030668275,1.0063022e-08
2019-01-02,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,53.59314,53.59314,53.59314,0.3887961,0.0034496626,0.0034496626,0.0034496626,1.3700721e-09
2019-01-03,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,79.801865,79.801865,79.801865,1.0604575,0.0044615464,0.0044615464,0.0044615464,9.789858e-11
2019-01-04,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,83.75685,83.75685,83.75685,6.967744,0.0039319657,0.0039319657,0.0039319657,5.1843303e-09
2019-01-05,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,69.41162,69.41162,69.41162,1.6806185,0.0030558782,0.0030558782,0.0030558782,3.218794e-10
2019-01-06,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,49.716278,49.716278,49.716278,0.09704685,0.0026878698,0.0026878698,0.0026878698,1.8519728e-09
2019-01-07,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,62.406464,62.406464,62.406464,19.578896,0.0027981787,0.0027981787,0.0027981787,3.3135862e-08
2019-01-08,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,50.988007,50.988007,50.988007,0.046367884,0.0020272976,0.0020272976,0.0020272976,5.293401e-10
2019-01-09,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,71.74925,71.74925,71.74925,0.8151057,0.0050237547,0.0050237547,0.0050237547,5.4362523e-09
2019-01-10,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,69.24448,69.24448,69.24448,1.6005709,0.0064176423,0.0064176423,0.0064176423,8.9816155e-11
2019-01-11,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,53.060074,53.060074,53.060074,0.46064854,0.0036244467,0.0036244467,0.0036244467,1.1542767e-09
2019-01-12,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,63.572693,63.572693,63.572693,0.010514259,0.0038705235,0.0038705235,0.0038705235,1.6103176e-08
2019-01-13,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,51.246704,51.246704,51.246704,0.2350924,0.002937434,0.002937434,0.002937434,4.2287276e-09
2019-01-14,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,61.66925,61.66925,61.66925,0.04145837,0.0040438594,0.0040438594,0.0040438594,3.637979e-12
2019-01-15,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,43.05597,43.05597,43.05597,1.4124765,0.002399388,0.002399388,0.002399388,1.9619861e-10
2019-01-16,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,45.1727,45.1727,45.1727,0.33366418,0.0031860657,0.0031860657,0.0031860657,1.911439e-09
2019-01-17,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,53.884888,53.884888,53.884888,0.64203286,0.0043259654,0.0043259654,0.0043259654,1.7086501e-09
2019-01-18,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,70.22153,70.22153,70.22153,0.09343052,0.0053899633,0.0053899633,0.0053899633,6.6302164e-10
2019-01-19,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,77.45836,77.45836,77.45836,0.5421791,0.0064348243,0.0064348243,0.0064348243,2.1552072e-08
2019-01-20,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,82.15466,82.15466,82.15466,0.10734582,0.0069872886,0.0069872886,0.0069872886,1.1261001e-09
2019-01-21,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,78.236496,78.236496,78.236496,4.3226633,0.0063967556,0.0063967556,0.0063967556,2.5307973e-08
2019-01-22,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,88.017044,88.017044,88.017044,1.4889243,0.0074673034,0.0074673034,0.0074673034,2.0682798e-09
2019-01-23,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,79.539566,79.539566,79.539566,5.025215,0.007900231,0.007900231,0.007900231,1.0632917e-08
2019-01-24,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,60.206696,60.206696,60.206696,1.5551844,0.0055326866,0.0055326866,0.0055326866,1.3467659e-08
2019-01-25,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,77.831696,77.831696,77.831696,0.16983414,0.0067098546,0.0067098546,0.0067098546,2.420144e-10
2019-01-26,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,79.208786,79.208786,79.208786,10.22563,0.004943716,0.004943716,0.004943716,1.2973746e-07
2019-01-27,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,56.47615,56.47615,56.47615,2.5431528,0.004273616,0.004273616,0.004273616,2.4911287e-08
2019-01-28,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,72.614944,72.614944,72.614944,1.8798981,0.006491933,0.006491933,0.006491933,1.733377e-09
2019-01-29,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,77.747116,77.747116,77.747116,4.5114756,0.00747953,0.00747953,0.00747953,4.0599026e-09
2019-01-30,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,77.23369,77.23369,77.23369,1.3504982,0.0066164657,0.0066164657,0.0066164657,5.0098814e-09
2019-01-31,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,72.41356,72.41356,72.41356,0.6996081,0.005818449,0.005818449,0.005818449,4.488413e-09
2019-02-01,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,64.263885,64.263885,64.263885,10.014381,0.0061534327,0.0061534327,0.0061534327,3.2038404e-08
2019-02-02,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,76.55855,76.55855,76.55855,10.680258,0.0071612187,0.0071612187,0.0071612187,2.206258e-08
2019-02-03,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,81.40953,81.40953,81.40953,2.5916598,0.00795934,0.00795934,0.00795934,7.7547156e-08
2019-02-04,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,85.82805,85.82805,85.82805,0.15875244,0.008582596,0.008582596,0.008582596,7.258336e-10
2019-02-05,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,67.88995,67.88995,67.88995,0.0015642643,0.0065353774,0.0065353774,0.0065353774,7.194245e-10
2019-02-06,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,79.51233,79.51233,79.51233,2.6644824,0.005595397,0.005595397,0.005595397,2.7076261e-09
2019-02-07,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,61.472733,61.472733,61.472733,2.5712624,0.004067244,0.004067244,0.004067244,1.2960868e-09
2019-02-08,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,66.450714,66.450714,66.450714,0.0006697178,0.004233605,0.004233605,0.004233605,3.0233815e-09
2019-02-09,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,69.9836,69.9836,69.9836,0.16662979,0.0046594674,0.0046594674,0.0046594674,3.961759e-09
2019-02-10,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,76.367905,76.367905,76.367905,0.25836968,0.0057817977,0.0057817977,0.0057817977,8.4259355e-10
2019-02-11,ΔΗΜΟΣ ΚΑΣΣΑΝΔΡΑΣ,66.507904,66.507904,66.507904,19.756462,0.0068475306,0.0068475306,0.0068475306,6.713353e-08
