Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,68.403244,68.403244,67.71501,58.226105,0.0033589797,0.0033589797,0.0033600228,5.71707e-08
2019-01-02,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,53.614136,53.614136,54.100952,5.053017,0.0029744944,0.0029744944,0.0029790243,4.2969717e-08
2019-01-03,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,88.39,88.39,88.44444,3.2883599,0.0034279125,0.0034279125,0.003416975,2.7687273e-08
2019-01-04,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,89.581314,89.581314,89.78175,5.4828362,0.002777424,0.002777424,0.002760377,1.6496266e-08
2019-01-05,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,63.604492,63.604492,64.14307,13.133177,0.0021189826,0.0021189826,0.0021203833,2.3925777e-09
2019-01-06,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,44.039764,44.039764,44.016083,17.401087,0.0021742566,0.0021742566,0.0021550043,6.6068075e-09
2019-01-07,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,53.5466,53.5466,53.045624,3.6014223,0.001983562,0.001983562,0.0019932776,2.4874492e-08
2019-01-08,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,38.481903,38.481903,38.50363,2.0281296,0.0014044887,0.0014044887,0.0013965315,8.82868e-09
2019-01-09,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,95.91405,95.91405,95.97484,0.9043013,0.003673173,0.003673173,0.0036942135,2.6052405e-09
2019-01-10,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,85.6268,85.6268,86.719086,4.509522,0.0048860116,0.0048860116,0.0048797233,9.144984e-08
2019-01-11,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,71.66896,71.66896,71.3799,6.3393354,0.0042177215,0.0042177215,0.004211135,6.216153e-08
2019-01-12,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,69.67621,69.67621,69.75726,29.306576,0.0030970043,0.0030970043,0.0030748611,3.3349224e-08
2019-01-13,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,53.80847,53.80847,53.223755,6.671865,0.0026046017,0.0026046017,0.0026121119,6.516675e-09
2019-01-14,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,72.339905,72.339905,71.86896,26.390022,0.0036280274,0.0036280274,0.0036572039,3.288127e-08
2019-01-15,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,35.732727,35.732727,35.39972,2.9179707,0.0014702112,0.0014702112,0.0014543564,1.5276811e-09
2019-01-16,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,46.18222,46.18222,45.83188,5.579278,0.0027337708,0.0027337708,0.0027312525,7.344879e-09
2019-01-17,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,51.599243,51.599243,51.064087,11.463861,0.003551671,0.003551671,0.0035415383,3.4064982e-08
2019-01-18,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,69.30185,69.30185,68.62485,13.139109,0.0049303817,0.0049303817,0.0049148547,1.7226045e-08
2019-01-19,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,78.156845,78.156845,77.80992,10.339513,0.005583044,0.005583044,0.005553689,1.4832347e-08
2019-01-20,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,68.00256,68.00256,67.42029,3.8944035,0.0051984936,0.0051984936,0.005165145,5.7039635e-08
2019-01-21,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,70.00505,70.00505,69.7448,6.501171,0.0051241666,0.0051241666,0.0051165074,3.3923115e-08
2019-01-22,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,85.400345,85.400345,85.80513,5.571386,0.005937401,0.005937401,0.0058852173,3.665994e-08
2019-01-23,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,90.29518,90.29518,90.34328,10.602514,0.0060456023,0.0060456023,0.006002836,8.514924e-08
2019-01-24,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,61.608307,61.608307,60.630524,4.9942465,0.0046388255,0.0046388255,0.0046451734,4.924744e-08
2019-01-25,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,88.29117,88.29117,88.084625,1.2758801,0.005833279,0.005833279,0.00585876,5.8401042e-08
2019-01-26,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,70.03642,70.03642,69.69023,1.6355262,0.0039043897,0.0039043897,0.003894376,4.279145e-08
2019-01-27,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,55.928055,55.928055,55.380936,2.1512887,0.0042067096,0.0042067096,0.0041824803,2.3975035e-08
2019-01-28,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,76.22969,76.22969,75.64278,44.169178,0.0057047643,0.0057047643,0.005716268,1.1280369e-08
2019-01-29,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,92.8228,92.8228,92.82231,11.2091,0.0058909766,0.0058909766,0.005829435,7.584086e-08
2019-01-30,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,77.875046,77.875046,79.137985,11.256367,0.0054275766,0.0054275766,0.0053888187,4.656396e-08
2019-01-31,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,61.36888,61.36888,60.45848,73.246956,0.003768973,0.003768973,0.0037800297,7.610146e-08
2019-02-01,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,61.728485,61.728485,61.24826,29.388126,0.0050730985,0.0050730985,0.005053429,5.65322e-09
2019-02-02,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,62.46846,62.46846,62.82222,2.6504793,0.005961705,0.005961705,0.005966205,3.8853784e-08
2019-02-03,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,62.121933,62.121933,61.64879,7.676145,0.0062620975,0.0062620975,0.006197665,2.408735e-07
2019-02-04,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,79.226974,79.226974,78.79826,21.095259,0.006812785,0.006812785,0.006823007,9.995985e-08
2019-02-05,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,69.18146,69.18146,68.787415,27.792498,0.0058817826,0.0058817826,0.0058647655,1.6563718e-07
2019-02-06,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,88.7384,88.7384,88.11096,12.254078,0.0054373555,0.0054373555,0.0054153614,4.5053373e-08
2019-02-07,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,86.84456,86.84456,86.747635,0.78642094,0.004928829,0.004928829,0.004933538,3.727806e-08
2019-02-08,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,70.626495,70.626495,70.44974,1.1709731,0.004475913,0.004475913,0.004470504,1.759565e-08
2019-02-09,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,60.41304,60.41304,60.719437,14.107252,0.0042346204,0.0042346204,0.004249626,6.4906686e-08
2019-02-10,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,51.58568,51.58568,52.162827,3.3566685,0.0045602005,0.0045602005,0.004573224,6.105485e-08
2019-02-11,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,64.78964,64.78964,63.85556,33.198063,0.005677879,0.005677879,0.005676657,2.8563337e-08
2019-02-12,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,66.88777,66.88777,66.870926,35.466743,0.0046191085,0.0046191085,0.004541533,2.6383623e-07
2019-02-13,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,46.957626,46.957626,46.301865,27.892296,0.0022605455,0.0022605455,0.002270112,2.7509786e-08
2019-02-14,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,48.73842,48.73842,48.97719,17.682426,0.00304942,0.00304942,0.0030488537,1.1873267e-09
2019-02-15,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,60.30771,60.30771,59.896576,8.719721,0.0032012698,0.0032012698,0.0032028493,4.6915956e-09
2019-02-16,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,47.74948,47.74948,47.348602,8.935699,0.0029720545,0.0029720545,0.0029741705,8.359679e-09
2019-02-17,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,47.68654,47.68654,47.334244,3.5738907,0.0037027837,0.0037027837,0.0037361027,1.4342692e-08
2019-02-18,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,49.95862,49.95862,50.0343,2.260416,0.0045500714,0.0045500714,0.0045490135,1.7606727e-08
2019-02-19,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,51.823334,51.823334,51.884857,1.8297138,0.0048494525,0.0048494525,0.0048307814,6.526675e-08
2019-02-20,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,33.705185,33.705185,33.958847,9.005644,0.0036062738,0.0036062738,0.0036185523,1.8128017e-07
2019-02-21,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,37.294586,37.294586,37.29068,8.412786,0.0035499,0.0035499,0.0035642944,1.1963385e-07
2019-02-22,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,54.420746,54.420746,54.24936,28.431084,0.004331309,0.004331309,0.004345584,4.7212005e-08
2019-02-23,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,85.80626,85.80626,85.92955,18.248203,0.003124057,0.003124057,0.0030963707,1.7010011e-08
2019-02-24,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,67.98561,67.98561,67.782486,27.408356,0.0023945733,0.0023945733,0.0023848875,6.2329972e-09
2019-02-25,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,59.27997,59.27997,58.615417,21.145681,0.002422229,0.002422229,0.0024274145,4.351431e-09
2019-02-26,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,33.78064,33.78064,33.65979,7.44978,0.003323833,0.003323833,0.0033065774,7.650452e-08
2019-02-27,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,43.94449,43.94449,44.12686,13.136786,0.0029252328,0.0029252328,0.002943442,5.0402008e-08
2019-02-28,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,34.603165,34.603165,34.12465,23.798864,0.0031123513,0.0031123513,0.0031222159,9.2424166e-08
2019-03-01,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,38.0766,38.0766,37.635925,27.253332,0.004166235,0.004166235,0.0041552978,1.8171687e-07
2019-03-02,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,47.499023,47.499023,47.10791,9.861237,0.004439517,0.004439517,0.0044700047,1.2630936e-08
2019-03-03,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,40.32585,40.32585,40.309982,36.92319,0.0034963652,0.0034963652,0.003511773,2.136102e-07
2019-03-04,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,35.303482,35.303482,34.77614,6.1655617,0.003702525,0.003702525,0.003701035,5.1797294e-08
2019-03-05,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,38.697662,38.697662,38.20523,26.109251,0.004691567,0.004691567,0.004685368,1.8335282e-07
2019-03-06,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,40.247345,40.247345,39.773224,14.314048,0.0052001146,0.0052001146,0.0052013067,9.66862e-08
