Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΠΥΛΗΣ,75.08879,75.08879,76.90202,20.843544,0.003201981,0.003201981,0.0031937258,5.154244e-08
2019-01-02,ΔΗΜΟΣ ΠΥΛΗΣ,55.893677,55.893677,54.517456,8.732158,0.0028480133,0.0028480133,0.002796813,3.5696285e-08
2019-01-03,ΔΗΜΟΣ ΠΥΛΗΣ,91.52525,91.52525,91.259384,1.8977481,0.0031931596,0.0031931596,0.0032087164,2.6488301e-08
2019-01-04,ΔΗΜΟΣ ΠΥΛΗΣ,88.32497,88.32497,88.43361,12.625532,0.0024402107,0.0024402107,0.0023840333,2.5970083e-08
2019-01-05,ΔΗΜΟΣ ΠΥΛΗΣ,68.889404,68.889404,68.981445,3.1679142,0.0020952302,0.0020952302,0.0020552354,6.082921e-09
2019-01-06,ΔΗΜΟΣ ΠΥΛΗΣ,52.72238,52.72238,54.15085,14.368279,0.002244143,0.002244143,0.0022521003,8.957545e-09
2019-01-07,ΔΗΜΟΣ ΠΥΛΗΣ,60.874725,60.874725,62.130585,6.635256,0.001911202,0.001911202,0.0019113808,6.9468733e-09
2019-01-08,ΔΗΜΟΣ ΠΥΛΗΣ,43.662323,43.662323,43.326874,7.780955,0.0014144576,0.0014144576,0.0013722724,1.6667304e-08
2019-01-09,ΔΗΜΟΣ ΠΥΛΗΣ,98.60838,98.60838,98.76683,0.8847619,0.0039387415,0.0039387415,0.003902651,4.141136e-08
2019-01-10,ΔΗΜΟΣ ΠΥΛΗΣ,93.64755,93.64755,95.386566,19.065687,0.004641871,0.004641871,0.0045479042,7.0967076e-08
2019-01-11,ΔΗΜΟΣ ΠΥΛΗΣ,73.341324,73.341324,73.423355,2.628491,0.003865905,0.003865905,0.0038275793,3.9660392e-08
2019-01-12,ΔΗΜΟΣ ΠΥΛΗΣ,79.27045,79.27045,78.72894,5.4058022,0.0031951135,0.0031951135,0.0031610494,7.919648e-09
2019-01-13,ΔΗΜΟΣ ΠΥΛΗΣ,66.20471,66.20471,67.57434,27.275723,0.002988694,0.002988694,0.0029686072,5.3061264e-08
2019-01-14,ΔΗΜΟΣ ΠΥΛΗΣ,86.90631,86.90631,88.79376,19.568802,0.0039503397,0.0039503397,0.0038984837,1.5831642e-08
2019-01-15,ΔΗΜΟΣ ΠΥΛΗΣ,34.06134,34.06134,34.400696,5.0837674,0.0012774498,0.0012774498,0.0012354881,9.087586e-09
2019-01-16,ΔΗΜΟΣ ΠΥΛΗΣ,52.457367,52.457367,52.717133,4.6516476,0.002617661,0.002617661,0.0026318915,2.0564016e-08
2019-01-17,ΔΗΜΟΣ ΠΥΛΗΣ,64.53162,64.53162,64.243286,34.018272,0.0036539973,0.0036539973,0.0035658868,5.450279e-08
2019-01-18,ΔΗΜΟΣ ΠΥΛΗΣ,85.83945,85.83945,87.70151,52.59408,0.004934733,0.004934733,0.0049154507,1.9650637e-08
2019-01-19,ΔΗΜΟΣ ΠΥΛΗΣ,88.04454,88.04454,89.112656,13.199739,0.0053454004,0.0053454004,0.005350556,3.017827e-08
2019-01-20,ΔΗΜΟΣ ΠΥΛΗΣ,78.47473,78.47473,79.74109,21.963806,0.005021885,0.005021885,0.0050453097,3.3126902e-08
2019-01-21,ΔΗΜΟΣ ΠΥΛΗΣ,75.09294,75.09294,75.15788,0.8561568,0.004945472,0.004945472,0.004954323,2.3237755e-08
2019-01-22,ΔΗΜΟΣ ΠΥΛΗΣ,91.54854,91.54854,92.53902,6.9719586,0.0055753626,0.0055753626,0.005559895,7.3910314e-08
2019-01-23,ΔΗΜΟΣ ΠΥΛΗΣ,95.48439,95.48439,95.40968,6.4011745,0.0055607483,0.0055607483,0.0055607483,6.331135e-08
2019-01-24,ΔΗΜΟΣ ΠΥΛΗΣ,72.77994,72.77994,74.43472,21.971403,0.0045306133,0.0045306133,0.004525964,2.1008123e-08
2019-01-25,ΔΗΜΟΣ ΠΥΛΗΣ,89.995514,89.995514,90.1398,3.690798,0.0051306295,0.0051306295,0.0051281857,9.117619e-08
2019-01-26,ΔΗΜΟΣ ΠΥΛΗΣ,74.04033,74.04033,73.05693,8.201823,0.004061865,0.004061865,0.003906297,1.18364845e-07
2019-01-27,ΔΗΜΟΣ ΠΥΛΗΣ,67.47273,67.47273,69.34236,34.95803,0.004347466,0.004347466,0.0042727217,6.167012e-08
2019-01-28,ΔΗΜΟΣ ΠΥΛΗΣ,93.85152,93.85152,95.90547,33.148655,0.005652193,0.005652193,0.005644206,3.4088348e-08
2019-01-29,ΔΗΜΟΣ ΠΥΛΗΣ,98.40825,98.40825,98.6187,0.80195093,0.005136829,0.005136829,0.0051164143,1.7493922e-07
