Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,48.76335,48.76335,48.401047,11.824541,0.0029325383,0.0029325383,0.00292324,4.390671e-09
2019-01-02,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,54.68396,54.68396,54.958862,11.27,0.003176405,0.003176405,0.003150626,7.932544e-09
2019-01-03,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,80.34337,80.34337,79.78429,19.66792,0.0034818845,0.0034818845,0.0034624534,5.752824e-09
2019-01-04,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,89.24367,89.24367,89.41896,14.998773,0.002970096,0.002970096,0.0029348994,1.6966839e-08
2019-01-05,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,60.102783,60.102783,59.47998,17.120186,0.0021910744,0.0021910744,0.0021804052,1.0332947e-08
2019-01-06,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,44.8049,44.8049,44.441376,3.5522575,0.0022056086,0.0022056086,0.0022155626,1.8912978e-09
2019-01-07,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,48.791718,48.791718,48.568085,24.756338,0.0017109602,0.0017109602,0.0017038374,5.9463074e-09
2019-01-08,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,40.89084,40.89084,40.613495,1.1330724,0.001477862,0.001477862,0.0014812893,7.1576505e-09
2019-01-09,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,90.33275,90.33275,89.74388,10.104857,0.0033227871,0.0033227871,0.003293551,7.7768064e-08
2019-01-10,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,80.53061,80.53061,79.70932,9.5229025,0.004717241,0.004717241,0.004676054,7.57355e-08
2019-01-11,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,60.49147,60.49147,59.71486,44.954895,0.0032485202,0.0032485202,0.0032332018,5.1495505e-08
2019-01-12,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,58.4411,58.4411,58.08441,12.057596,0.0026205247,0.0026205247,0.00262878,6.411031e-09
2019-01-13,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,51.881714,51.881714,51.945923,6.3829174,0.0025049725,0.0025049725,0.0024891475,3.940296e-09
2019-01-14,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,60.198303,60.198303,60.45587,12.286983,0.0032463192,0.0032463192,0.003196758,1.2195673e-08
2019-01-15,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,37.664856,37.664856,37.614563,1.0802028,0.0016954273,0.0016954273,0.0017140538,5.360543e-09
2019-01-16,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,39.149506,39.149506,39.07846,6.555679,0.0025446303,0.0025446303,0.0025558956,2.1455673e-09
2019-01-17,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,51.03894,51.03894,52.39856,23.345392,0.0035000534,0.0035000534,0.0034789534,1.4097809e-08
2019-01-18,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,64.36777,64.36777,64.80209,29.013632,0.0043170797,0.0043170797,0.004342352,4.725854e-08
2019-01-19,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,67.706894,67.706894,68.08922,38.788906,0.004675146,0.004675146,0.0046937726,2.4525152e-08
2019-01-20,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,76.98279,76.98279,76.59363,13.624862,0.006022379,0.006022379,0.006084457,1.160695e-07
2019-01-21,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,73.222336,73.222336,73.18376,14.980951,0.0052235276,0.0052235276,0.0052201003,8.740935e-09
2019-01-22,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,91.72359,91.72359,92.053665,7.9513445,0.006555263,0.006555263,0.0065062977,3.7663284e-08
2019-01-23,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,90.58107,90.58107,90.82521,6.870568,0.0067827925,0.0067827925,0.006759815,9.717512e-08
2019-01-24,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,62.156403,62.156403,61.462555,9.22454,0.005319898,0.005319898,0.0052911686,1.05432136e-07
2019-01-25,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,91.16934,91.16934,91.2233,21.069767,0.0065825093,0.0065825093,0.0066005397,3.288857e-08
2019-01-26,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,72.583786,72.583786,72.00127,15.300908,0.0037066215,0.0037066215,0.0036962503,2.9023084e-08
2019-01-27,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,57.659256,57.659256,57.77791,12.091971,0.003963165,0.003963165,0.0039789304,8.069714e-09
2019-01-28,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,72.573685,72.573685,72.722855,1.8719174,0.005972121,0.005972121,0.006015066,3.5172718e-08
2019-01-29,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,89.510056,89.510056,89.31499,14.061419,0.006532278,0.006532278,0.0065793507,3.2312418e-08
2019-01-30,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,81.153854,81.153854,81.29228,1.6641446,0.006346263,0.006346263,0.006394498,6.260387e-08
2019-01-31,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,69.96117,69.96117,69.9951,21.918533,0.005084805,0.005084805,0.0051559433,1.6281872e-07
2019-02-01,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,63.861786,63.861786,64.49289,3.646291,0.005479453,0.005479453,0.0055017155,7.098161e-09
2019-02-02,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,75.52901,75.52901,76.06685,6.3151426,0.006694246,0.006694246,0.00671776,4.889645e-09
2019-02-03,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,82.452255,82.452255,83.453964,20.831238,0.007271502,0.007271502,0.007283006,7.0838766e-09
2019-02-04,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,85.89397,85.89397,86.19231,15.235592,0.007786963,0.007786963,0.007839683,2.4715705e-08
2019-02-05,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,70.86066,70.86066,70.5423,10.386047,0.0067375265,0.0067375265,0.006730642,3.6145643e-08
2019-02-06,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,85.28088,85.28088,85.06604,16.53886,0.0057487898,0.0057487898,0.005777519,1.3167497e-08
2019-02-07,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,77.50691,77.50691,77.918045,11.214589,0.004875751,0.004875751,0.0048667807,9.674929e-09
2019-02-08,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,79.533966,79.533966,79.441925,0.28377646,0.004925019,0.004925019,0.0049588745,2.800471e-08
2019-02-09,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,72.59346,72.59346,71.58174,12.672035,0.0046999985,0.0046999985,0.0047635967,4.4551406e-08
2019-02-10,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,72.82176,72.82176,73.42601,29.234123,0.0054914486,0.0054914486,0.0055552702,1.1239167e-07
2019-02-11,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,62.409027,62.409027,62.6998,5.973446,0.0060047507,0.0060047507,0.006046027,7.2970664e-08
2019-02-12,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,41.90413,41.90413,41.268875,4.454657,0.0029320884,0.0029320884,0.002932625,4.463537e-09
2019-02-13,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,34.01866,34.01866,33.756943,12.201538,0.0018857217,0.0018857217,0.001879344,3.7089407e-09
2019-02-14,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,49.869278,49.869278,49.649063,0.73510385,0.0031724737,0.0031724737,0.0031815933,1.4564918e-09
2019-02-15,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,51.37607,51.37607,51.509857,44.807304,0.0030713018,0.0030713018,0.0030652222,6.3761135e-08
2019-02-16,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,46.27365,46.27365,46.4028,2.16366,0.0032032907,0.0032032907,0.0032095492,4.6356696e-09
2019-02-17,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,52.803238,52.803238,52.6653,19.261196,0.0041259173,0.0041259173,0.0041047577,2.8080699e-08
2019-02-18,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,48.447388,48.447388,48.535767,20.419746,0.0041708965,0.0041708965,0.0042096544,6.838145e-08
2019-02-19,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,68.85043,68.85043,68.20273,10.22622,0.005915705,0.005915705,0.0059560873,2.2542451e-08
2019-02-20,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,47.39244,47.39244,47.08824,33.486526,0.004617437,0.004617437,0.0046481034,1.8131248e-08
2019-02-21,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,35.465485,35.465485,35.92447,9.915485,0.0031943582,0.0031943582,0.0031959973,1.620097e-09
2019-02-22,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,57.396088,57.396088,56.94223,29.754879,0.004375163,0.004375163,0.004359323,1.3078103e-08
2019-02-23,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,74.72203,74.72203,74.61656,37.92069,0.0028898406,0.0028898406,0.0028771448,1.0528414e-08
2019-02-24,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,59.218033,59.218033,59.154556,26.429522,0.0021340116,0.0021340116,0.0021232828,4.3795367e-09
2019-02-25,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,60.167664,60.167664,60.08026,23.206236,0.0025314246,0.0025314246,0.0025513326,2.8803733e-09
2019-02-26,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,34.12317,34.12317,34.55725,10.8762455,0.002973,0.002973,0.002992759,8.160741e-09
2019-02-27,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,35.14859,35.14859,35.716217,7.153936,0.0026673533,0.0026673533,0.0026427365,3.2504879e-09
2019-02-28,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,35.99623,35.99623,35.542618,20.884762,0.0033763105,0.0033763105,0.0033729726,3.4487048e-08
2019-03-01,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,31.599548,31.599548,31.80243,5.1713166,0.0038303034,0.0038303034,0.0038157897,1.2597491e-08
2019-03-02,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,40.618164,40.618164,40.594727,3.8088093,0.004290416,0.004290416,0.004317417,1.6783567e-08
2019-03-03,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,55.39177,55.39177,54.689865,140.16483,0.0043533905,0.0043533905,0.004317151,4.2610256e-07
2019-03-04,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,54.623306,54.623306,53.908463,38.409504,0.0048143603,0.0048143603,0.0047892965,1.05806464e-07
2019-03-05,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,52.27408,52.27408,51.592438,15.82209,0.0052028853,0.0052028853,0.005219664,2.2267402e-08
2019-03-06,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,40.431915,40.431915,40.752716,6.2741303,0.004860815,0.004860815,0.0048784283,7.494239e-08
2019-03-07,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,66.50105,66.50105,65.520096,35.74134,0.006927914,0.006927914,0.006982214,1.3485676e-07
2019-03-08,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,65.95839,65.95839,67.07265,56.65649,0.0066702426,0.0066702426,0.0067350627,2.9442168e-07
2019-03-09,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,40.148697,40.148697,39.55104,2.4076548,0.0050365166,0.0050365166,0.0049940185,1.10613634e-07
2019-03-10,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,37.1409,37.1409,36.519318,4.836928,0.0048982203,0.0048982203,0.004921645,3.637698e-08
2019-03-11,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,43.3441,43.3441,42.801865,24.763012,0.005561188,0.005561188,0.005518809,3.195907e-08
2019-03-12,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,73.935104,73.935104,73.43388,25.19517,0.0047679245,0.0047679245,0.004753202,1.1785538e-08
2019-03-13,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,46.701736,46.701736,46.836258,4.249466,0.003381737,0.003381737,0.0033835848,2.8083669e-09
2019-03-14,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,79.06064,79.06064,79.29843,5.1282396,0.005256698,0.005256698,0.0052841757,2.1015847e-08
2019-03-15,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,28.38292,28.38292,28.33751,35.371517,0.002565298,0.002565298,0.002560917,5.779794e-08
2019-03-16,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,36.43431,36.43431,36.532944,4.705412,0.0044371225,0.0044371225,0.0044445135,2.0500764e-08
2019-03-17,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,42.266846,42.266846,42.37622,2.6689014,0.0053601633,0.0053601633,0.0053774486,6.16901e-08
2019-03-18,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,65.41756,65.41756,64.23201,42.444916,0.0072833123,0.0072833123,0.007361424,3.190432e-07
2019-03-19,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,65.24339,65.24339,64.83226,21.652166,0.007444039,0.007444039,0.007444516,5.9525554e-08
2019-03-20,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,51.457016,51.457016,51.68895,14.822549,0.0060106376,0.0060106376,0.0059877196,1.00003255e-07
2019-03-21,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,54.44075,54.44075,54.310867,4.560316,0.005298765,0.005298765,0.0052968874,1.6312685e-08
2019-03-22,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,63.680313,63.680313,63.93373,7.2741227,0.005653562,0.005653562,0.005656423,3.6769435e-08
2019-03-23,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,45.059677,45.059677,45.066513,14.211813,0.004936763,0.004936763,0.0049119378,1.18377645e-08
2019-03-24,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,59.940674,59.940674,60.14673,28.63017,0.0058120666,0.0058120666,0.005791384,4.038756e-08
2019-03-25,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,62.872444,62.872444,61.486217,16.534458,0.006180306,0.006180306,0.0061458247,7.080142e-09
2019-03-26,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,40.386353,40.386353,39.800415,27.005219,0.0045742253,0.0045742253,0.004587994,3.3099248e-08
2019-03-27,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,61.331238,61.331238,61.553894,89.42033,0.0051391693,0.0051391693,0.005138931,2.9335456e-07
2019-03-28,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,63.044586,63.044586,64.36734,16.842648,0.0044001266,0.0044001266,0.004407637,7.8172086e-08
2019-03-29,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,28.336304,28.336304,28.307007,19.288525,0.002751059,0.002751059,0.0027547842,3.2792677e-08
2019-03-30,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,33.160767,33.160767,32.94568,10.722752,0.0035152326,0.0035152326,0.00351714,3.1781795e-09
2019-03-31,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,32.789024,32.789024,32.81588,13.175262,0.0036906637,0.0036906637,0.003648285,4.428629e-08
2019-04-01,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,40.455017,40.455017,40.80414,33.68634,0.0045471555,0.0045471555,0.004535324,8.731025e-08
2019-04-02,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,38.41536,38.41536,38.263504,19.32666,0.0041617504,0.0041617504,0.004153853,1.3205083e-08
2019-04-03,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,55.575943,55.575943,55.63307,12.088844,0.004756816,0.004756816,0.0047529717,5.54171e-09
2019-04-04,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,67.28789,67.28789,66.90654,14.531715,0.0057532853,0.0057532853,0.005779988,3.3631423e-08
2019-04-05,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,75.022156,75.022156,74.830505,24.360981,0.0064237476,0.0064237476,0.0063920976,5.8291867e-08
2019-04-06,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,66.914856,66.914856,66.758606,55.34194,0.0063600726,0.0063600726,0.0063368566,6.815221e-08
2019-04-07,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,65.2262,65.2262,64.905396,52.128643,0.0068241023,0.0068241023,0.006809648,9.5079855e-08
2019-04-08,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,84.2343,84.2343,85.53435,35.422764,0.0074633695,0.0074633695,0.007492963,1.7044089e-08
2019-04-09,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,55.271072,55.271072,55.133865,41.044937,0.0060845986,0.0060845986,0.0060907975,5.7994328e-08
2019-04-10,ΔΗΜΟΣ ΠΥΔΝΑΣ - ΚΟΛΙΝΔΡΟΥ,67.04045,67.04045,67.174484,37.574833,0.007564027,0.007564027,0.007559199,3.424524e-08
