Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,57.32341,57.32341,57.32341,18.736893,0.0036923187,0.0036923187,0.0036923187,6.3538295e-08
2019-01-02,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,60.36853,60.36853,60.36853,0.09918809,0.004015251,0.004015251,0.004015251,5.3399987e-09
2019-01-03,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,91.085556,91.085556,91.085556,2.4170532,0.004502495,0.004502495,0.004502495,1.0917521e-08
2019-01-04,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,97.5005,97.5005,97.5005,0.073969126,0.0043078326,0.0043078326,0.0043078326,3.5475978e-10
2019-01-05,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,79.98291,79.98291,79.98291,4.9946136,0.003574677,0.003574677,0.003574677,1.7524972e-08
2019-01-06,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,50.516083,50.516083,50.516083,0.7845392,0.002895294,0.002895294,0.002895294,4.655618e-10
2019-01-07,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,74.14377,74.14377,74.14377,8.153702,0.0032112985,0.0032112985,0.0032112985,7.876796e-09
2019-01-08,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,47.875214,47.875214,47.875214,0.0013055801,0.002024228,0.002024228,0.002024228,6.8936945e-10
2019-01-09,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,78.049545,78.049545,78.049545,0.6365671,0.004964031,0.004964031,0.004964031,1.5995774e-09
2019-01-10,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,70.92709,70.92709,70.92709,0.03682351,0.006496261,0.006496261,0.006496261,5.293401e-10
2019-01-11,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,63.742203,63.742203,63.742203,8.229166,0.004605539,0.004605539,0.004605539,6.514087e-08
2019-01-12,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,74.90912,74.90912,74.90912,6.087496,0.004359103,0.004359103,0.004359103,1.0412805e-08
2019-01-13,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,59.237427,59.237427,59.237427,0.5522928,0.003358958,0.003358958,0.003358958,5.4891167e-09
2019-01-14,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,60.38214,60.38214,60.38214,5.0955124,0.0039232196,0.0039232196,0.0039232196,2.1186159e-08
2019-01-15,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,42.18878,42.18878,42.18878,3.2042398,0.0024002225,0.0024002225,0.0024002225,1.4871979e-09
2019-01-16,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,40.50717,40.50717,40.50717,2.2971191,0.0030383058,0.0030383058,0.0030383058,5.626867e-09
2019-01-17,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,50.922485,50.922485,50.922485,0.89916325,0.0040620063,0.0040620063,0.0040620063,7.06315e-09
2019-01-18,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,65.167816,65.167816,65.167816,0.3241434,0.0056166993,0.0056166993,0.0056166993,3.6097845e-09
2019-01-19,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,76.655624,76.655624,76.655624,4.7894297,0.0063651465,0.0063651465,0.0063651465,1.493028e-08
2019-01-20,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,70.474,70.474,70.474,0.02549386,0.006447211,0.006447211,0.006447211,1.8366144e-09
2019-01-21,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,81.4904,81.4904,81.4904,0.4821024,0.0065292567,0.0065292567,0.0065292567,1.7808475e-09
2019-01-22,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,75.306595,75.306595,75.306595,0.10575199,0.006824229,0.006824229,0.006824229,2.220446e-10
2019-01-23,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,79.76076,79.76076,79.76076,3.093339,0.007603638,0.007603638,0.007603638,2.431284e-08
2019-01-24,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,55.718903,55.718903,55.718903,0.8871653,0.005248313,0.005248313,0.005248313,1.3899935e-08
2019-01-25,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,76.039215,76.039215,76.039215,1.0745833,0.0063369083,0.0063369083,0.0063369083,6.379253e-11
2019-01-26,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,73.52226,73.52226,73.52226,4.617882,0.0050080293,0.0050080293,0.0050080293,5.8572027e-09
2019-01-27,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,59.46443,59.46443,59.46443,2.1371927,0.004561208,0.004561208,0.004561208,7.8145845e-10
2019-01-28,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,66.65254,66.65254,66.65254,0.0048754215,0.006248299,0.006248299,0.006248299,3.240217e-10
2019-01-29,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,76.480515,76.480515,76.480515,5.352174,0.0072335117,0.0072335117,0.0072335117,3.607348e-08
2019-01-30,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,73.609665,73.609665,73.609665,1.7329254,0.006432317,0.006432317,0.006432317,2.3137012e-09
2019-01-31,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,51.72264,51.72264,51.72264,0.45932388,0.004371606,0.004371606,0.004371606,2.2284894e-09
2019-02-01,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,63.77121,63.77121,63.77121,0.47399998,0.006389646,0.006389646,0.006389646,1.9984014e-09
2019-02-02,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,70.87837,70.87837,70.87837,0.26085758,0.0070578046,0.0070578046,0.0070578046,6.874078e-09
2019-02-03,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,77.337265,77.337265,77.337265,2.7544978,0.007757101,0.007757101,0.007757101,2.5899283e-12
2019-02-04,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,90.73723,90.73723,90.73723,0.0037851334,0.0085437335,0.0085437335,0.0085437335,3.2878376e-09
2019-02-05,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,80.1922,80.1922,80.1922,0.11483097,0.007206466,0.007206466,0.007206466,3.769074e-11
2019-02-06,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,88.34094,88.34094,88.34094,1.7380714,0.0065575056,0.0065575056,0.0065575056,1.9711806e-08
2019-02-07,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,68.96101,68.96101,68.96101,7.610917,0.004499795,0.004499795,0.004499795,1.9237692e-08
2019-02-08,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,72.626495,72.626495,72.626495,0.4160502,0.004736877,0.004736877,0.004736877,1.8111592e-09
2019-02-09,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,74.85127,74.85127,74.85127,1.0544322,0.0050126845,0.0050126845,0.0050126845,2.0412614e-09
2019-02-10,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,69.63988,69.63988,69.63988,0.052666664,0.0055452865,0.0055452865,0.0055452865,5.1031535e-10
2019-02-11,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,59.581635,59.581635,59.581635,0.07212162,0.0064578354,0.0064578354,0.0064578354,3.05295e-09
2019-02-12,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,48.79866,48.79866,48.79866,3.0522547,0.0039669443,0.0039669443,0.0039669443,1.2159163e-08
2019-02-13,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,68.301865,68.301865,68.301865,13.133546,0.0037205315,0.0037205315,0.0037205315,2.0961156e-08
2019-02-14,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,50.994278,50.994278,50.994278,0.00017380714,0.003381984,0.003381984,0.003381984,5.376002e-10
2019-02-15,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,77.00107,77.00107,77.00107,6.215867,0.004367643,0.004367643,0.004367643,6.227822e-09
2019-02-16,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,51.655243,51.655243,51.655243,0.008973122,0.0031904757,0.0031904757,0.0031904757,5.293401e-10
2019-02-17,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,55.4778,55.4778,55.4778,0.11749363,0.0042139534,0.0042139534,0.0042139534,7.993606e-13
2019-02-18,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,55.686157,55.686157,55.686157,1.0324862,0.0051323045,0.0051323045,0.0051323045,1.1910689e-08
2019-02-19,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,69.05234,69.05234,69.05234,3.1711123,0.006169889,0.006169889,0.006169889,1.8065638e-08
2019-02-20,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,57.67711,57.67711,57.67711,0.5639658,0.005583956,0.005583956,0.005583956,6.322253e-09
2019-02-21,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,54.693024,54.693024,54.693024,4.3797007,0.004959639,0.004959639,0.004959639,2.4238545e-08
2019-02-22,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,59.785492,59.785492,59.785492,0.06571412,0.005146581,0.005146581,0.005146581,1.4396196e-08
2019-02-23,ΔΗΜΟΣ ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,72.61803,72.61803,72.61803,0.16464257,0.0031286764,0.0031286764,0.0031286764,1.6427748e-09
