Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,82.36101,82.36101,83.475266,49.47052,0.0038138127,0.0038138127,0.0038587945,7.2582353e-09
2019-01-02,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,58.700726,58.700726,57.349487,5.4572434,0.0032829882,0.0032829882,0.0032510003,1.0729046e-08
2019-01-03,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,95.88047,95.88047,96.29454,0.8136317,0.00362128,0.00362128,0.0036072927,1.9254848e-08
2019-01-04,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,93.38446,93.38446,93.55763,0.77175546,0.003009445,0.003009445,0.002956357,1.5672397e-08
2019-01-05,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,68.44108,68.44108,65.8584,17.965256,0.0023342846,0.0023342846,0.0023365098,5.4602114e-09
2019-01-06,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,44.842907,44.842907,42.390106,17.726824,0.0021658128,0.0021658128,0.0021938665,2.6589204e-09
2019-01-07,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,61.714405,61.714405,59.229706,17.781118,0.0023133147,0.0023133147,0.0022848635,3.8039834e-09
2019-01-08,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,47.26714,47.26714,45.46994,10.875569,0.0017018365,0.0017018365,0.0016974455,1.986091e-09
2019-01-09,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,96.192444,96.192444,95.58861,5.0061684,0.004002906,0.004002906,0.0039468776,1.9221602e-08
2019-01-10,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,81.633965,81.633965,81.5184,35.431713,0.005088995,0.005088995,0.0050898297,1.035599e-08
2019-01-11,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,76.09621,76.09621,74.94777,29.310608,0.004576333,0.004576333,0.0045037344,1.2579079e-08
2019-01-12,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,89.50336,89.50336,89.17816,7.5175405,0.0035983885,0.0035983885,0.0035191542,2.4711893e-08
2019-01-13,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,61.55937,61.55937,59.525513,25.055756,0.0030694583,0.0030694583,0.0029771903,2.7608914e-08
2019-01-14,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,76.96108,76.96108,76.80548,26.956648,0.0040848674,0.0040848674,0.0040660324,2.0788302e-09
2019-01-15,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,37.049786,37.049786,37.4339,0.86277604,0.0016025733,0.0016025733,0.0016001493,5.2119007e-09
2019-01-16,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,48.839203,48.839203,49.665375,20.493626,0.0029930759,0.0029930759,0.0030316003,7.842977e-09
2019-01-17,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,61.029583,61.029583,59.48694,44.6256,0.004122823,0.004122823,0.0041497443,2.8241285e-09
2019-01-18,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,69.642426,69.642426,69.45688,48.15068,0.0049461075,0.0049461075,0.004955684,1.2097259e-09
2019-01-19,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,75.885765,75.885765,76.83336,34.837616,0.0056787,0.0056787,0.0057265423,1.908212e-08
2019-01-20,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,66.01029,66.01029,65.6405,20.688734,0.0052187196,0.0052187196,0.0052054673,1.2698892e-08
2019-01-21,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,71.17335,71.17335,72.705246,4.902916,0.0054400414,0.0054400414,0.005528614,6.574422e-08
2019-01-22,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,80.31831,80.31831,81.315384,6.2019672,0.0060650245,0.0060650245,0.006058667,7.151037e-08
2019-01-23,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,84.08074,84.08074,83.784195,0.4678296,0.006375862,0.006375862,0.0063052103,1.7033246e-07
2019-01-24,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,59.864574,59.864574,59.041656,37.692253,0.004673724,0.004673724,0.004701023,1.6106867e-09
2019-01-25,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,89.29687,89.29687,88.496735,7.0479646,0.0056927805,0.0056927805,0.0057251262,1.05011175e-07
2019-01-26,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,75.109665,75.109665,73.86943,6.0242333,0.0046344274,0.0046344274,0.004652547,6.0618675e-09
2019-01-27,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,57.65193,57.65193,57.506424,4.3632016,0.0045958385,0.0045958385,0.004642926,1.3323898e-08
2019-01-28,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,70.094765,70.094765,72.17061,83.27304,0.0055390038,0.0055390038,0.0055204667,1.2029363e-08
2019-01-29,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,93.435265,93.435265,94.611374,3.3258274,0.006494583,0.006494583,0.006427329,9.646043e-08
2019-01-30,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,75.50387,75.50387,74.757126,70.267105,0.005172732,0.005172732,0.0051831827,2.4295901e-10
2019-01-31,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,71.31965,71.31965,70.75487,85.82108,0.004170023,0.004170023,0.004155956,1.044962e-09
2019-02-01,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,62.05376,62.05376,60.91574,58.462646,0.0052117785,0.0052117785,0.005197076,5.9461374e-09
2019-02-02,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,56.96887,56.96887,57.22603,0.77189916,0.0059225545,0.0059225545,0.0059240647,1.4020931e-07
2019-02-03,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,59.45624,59.45624,59.626816,49.294342,0.0063825585,0.0063825585,0.0063808896,4.862295e-07
2019-02-04,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,81.59498,81.59498,83.431564,8.007106,0.006889466,0.006889466,0.0069447793,5.000436e-08
2019-02-05,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,77.409645,77.409645,78.52521,8.275429,0.0062504276,0.0062504276,0.0063054226,5.0631854e-08
2019-02-06,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,93.27584,93.27584,94.85364,5.4620004,0.0057436735,0.0057436735,0.005802702,5.705333e-08
2019-02-07,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,81.079506,81.079506,80.295,5.274476,0.004652323,0.004652323,0.004770579,4.9491405e-08
2019-02-08,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,70.88577,70.88577,71.90628,2.175904,0.0044702855,0.0044702855,0.004583097,4.116063e-08
2019-02-09,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,61.828323,61.828323,61.382034,2.2509239,0.004322125,0.004322125,0.0045015747,6.4983716e-08
2019-02-10,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,57.57477,57.57477,55.850815,16.00656,0.005026587,0.005026587,0.005009381,1.7606588e-08
