Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,65.45232,65.45232,65.45232,38.351654,0.0035228627,0.0035228627,0.0035228627,1.7289054e-08
2019-01-02,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,56.932007,56.932007,56.932007,0.5385897,0.0033117374,0.0033117374,0.0033117374,6.2749486e-09
2019-01-03,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,91.48888,91.48888,91.48888,2.3417368,0.0037640529,0.0037640529,0.0037640529,1.0194995e-08
2019-01-04,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,88.52443,88.52443,88.52443,0.46730042,0.0030454064,0.0030454064,0.0030454064,6.1341012e-09
2019-01-05,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,58.273926,58.273926,58.273926,0.0598433,0.0022384601,0.0022384601,0.0022384601,9.967582e-09
2019-01-06,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,39.21237,39.21237,39.21237,0.26687717,0.002184449,0.002184449,0.002184449,8.936482e-09
2019-01-07,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,55.067596,55.067596,55.067596,1.0614634,0.0022733002,0.0022733002,0.0022733002,6.041091e-09
2019-01-08,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,40.275116,40.275116,40.275116,0.4364512,0.0015439338,0.0015439338,0.0015439338,2.5668356e-13
2019-01-09,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,94.199936,94.199936,94.199936,0.112854004,0.0036782394,0.0036782394,0.0036782394,1.4688659e-09
2019-01-10,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,80.23129,80.23129,80.23129,3.0352173,0.005403052,0.005403052,0.005403052,5.784253e-08
2019-01-11,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,70.997086,70.997086,70.997086,5.472584,0.0046038106,0.0046038106,0.0046038106,1.1421584e-09
2019-01-12,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,74.01752,74.01752,74.01752,3.9087298,0.0035177832,0.0035177832,0.0035177832,2.6926049e-08
2019-01-13,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,52.065063,52.065063,52.065063,0.6996081,0.0027051547,0.0027051547,0.0027051547,1.3219648e-09
2019-01-14,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,66.46954,66.46954,66.46954,6.6115274,0.003673774,0.003673774,0.003673774,2.2567157e-09
2019-01-15,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,32.176086,32.176086,32.176086,3.2922401,0.001523915,0.001523915,0.001523915,1.4353319e-10
2019-01-16,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,41.171722,41.171722,41.171722,7.0998306,0.0027597435,0.0027597435,0.0027597435,8.9477545e-09
2019-01-17,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,50.425903,50.425903,50.425903,1.3043692,0.0038049014,0.0038049014,0.0038049014,3.752554e-12
2019-01-18,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,63.832855,63.832855,63.832855,3.4536448,0.005145286,0.005145286,0.005145286,2.420144e-10
2019-01-19,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,71.18248,71.18248,71.18248,17.563793,0.0057008527,0.0057008527,0.0057008527,5.506795e-09
2019-01-20,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,64.88318,64.88318,64.88318,3.2621863,0.005572483,0.005572483,0.005572483,4.2597925e-11
2019-01-21,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,66.850266,66.850266,66.850266,10.597441,0.0053596348,0.0053596348,0.0053596348,1.0398118e-09
2019-01-22,ΔΗΜΟΣ ΦΑΡΚΑΔΟΝΑΣ,79.45503,79.45503,79.45503,6.6618433,0.0062960126,0.0062960126,0.0062960126,3.7252903e-09
