Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,82.02556,82.02556,82.02556,16.035175,0.0034183161,0.0034183161,0.0034183161,2.3065297e-08
2019-01-02,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,60.227417,60.227417,60.227417,0.4370966,0.0031311354,0.0031311354,0.0031311354,3.987033e-10
2019-01-03,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,93.24913,93.24913,93.24913,0.06323457,0.003400703,0.003400703,0.003400703,1.6524524e-09
2019-01-04,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,86.81496,86.81496,86.81496,9.073391,0.0024821425,0.0024821425,0.0024821425,1.3481497e-08
2019-01-05,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,69.26953,69.26953,69.26953,0.16345596,0.0022018033,0.0022018033,0.0022018033,7.8479445e-10
2019-01-06,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,52.899384,52.899384,52.899384,5.7642193,0.0022737368,0.0022737368,0.0022737368,7.28528e-09
2019-01-07,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,62.116425,62.116425,62.116425,0.0013771057,0.0020599752,0.0020599752,0.0020599752,2.3713973e-09
2019-01-08,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,47.687714,47.687714,47.687714,0.028213501,0.0016325361,0.0016325361,0.0016325361,4.698464e-11
2019-01-09,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,99.92357,99.92357,99.92357,0.037766457,0.0041774283,0.0041774283,0.0041774283,4.2055035e-09
2019-01-10,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,94.722015,94.722015,94.722015,7.011635,0.0050757034,0.0050757034,0.0050757034,1.4069101e-10
2019-01-11,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,76.565445,76.565445,76.565445,2.4337828,0.00407023,0.00407023,0.00407023,1.049813e-08
2019-01-12,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,84.03412,84.03412,84.03412,1.7213748,0.0033540493,0.0033540493,0.0033540493,9.789858e-11
2019-01-13,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,68.880005,68.880005,68.880005,8.142551,0.0032024959,0.0032024959,0.0032024959,1.4267755e-08
2019-01-14,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,88.08429,88.08429,88.08429,6.169693,0.0041118683,0.0041118683,0.0041118683,2.3830218e-09
2019-01-15,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,32.473938,32.473938,32.473938,2.475091,0.001273337,0.001273337,0.001273337,4.8384017e-09
2019-01-16,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,54.87387,54.87387,54.87387,0.085544825,0.0028165765,0.0028165765,0.0028165765,3.1358391e-09
2019-01-17,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,71.04407,71.04407,71.04407,3.0984938,0.0040387306,0.0040387306,0.0040387306,7.993606e-15
2019-01-18,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,85.70004,85.70004,85.70004,15.914178,0.005108093,0.005108093,0.005108093,1.745807e-09
2019-01-19,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,88.74498,88.74498,88.74498,8.386793,0.0055471323,0.0055471323,0.0055471323,6.089209e-10
2019-01-20,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,78.19812,78.19812,78.19812,12.566471,0.0052141696,0.0052141696,0.0052141696,1.1510792e-12
2019-01-21,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,75.39421,75.39421,75.39421,0.68498254,0.00513421,0.00513421,0.00513421,2.2794246e-09
2019-01-22,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,90.91939,90.91939,90.91939,6.775751,0.0059236623,0.0059236623,0.0059236623,9.94195e-10
2019-01-23,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,90.70265,90.70265,90.70265,4.332821,0.005839877,0.005839877,0.005839877,6.1808727e-09
2019-01-24,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,73.43375,73.43375,73.43375,11.466557,0.004711394,0.004711394,0.004711394,1.1510792e-12
2019-01-25,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,92.453766,92.453766,92.453766,0.008973122,0.005392115,0.005392115,0.005392115,1.2463378e-08
2019-01-26,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,78.02324,78.02324,78.02324,0.47064424,0.004619705,0.004619705,0.004619705,9.94195e-10
2019-01-27,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,68.53963,68.53963,68.53963,16.878937,0.004709147,0.004709147,0.004709147,2.1338487e-09
2019-01-28,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,92.7917,92.7917,92.7917,15.596329,0.005902026,0.005902026,0.005902026,9.1863317e-10
2019-01-29,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,97.84331,97.84331,97.84331,0.0718596,0.005589079,0.005589079,0.005589079,5.9677426e-08
2019-01-30,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,90.57939,90.57939,90.57939,17.015625,0.005193256,0.005193256,0.005193256,2.9420022e-11
2019-01-31,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,93.36961,93.36961,93.36961,29.338514,0.004487656,0.004487656,0.004487656,4.290971e-09
2019-02-01,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,82.266815,82.266815,82.266815,46.01847,0.005441515,0.005441515,0.005441515,1.6806556e-08
2019-02-02,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,61.68599,61.68599,61.68599,2.6469765,0.00536694,0.00536694,0.00536694,7.053135e-09
2019-02-03,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,51.86119,51.86119,51.86119,0.20798588,0.00540838,0.00540838,0.00540838,2.9590538e-08
2019-02-04,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,81.96867,81.96867,81.96867,9.3609705,0.0063654818,0.0063654818,0.0063654818,4.9296123e-08
2019-02-05,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,76.2337,76.2337,76.2337,10.238125,0.0057057403,0.0057057403,0.0057057403,6.517129e-08
2019-02-06,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,95.947876,95.947876,95.947876,8.139765,0.0054529123,0.0054529123,0.0054529123,2.6565381e-08
2019-02-07,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,78.17879,78.17879,78.17879,20.798588,0.004287364,0.004287364,0.004287364,3.0146797e-08
2019-02-08,ΔΗΜΟΣ ΑΡΓΙΘΕΑΣ,71.93509,71.93509,71.93509,0.00025963783,0.00427059,0.00427059,0.00427059,8.151382e-10
