Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,49.1989,49.1989,49.1989,0.06900883,0.0030723708,0.0030723708,0.0030723708,3.1258338e-09
2019-01-02,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,51.574585,51.574585,51.574585,0.27963853,0.0030488214,0.0030488214,0.0030488214,7.86622e-09
2019-01-03,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,79.551865,79.551865,79.551865,2.2368357,0.0036157565,0.0036157565,0.0036157565,1.0283117e-09
2019-01-04,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,84.11574,84.11574,84.11574,3.0779002,0.0030181075,0.0030181075,0.0030181075,8.913958e-09
2019-01-05,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,62.0625,62.0625,62.0625,0.070038795,0.0022684413,0.0022684413,0.0022684413,4.1285517e-09
2019-01-06,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,49.710907,49.710907,49.710907,4.881769,0.0023315533,0.0023315533,0.0023315533,5.820766e-11
2019-01-07,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,45.93039,45.93039,45.93039,0.3404677,0.0017149239,0.0017149239,0.0017149239,1.3393588e-09
2019-01-08,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,45.196503,45.196503,45.196503,0.00018692017,0.0015538579,0.0015538579,0.0015538579,1.816236e-09
2019-01-09,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,89.62572,89.62572,89.62572,0.495759,0.003129996,0.003129996,0.003129996,3.1995743e-08
2019-01-10,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,86.62729,86.62729,86.62729,3.265715,0.004813741,0.004813741,0.004813741,5.7299076e-08
2019-01-11,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,56.65529,56.65529,56.65529,6.1406193,0.0029876307,0.0029876307,0.0029876307,2.0520474e-09
2019-01-12,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,57.21234,57.21234,57.21234,3.5302887,0.0025293594,0.0025293594,0.0025293594,1.5948132e-09
2019-01-13,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,52.427856,52.427856,52.427856,1.2590418,0.002586601,0.002586601,0.002586601,3.348397e-10
2019-01-14,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,59.159973,59.159973,59.159973,3.7804422,0.0030439317,0.0030439317,0.0030439317,4.3144297e-09
2019-01-15,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,39.904602,39.904602,39.904602,1.8320045,0.001841727,0.001841727,0.001841727,6.474821e-11
2019-01-16,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,40.995453,40.995453,40.995453,1.4101562,0.0025805123,0.0025805123,0.0025805123,3.4141578e-12
2019-01-17,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,43.517212,43.517212,43.517212,0.09105778,0.0031589062,0.0031589062,0.0031589062,8.99857e-09
2019-01-18,ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ,59.671234,59.671234,59.671234,0.0025293827,0.0038343417,0.0038343417,0.0038343417,2.0583142e-08
