Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,84.75261,84.75261,84.75261,1.631607,0.0037144916,0.0037144916,0.0037144916,2.0823311e-08
2019-01-02,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,58.165894,58.165894,58.165894,1.9610939,0.0031431755,0.0031431755,0.0031431755,1.0244925e-09
2019-01-03,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,93.813095,93.813095,93.813095,0.6649256,0.003524323,0.003524323,0.003524323,6.8839654e-09
2019-01-04,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,91.6924,91.6924,91.6924,3.4790993,0.0027773047,0.0027773047,0.0027773047,3.2059745e-08
2019-01-05,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,67.36182,67.36182,67.36182,2.2602656,0.0022082406,0.0022082406,0.0022082406,1.1869048e-09
2019-01-06,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,46.444305,46.444305,46.444305,16.436531,0.0021409376,0.0021409376,0.0021409376,2.2510562e-09
2019-01-07,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,60.69162,60.69162,60.69162,2.1371927,0.002182403,0.002182403,0.002182403,5.4362523e-09
2019-01-08,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,46.494843,46.494843,46.494843,1.0504248,0.0016444868,0.0016444868,0.0016444868,2.5971225e-11
2019-01-09,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,97.85326,97.85326,97.85326,5.1286325,0.004029728,0.004029728,0.004029728,6.864198e-09
2019-01-10,ΔΗΜΟΣ ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,86.796234,86.796234,86.796234,27.85551,0.0050138934,0.0050138934,0.0050138934,2.4948719e-09
