Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,44.929043,44.929043,44.830734,0.96514463,0.002881318,0.002881318,0.0028653042,5.1010747e-09
2019-01-02,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,51.37553,51.37553,50.924683,1.754766,0.0030907036,0.0030907036,0.003121539,7.7454585e-09
2019-01-03,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,77.52859,77.52859,77.5504,5.2755065,0.003409286,0.003409286,0.0034133391,7.261671e-09
2019-01-04,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,84.80894,84.80894,84.27638,2.0755625,0.0028408037,0.0028408037,0.0028398896,1.6570333e-08
2019-01-05,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,56.500324,56.500324,56.807617,0.70998025,0.0020669776,0.0020669776,0.0020601826,5.430602e-09
2019-01-06,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,46.46237,46.46237,45.617645,11.303913,0.002262531,0.002262531,0.0022521599,7.521237e-10
2019-01-07,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,45.753143,45.753143,47.49533,6.9162927,0.0016175299,0.0016175299,0.0016302853,6.338894e-10
2019-01-08,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,41.652557,41.652557,40.27365,5.4121075,0.001472597,0.001472597,0.0014552122,2.1536133e-09
2019-01-09,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,87.19668,87.19668,86.739975,0.63716525,0.002967295,0.002967295,0.0029738913,3.3899305e-08
2019-01-10,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,80.05421,80.05421,80.38071,4.8841643,0.004394005,0.004394005,0.0043736203,4.9047355e-08
2019-01-11,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,56.2186,56.2186,57.397964,10.190458,0.0029786106,0.0029786106,0.0029658154,1.1545279e-08
2019-01-12,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,57.668396,57.668396,58.586365,7.5521474,0.0025040472,0.0025040472,0.0025236374,3.011037e-09
2019-01-13,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,50.72766,50.72766,51.11438,3.2734306,0.0024764317,0.0024764317,0.002455292,1.4106769e-09
2019-01-14,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,60.671368,60.671368,60.593567,21.749949,0.0031642534,0.0031642534,0.003162068,3.3711308e-11
2019-01-15,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,39.16632,39.16632,38.56476,5.4178185,0.0017677577,0.0017677577,0.0017756254,7.843539e-10
2019-01-16,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,41.260754,41.260754,41.910492,13.148704,0.0025996852,0.0025996852,0.0025969036,1.3396914e-09
2019-01-17,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,48.310505,48.310505,49.587524,11.041389,0.003417779,0.003417779,0.003397295,3.5609802e-09
2019-01-18,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,60.38722,60.38722,61.383636,8.180531,0.0040380503,0.0040380503,0.004025017,1.4935296e-08
2019-01-19,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,64.615585,64.615585,67.32359,18.360903,0.004531668,0.004531668,0.004517641,5.884491e-09
2019-01-20,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,75.25769,75.25769,74.787964,5.9724507,0.006003017,0.006003017,0.005869642,7.4138306e-08
2019-01-21,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,69.42269,69.42269,69.00212,1.412299,0.005104666,0.005104666,0.005098745,1.392268e-08
2019-01-22,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,92.871376,92.871376,94.31831,11.731721,0.0063364245,0.0063364245,0.0064007975,6.513403e-08
2019-01-23,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,92.61102,92.61102,93.662125,6.012408,0.00654041,0.00654041,0.006470673,1.4916499e-07
2019-01-24,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,59.751293,59.751293,59.99771,0.50003964,0.005165025,0.005165025,0.005055909,6.8722294e-08
2019-01-25,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,94.07746,94.07746,96.87564,17.100346,0.006488781,0.006488781,0.0065009403,6.695635e-08
2019-01-26,ΔΗΜΟΣ ΑΛΕΞΑΝΔΡΕΙΑΣ,69.18812,69.18812,68.462204,2.467761,0.003414996,0.003414996,0.0035294765,3.0098896e-08
