Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,53.15137,53.15137,52.21257,1.9819707,0.0027390616,0.0027390616,0.0027522938,1.5470599e-09
2019-01-02,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,50.86023,50.86023,52.32019,4.7999196,0.002665921,0.002665921,0.0027267179,1.7104526e-08
2019-01-03,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,84.66433,84.66433,85.560165,2.6891925,0.0030278957,0.0030278957,0.0030164914,9.378561e-09
2019-01-04,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,89.71714,89.71714,90.27345,1.417847,0.002426313,0.002426313,0.0024387504,1.1739627e-08
2019-01-05,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,67.54199,67.54199,66.3916,4.7991204,0.0019438345,0.0019438345,0.0019279795,5.904989e-10
2019-01-06,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,59.104626,59.104626,60.884247,9.374093,0.0022667034,0.0022667034,0.0022646768,8.237275e-10
2019-01-07,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,60.815968,60.815968,60.18576,7.0469317,0.0015949198,0.0015949198,0.0015898733,1.7905993e-10
2019-01-08,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,47.620655,47.620655,46.97287,8.065054,0.0013590303,0.0013590303,0.0013480431,2.5803983e-09
2019-01-09,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,92.32688,92.32688,91.93529,2.3178144,0.002736307,0.002736307,0.0027918587,7.0583988e-09
2019-01-10,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,89.02133,89.02133,88.358246,3.1111,0.0041957204,0.0041957204,0.0042291386,1.109309e-08
2019-01-11,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,67.03338,67.03338,66.85695,2.7004917,0.0029591795,0.0029591795,0.00300885,1.9328015e-08
2019-01-12,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,68.657005,68.657005,69.31879,3.5458124,0.002412733,0.002412733,0.0024001366,3.4164442e-09
2019-01-13,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,59.812946,59.812946,60.87317,2.3897326,0.00233799,0.00233799,0.0023633817,2.8010447e-09
2019-01-14,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,75.49168,75.49168,77.00958,8.086185,0.0031996586,0.0031996586,0.0032154738,5.8777355e-10
2019-01-15,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,46.219707,46.219707,47.304993,4.043488,0.0016308656,0.0016308656,0.001629594,3.5608076e-09
2019-01-16,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,52.68979,52.68979,53.69565,2.4440708,0.0024966486,0.0024966486,0.0025218613,4.8775277e-09
2019-01-17,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,53.95927,53.95927,53.57483,4.580902,0.003180652,0.003180652,0.0032533498,1.239793e-08
2019-01-18,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,72.719574,72.719574,72.199066,3.1777847,0.0042574354,0.0042574354,0.004309808,2.0313529e-08
2019-01-19,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,78.50979,78.50979,78.021835,1.6219816,0.0046948656,0.0046948656,0.0046974085,7.890371e-10
2019-01-20,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,72.9849,72.9849,72.10828,3.0496027,0.005021488,0.005021488,0.005181566,5.2113588e-08
2019-01-21,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,74.21957,74.21957,74.76677,1.0644788,0.004668241,0.004668241,0.0046940297,1.5480929e-08
2019-01-22,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,99.69039,99.69039,99.86519,0.47625414,0.005719596,0.005719596,0.0056109168,2.4754007e-08
2019-01-23,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,98.25881,98.25881,97.968765,0.46592012,0.005666606,0.005666606,0.005616896,3.1472297e-08
2019-01-24,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,55.3815,55.3815,55.18033,9.380592,0.004066273,0.004066273,0.0042223977,9.578384e-08
2019-01-25,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,99.18163,99.18163,98.88541,0.4366584,0.005301695,0.005301695,0.005197625,8.544834e-08
2019-01-26,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,73.34176,73.34176,72.95244,0.99742717,0.0029977236,0.0029977236,0.0028902763,2.3141121e-08
2019-01-27,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,57.18774,57.18774,58.062088,2.3315542,0.0035845067,0.0035845067,0.0034978017,1.6397292e-08
2019-01-28,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,77.390335,77.390335,76.49483,2.5946128,0.0052608885,0.0052608885,0.0052813925,1.6480785e-08
2019-01-29,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,97.03976,97.03976,96.767624,0.6715408,0.005808355,0.005808355,0.005975943,5.625169e-08
2019-01-30,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,88.141235,88.141235,88.9456,1.4070832,0.005686266,0.005686266,0.005801283,4.9344745e-08
2019-01-31,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,63.205387,63.205387,60.669907,29.480276,0.0040135807,0.0040135807,0.0041186437,1.7423419e-07
2019-02-01,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,63.4369,63.4369,63.43625,3.0855873,0.0049746316,0.0049746316,0.005072264,4.0000554e-08
2019-02-02,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,71.18241,71.18241,71.689896,11.772575,0.0060278163,0.0060278163,0.006187875,6.7242674e-08
2019-02-03,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,83.15774,83.15774,85.010605,8.013099,0.0067329146,0.0067329146,0.0068758465,6.06591e-08
2019-02-04,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,87.48592,87.48592,87.53801,6.206201,0.0071351565,0.0071351565,0.0070998706,4.926873e-08
2019-02-05,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,64.32241,64.32241,65.582825,11.73882,0.005631612,0.005631612,0.0054914616,4.709398e-08
2019-02-06,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,90.25045,90.25045,90.411255,3.7578995,0.0051544025,0.0051544025,0.0050891154,2.1680899e-08
2019-02-07,ΔΗΜΟΣ ΝΑΟΥΣΑΣ,68.43172,68.43172,67.5616,4.694647,0.004197778,0.004197778,0.004193606,2.8117833e-08
