Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,EDESSA,52.21257,52.21257,52.21257,0.0,0.0027792351,0.0027792351,0.0027792351,0.0
2019-01-02,EDESSA,52.32019,52.32019,52.32019,0.0,0.0027267179,0.0027267179,0.0027267179,0.0
2019-01-03,EDESSA,82.36388,82.36388,82.36388,0.0,0.0030164914,0.0030164914,0.0030164914,0.0
2019-01-04,EDESSA,88.062515,88.062515,88.062515,0.0,0.0024387504,0.0024387504,0.0024387504,0.0
2019-01-05,EDESSA,66.3916,66.3916,66.3916,0.0,0.0019279795,0.0019279795,0.0019279795,0.0
2019-01-06,EDESSA,60.884247,60.884247,60.884247,0.0,0.0023028238,0.0023028238,0.0023028238,0.0
2019-01-07,EDESSA,60.18576,60.18576,60.18576,0.0,0.0015898733,0.0015898733,0.0015898733,0.0
2019-01-08,EDESSA,51.377167,51.377167,51.377167,0.0,0.001426006,0.001426006,0.001426006,0.0
2019-01-09,EDESSA,90.68919,90.68919,90.68919,0.0,0.0026175748,0.0026175748,0.0026175748,0.0
2019-01-10,EDESSA,88.358246,88.358246,88.358246,0.0,0.004053305,0.004053305,0.004053305,0.0
2019-01-11,EDESSA,65.11476,65.11476,65.11476,0.0,0.0027695969,0.0027695969,0.0027695969,0.0
2019-01-12,EDESSA,69.31879,69.31879,69.31879,0.0,0.0023482805,0.0023482805,0.0023482805,0.0
2019-01-13,EDESSA,60.9386,60.9386,60.9386,0.0,0.0023862699,0.0023862699,0.0023862699,0.0
2019-01-14,EDESSA,77.00958,77.00958,77.00958,0.0,0.0032154738,0.0032154738,0.0032154738,0.0
2019-01-15,EDESSA,47.95343,47.95343,47.95343,0.0,0.0017045767,0.0017045767,0.0017045767,0.0
2019-01-16,EDESSA,53.891937,53.891937,53.891937,0.0,0.0025667436,0.0025667436,0.0025667436,0.0
2019-01-17,EDESSA,56.751587,56.751587,56.751587,0.0,0.0032533498,0.0032533498,0.0032533498,0.0
2019-01-18,EDESSA,70.8436,70.8436,70.8436,0.0,0.004062687,0.004062687,0.004062687,0.0
2019-01-19,EDESSA,80.25523,80.25523,80.25523,0.0,0.0046592616,0.0046592616,0.0046592616,0.0
2019-01-20,EDESSA,75.42273,75.42273,75.42273,0.0,0.005184248,0.005184248,0.005184248,0.0
2019-01-21,EDESSA,75.117355,75.117355,75.117355,0.0,0.0046940297,0.0046940297,0.0046940297,0.0
2019-01-22,EDESSA,100.434525,100.434525,100.434525,0.0,0.0056057908,0.0056057908,0.0056057908,0.0
2019-01-23,EDESSA,99.20119,99.20119,99.20119,0.0,0.005616896,0.005616896,0.005616896,0.0
2019-01-24,EDESSA,59.229156,59.229156,59.229156,0.0,0.0043423222,0.0043423222,0.0043423222,0.0
2019-01-25,EDESSA,98.88541,98.88541,98.88541,0.0,0.005197625,0.005197625,0.005197625,0.0
2019-01-26,EDESSA,72.95244,72.95244,72.95244,0.0,0.0028900378,0.0028900378,0.0028900378,0.0
2019-01-27,EDESSA,58.062088,58.062088,58.062088,0.0,0.0034901723,0.0034901723,0.0034901723,0.0
2019-01-28,EDESSA,79.652054,79.652054,79.652054,0.0,0.0052813925,0.0052813925,0.0052813925,0.0
2019-01-29,EDESSA,98.15141,98.15141,98.15141,0.0,0.005975943,0.005975943,0.005975943,0.0
