Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,KALAMPAKA,63.784836,63.784836,63.784836,0.0,0.0030615227,0.0030615227,0.0030615227,0.0
2019-01-02,KALAMPAKA,50.05652,50.05652,50.05652,0.0,0.002707406,0.002707406,0.002707406,0.0
2019-01-03,KALAMPAKA,86.93028,86.93028,86.93028,0.0,0.0032146173,0.0032146173,0.0032146173,0.0
2019-01-04,KALAMPAKA,90.355484,90.355484,90.355484,0.0,0.0026218558,0.0026218558,0.0026218558,0.0
2019-01-05,KALAMPAKA,67.61328,67.61328,67.61328,0.0,0.0021021443,0.0021021443,0.0021021443,0.0
2019-01-06,KALAMPAKA,49.43112,49.43112,49.43112,0.0,0.0022971018,0.0022971018,0.0022971018,0.0
2019-01-07,KALAMPAKA,51.656464,51.656464,51.656464,0.0,0.0017521172,0.0017521172,0.0017521172,0.0
2019-01-08,KALAMPAKA,36.780487,36.780487,36.780487,0.0,0.0012804514,0.0012804514,0.0012804514,0.0
2019-01-09,KALAMPAKA,96.231186,96.231186,96.231186,0.0,0.0035877,0.0035877,0.0035877,0.0
2019-01-10,KALAMPAKA,86.99106,86.99106,86.99106,0.0,0.0045968993,0.0045968993,0.0045968993,0.0
2019-01-11,KALAMPAKA,69.423355,69.423355,69.423355,0.0,0.003878601,0.003878601,0.003878601,0.0
2019-01-12,KALAMPAKA,67.47406,67.47406,67.47406,0.0,0.002884603,0.002884603,0.002884603,0.0
2019-01-13,KALAMPAKA,53.54602,53.54602,53.54602,0.0,0.002498565,0.002498565,0.002498565,0.0
2019-01-14,KALAMPAKA,74.69708,74.69708,74.69708,0.0,0.0035931289,0.0035931289,0.0035931289,0.0
2019-01-15,KALAMPAKA,38.14093,38.14093,38.14093,0.0,0.0014460117,0.0014460117,0.0014460117,0.0
2019-01-16,KALAMPAKA,47.74057,47.74057,47.74057,0.0,0.002618242,0.002618242,0.002618242,0.0
2019-01-17,KALAMPAKA,50.56018,50.56018,50.56018,0.0,0.0033206434,0.0033206434,0.0033206434,0.0
2019-01-18,KALAMPAKA,71.26645,71.26645,71.26645,0.0,0.004762088,0.004762088,0.004762088,0.0
2019-01-19,KALAMPAKA,80.246445,80.246445,80.246445,0.0,0.0054497384,0.0054497384,0.0054497384,0.0
2019-01-20,KALAMPAKA,68.151245,68.151245,68.151245,0.0,0.0048977286,0.0048977286,0.0048977286,0.0
2019-01-21,KALAMPAKA,69.38396,69.38396,69.38396,0.0,0.0048717707,0.0048717707,0.0048717707,0.0
2019-01-22,KALAMPAKA,87.95503,87.95503,87.95503,0.0,0.0057441927,0.0057441927,0.0057441927,0.0
2019-01-23,KALAMPAKA,93.89455,93.89455,93.89455,0.0,0.0057079718,0.0057079718,0.0057079718,0.0
2019-01-24,KALAMPAKA,61.027985,61.027985,61.027985,0.0,0.0043191956,0.0043191956,0.0043191956,0.0
2019-01-25,KALAMPAKA,88.81998,88.81998,88.81998,0.0,0.005660157,0.005660157,0.005660157,0.0
2019-01-26,KALAMPAKA,69.521774,69.521774,69.521774,0.0,0.003623175,0.003623175,0.003623175,0.0
2019-01-27,KALAMPAKA,55.210526,55.210526,55.210526,0.0,0.004021965,0.004021965,0.004021965,0.0
2019-01-28,KALAMPAKA,81.35127,81.35127,81.35127,0.0,0.0056356825,0.0056356825,0.0056356825,0.0
2019-01-29,KALAMPAKA,94.903366,94.903366,94.903366,0.0,0.0055948906,0.0055948906,0.0055948906,0.0
2019-01-30,KALAMPAKA,80.90459,80.90459,80.90459,0.0,0.0053500757,0.0053500757,0.0053500757,0.0
2019-01-31,KALAMPAKA,61.745102,61.745102,61.745102,0.0,0.0035551414,0.0035551414,0.0035551414,0.0
2019-02-01,KALAMPAKA,65.63742,65.63742,65.63742,0.0,0.005011825,0.005011825,0.005011825,0.0
2019-02-02,KALAMPAKA,64.10103,64.10103,64.10103,0.0,0.005777199,0.005777199,0.005777199,0.0
2019-02-03,KALAMPAKA,59.24205,59.24205,59.24205,0.0,0.0056453682,0.0056453682,0.0056453682,0.0
2019-02-04,KALAMPAKA,76.97453,76.97453,76.97453,0.0,0.00635672,0.00635672,0.00635672,0.0
2019-02-05,KALAMPAKA,65.20587,65.20587,65.20587,0.0,0.005343046,0.005343046,0.005343046,0.0
2019-02-06,KALAMPAKA,87.39758,87.39758,87.39758,0.0,0.005166363,0.005166363,0.005166363,0.0
2019-02-07,KALAMPAKA,85.702225,85.702225,85.702225,0.0,0.0047150273,0.0047150273,0.0047150273,0.0
2019-02-08,KALAMPAKA,69.79788,69.79788,69.79788,0.0,0.004335559,0.004335559,0.004335559,0.0
2019-02-09,KALAMPAKA,54.831253,54.831253,54.831253,0.0,0.0038846068,0.0038846068,0.0038846068,0.0
2019-02-10,KALAMPAKA,48.63109,48.63109,48.63109,0.0,0.004208235,0.004208235,0.004208235,0.0
2019-02-11,KALAMPAKA,66.26718,66.26718,66.26718,0.0,0.005501479,0.005501479,0.005501479,0.0
2019-02-12,KALAMPAKA,63.600418,63.600418,63.600418,0.0,0.004077809,0.004077809,0.004077809,0.0
2019-02-13,KALAMPAKA,45.4962,45.4962,45.4962,0.0,0.0020752645,0.0020752645,0.0020752645,0.0
2019-02-14,KALAMPAKA,53.311172,53.311172,53.311172,0.0,0.003064351,0.003064351,0.003064351,0.0
2019-02-15,KALAMPAKA,61.15439,61.15439,61.15439,0.0,0.0031295356,0.0031295356,0.0031295356,0.0
2019-02-16,KALAMPAKA,45.83493,45.83493,45.83493,0.0,0.002841431,0.002841431,0.002841431,0.0
2019-02-17,KALAMPAKA,45.969986,45.969986,45.969986,0.0,0.0035165192,0.0035165192,0.0035165192,0.0
