Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,KATERINH,50.623703,50.623703,50.623703,0.0,0.003018369,0.003018369,0.003018369,0.0
2019-01-02,KATERINH,56.742065,56.742065,56.742065,0.0,0.003319188,0.003319188,0.003319188,0.0
2019-01-03,KATERINH,79.2379,79.2379,79.2379,0.0,0.00359263,0.00359263,0.00359263,0.0
2019-01-04,KATERINH,92.059586,92.059586,92.059586,0.0,0.0031706954,0.0031706954,0.0031706954,0.0
2019-01-05,KATERINH,61.61621,61.61621,61.61621,0.0,0.0023433047,0.0023433047,0.0023433047,0.0
2019-01-06,KATERINH,43.265106,43.265106,43.265106,0.0,0.0021957739,0.0021957739,0.0021957739,0.0
2019-01-07,KATERINH,49.408417,49.408417,49.408417,0.0,0.0018058806,0.0018058806,0.0018058806,0.0
2019-01-08,KATERINH,42.58127,42.58127,42.58127,0.0,0.00158068,0.00158068,0.00158068,0.0
2019-01-09,KATERINH,91.168686,91.168686,91.168686,0.0,0.003730155,0.003730155,0.003730155,0.0
2019-01-10,KATERINH,79.03793,79.03793,79.03793,0.0,0.0051432354,0.0051432354,0.0051432354,0.0
2019-01-11,KATERINH,60.02687,60.02687,60.02687,0.0,0.0033502653,0.0033502653,0.0033502653,0.0
2019-01-12,KATERINH,57.58246,57.58246,57.58246,0.0,0.0027009016,0.0027009016,0.0027009016,0.0
2019-01-13,KATERINH,52.777466,52.777466,52.777466,0.0,0.0025967935,0.0025967935,0.0025967935,0.0
2019-01-14,KATERINH,60.318176,60.318176,60.318176,0.0,0.0034332692,0.0034332692,0.0034332692,0.0
2019-01-15,KATERINH,36.59601,36.59601,36.59601,0.0,0.0016979009,0.0016979009,0.0016979009,0.0
2019-01-16,KATERINH,36.656586,36.656586,36.656586,0.0,0.0025554784,0.0025554784,0.0025554784,0.0
2019-01-17,KATERINH,55.209595,55.209595,55.209595,0.0,0.0036851855,0.0036851855,0.0036851855,0.0
2019-01-18,KATERINH,66.32016,66.32016,66.32016,0.0,0.0045585977,0.0045585977,0.0045585977,0.0
2019-01-19,KATERINH,68.85484,68.85484,68.85484,0.0,0.004755702,0.004755702,0.004755702,0.0
2019-01-20,KATERINH,82.216675,82.216675,82.216675,0.0,0.006299272,0.006299272,0.006299272,0.0
2019-01-21,KATERINH,75.32536,75.32536,75.32536,0.0,0.0053551644,0.0053551644,0.0053551644,0.0
2019-01-22,KATERINH,89.78902,89.78902,89.78902,0.0,0.0068479516,0.0068479516,0.0068479516,0.0
2019-01-23,KATERINH,87.011734,87.011734,87.011734,0.0,0.0071408674,0.0071408674,0.0071408674,0.0
2019-01-24,KATERINH,66.91177,66.91177,66.91177,0.0,0.0057408856,0.0057408856,0.0057408856,0.0
2019-01-25,KATERINH,85.35513,85.35513,85.35513,0.0,0.006700139,0.006700139,0.006700139,0.0
2019-01-26,KATERINH,72.6331,72.6331,72.6331,0.0,0.003904509,0.003904509,0.003904509,0.0
2019-01-27,KATERINH,58.179276,58.179276,58.179276,0.0,0.003950916,0.003950916,0.003950916,0.0
2019-01-28,KATERINH,70.76436,70.76436,70.76436,0.0,0.006138984,0.006138984,0.006138984,0.0
2019-01-29,KATERINH,86.196335,86.196335,86.196335,0.0,0.006701093,0.006701093,0.006701093,0.0
2019-01-30,KATERINH,79.40068,79.40068,79.40068,0.0,0.0063558444,0.0063558444,0.0063558444,0.0
2019-01-31,KATERINH,74.91112,74.91112,74.91112,0.0,0.005382143,0.005382143,0.005382143,0.0
2019-02-01,KATERINH,65.42648,65.42648,65.42648,0.0,0.005529193,0.005529193,0.005529193,0.0
2019-02-02,KATERINH,77.72798,77.72798,77.72798,0.0,0.0067030974,0.0067030974,0.0067030974,0.0
2019-02-03,KATERINH,86.54088,86.54088,86.54088,0.0,0.007363651,0.007363651,0.007363651,0.0
2019-02-04,KATERINH,86.20598,86.20598,86.20598,0.0,0.0078077354,0.0078077354,0.0078077354,0.0
2019-02-05,KATERINH,73.0838,73.0838,73.0838,0.0,0.0069437884,0.0069437884,0.0069437884,0.0
2019-02-06,KATERINH,85.4845,85.4845,85.4845,0.0,0.0058349483,0.0058349483,0.0058349483,0.0
2019-02-07,KATERINH,80.011795,80.011795,80.011795,0.0,0.004919233,0.004919233,0.004919233,0.0
2019-02-08,KATERINH,79.61038,79.61038,79.61038,0.0,0.004898346,0.004898346,0.004898346,0.0
2019-02-09,KATERINH,77.90547,77.90547,77.90547,0.0,0.004886144,0.004886144,0.004886144,0.0
2019-02-10,KATERINH,77.44652,77.44652,77.44652,0.0,0.0056695025,0.0056695025,0.0056695025,0.0
2019-02-11,KATERINH,64.82382,64.82382,64.82382,0.0,0.0062389076,0.0062389076,0.0062389076,0.0
2019-02-12,KATERINH,42.39827,42.39827,42.39827,0.0,0.0030198265,0.0030198265,0.0030198265,0.0
2019-02-13,KATERINH,35.810654,35.810654,35.810654,0.0,0.0019777513,0.0019777513,0.0019777513,0.0
2019-02-14,KATERINH,49.861954,49.861954,49.861954,0.0,0.0032009648,0.0032009648,0.0032009648,0.0
2019-02-15,KATERINH,60.41806,60.41806,60.41806,0.0,0.003422552,0.003422552,0.003422552,0.0
2019-02-16,KATERINH,47.796844,47.796844,47.796844,0.0,0.0032121718,0.0032121718,0.0032121718,0.0
2019-02-17,KATERINH,59.13405,59.13405,59.13405,0.0,0.0043596867,0.0043596867,0.0043596867,0.0
2019-02-18,KATERINH,47.99817,47.99817,47.99817,0.0,0.0038003789,0.0038003789,0.0038003789,0.0
2019-02-19,KATERINH,73.87802,73.87802,73.87802,0.0,0.006020937,0.006020937,0.006020937,0.0
2019-02-20,KATERINH,54.420273,54.420273,54.420273,0.0,0.0047680875,0.0047680875,0.0047680875,0.0
2019-02-21,KATERINH,38.32779,38.32779,38.32779,0.0,0.0031412207,0.0031412207,0.0031412207,0.0
2019-02-22,KATERINH,58.556488,58.556488,58.556488,0.0,0.00437488,0.00437488,0.00437488,0.0
2019-02-23,KATERINH,78.024765,78.024765,78.024765,0.0,0.0030404616,0.0030404616,0.0030404616,0.0
2019-02-24,KATERINH,61.84694,61.84694,61.84694,0.0,0.0022209152,0.0022209152,0.0022209152,0.0
2019-02-25,KATERINH,61.28534,61.28534,61.28534,0.0,0.0025792872,0.0025792872,0.0025792872,0.0
2019-02-26,KATERINH,37.050415,37.050415,37.050415,0.0,0.0030241706,0.0030241706,0.0030241706,0.0
2019-02-27,KATERINH,35.57852,35.57852,35.57852,0.0,0.0026438094,0.0026438094,0.0026438094,0.0
2019-02-28,KATERINH,42.86,42.86,42.86,0.0,0.003586536,0.003586536,0.003586536,0.0
2019-03-01,KATERINH,33.809265,33.809265,33.809265,0.0,0.0037051635,0.0037051635,0.0037051635,0.0
2019-03-02,KATERINH,41.1416,41.1416,41.1416,0.0,0.004335477,0.004335477,0.004335477,0.0
2019-03-03,KATERINH,71.692795,71.692795,71.692795,0.0,0.0052981838,0.0052981838,0.0052981838,0.0
2019-03-04,KATERINH,63.59938,63.59938,63.59938,0.0,0.0052133836,0.0052133836,0.0052133836,0.0
2019-03-05,KATERINH,58.444,58.444,58.444,0.0,0.00514039,0.00514039,0.00514039,0.0
2019-03-06,KATERINH,41.98221,41.98221,41.98221,0.0,0.004464355,0.004464355,0.004464355,0.0
2019-03-07,KATERINH,74.60408,74.60408,74.60408,0.0,0.0070583886,0.0070583886,0.0070583886,0.0
2019-03-08,KATERINH,73.334366,73.334366,73.334366,0.0,0.006564355,0.006564355,0.006564355,0.0
2019-03-09,KATERINH,42.680923,42.680923,42.680923,0.0,0.0046944455,0.0046944455,0.0046944455,0.0
2019-03-10,KATERINH,40.57303,40.57303,40.57303,0.0,0.004792303,0.004792303,0.004792303,0.0
2019-03-11,KATERINH,50.858017,50.858017,50.858017,0.0,0.0058400184,0.0058400184,0.0058400184,0.0
2019-03-12,KATERINH,73.91289,73.91289,73.91289,0.0,0.004927188,0.004927188,0.004927188,0.0
2019-03-13,KATERINH,49.166336,49.166336,49.166336,0.0,0.0034239967,0.0034239967,0.0034239967,0.0
2019-03-14,KATERINH,80.209564,80.209564,80.209564,0.0,0.0053609465,0.0053609465,0.0053609465,0.0
2019-03-15,KATERINH,34.211533,34.211533,34.211533,0.0,0.0028638875,0.0028638875,0.0028638875,0.0
2019-03-16,KATERINH,39.364,39.364,39.364,0.0,0.004248176,0.004248176,0.004248176,0.0
2019-03-17,KATERINH,44.259033,44.259033,44.259033,0.0,0.004994131,0.004994131,0.004994131,0.0
2019-03-18,KATERINH,74.162674,74.162674,74.162674,0.0,0.007400167,0.007400167,0.007400167,0.0
2019-03-19,KATERINH,72.069565,72.069565,72.069565,0.0,0.007507339,0.007507339,0.007507339,0.0
2019-03-20,KATERINH,56.491684,56.491684,56.491684,0.0,0.006119565,0.006119565,0.006119565,0.0
2019-03-21,KATERINH,57.292313,57.292313,57.292313,0.0,0.005207719,0.005207719,0.005207719,0.0
2019-03-22,KATERINH,66.92787,66.92787,66.92787,0.0,0.005584242,0.005584242,0.005584242,0.0
2019-03-23,KATERINH,49.938583,49.938583,49.938583,0.0,0.004939654,0.004939654,0.004939654,0.0
2019-03-24,KATERINH,66.67505,66.67505,66.67505,0.0,0.005942541,0.005942541,0.005942541,0.0
2019-03-25,KATERINH,69.65418,69.65418,69.65418,0.0,0.0063233273,0.0063233273,0.0063233273,0.0
2019-03-26,KATERINH,43.329224,43.329224,43.329224,0.0,0.004756973,0.004756973,0.004756973,0.0
2019-03-27,KATERINH,74.28143,74.28143,74.28143,0.0,0.005905268,0.005905268,0.005905268,0.0
2019-03-28,KATERINH,56.548004,56.548004,56.548004,0.0,0.0040992424,0.0040992424,0.0040992424,0.0
2019-03-29,KATERINH,34.34314,34.34314,34.34314,0.0,0.0030007726,0.0030007726,0.0030007726,0.0
2019-03-30,KATERINH,37.477417,37.477417,37.477417,0.0,0.003590096,0.003590096,0.003590096,0.0
2019-03-31,KATERINH,37.89498,37.89498,37.89498,0.0,0.0036798755,0.0036798755,0.0036798755,0.0
