Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,SOFADES,73.24382,73.24382,73.24382,0.0,0.00388812,0.00388812,0.00388812,0.0
2019-01-02,SOFADES,57.349487,57.349487,57.349487,0.0,0.003422781,0.003422781,0.003422781,0.0
2019-01-03,SOFADES,96.29454,96.29454,96.29454,0.0,0.003797789,0.003797789,0.003797789,0.0
2019-01-04,SOFADES,92.23244,92.23244,92.23244,0.0,0.0031822587,0.0031822587,0.0031822587,0.0
2019-01-05,SOFADES,65.04785,65.04785,65.04785,0.0,0.0024236517,0.0024236517,0.0024236517,0.0
2019-01-06,SOFADES,41.370575,41.370575,41.370575,0.0,0.0021938665,0.0021938665,0.0021938665,0.0
2019-01-07,SOFADES,58.261932,58.261932,58.261932,0.0,0.0023989468,0.0023989468,0.0023989468,0.0
2019-01-08,SOFADES,44.43869,44.43869,44.43869,0.0,0.0016974455,0.0016974455,0.0016974455,0.0
2019-01-09,SOFADES,93.80443,93.80443,93.80443,0.0,0.0038681994,0.0038681994,0.0038681994,0.0
2019-01-10,SOFADES,74.40219,74.40219,74.40219,0.0,0.0052132113,0.0052132113,0.0052132113,0.0
2019-01-11,SOFADES,70.11476,70.11476,70.11476,0.0,0.004734762,0.004734762,0.004734762,0.0
2019-01-12,SOFADES,89.17816,89.17816,89.17816,0.0,0.0038178926,0.0038178926,0.0038178926,0.0
2019-01-13,SOFADES,56.704224,56.704224,56.704224,0.0,0.0029771903,0.0029771903,0.0029771903,0.0
2019-01-14,SOFADES,70.68146,70.68146,70.68146,0.0,0.004040879,0.004040879,0.004040879,0.0
2019-01-15,SOFADES,35.769836,35.769836,35.769836,0.0,0.0016921789,0.0016921789,0.0016921789,0.0
2019-01-16,SOFADES,42.92807,42.92807,42.92807,0.0,0.003077019,0.003077019,0.003077019,0.0
2019-01-17,SOFADES,53.729126,53.729126,53.729126,0.0,0.0041497443,0.0041497443,0.0041497443,0.0
2019-01-18,SOFADES,61.23813,61.23813,61.23813,0.0,0.004983102,0.004983102,0.004983102,0.0
2019-01-19,SOFADES,68.22984,68.22984,68.22984,0.0,0.0058188103,0.0058188103,0.0058188103,0.0
2019-01-20,SOFADES,60.633667,60.633667,60.633667,0.0,0.005362883,0.005362883,0.005362883,0.0
2019-01-21,SOFADES,68.04216,68.04216,68.04216,0.0,0.0057002753,0.0057002753,0.0057002753,0.0
2019-01-22,SOFADES,76.894485,76.894485,76.894485,0.0,0.0063956715,0.0063956715,0.0063956715,0.0
2019-01-23,SOFADES,83.784195,83.784195,83.784195,0.0,0.0069129393,0.0069129393,0.0069129393,0.0
2019-01-24,SOFADES,52.79068,52.79068,52.79068,0.0,0.0047031688,0.0047031688,0.0047031688,0.0
