Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,SERRES,44.76042,44.76042,44.76042,0.0,0.0027145045,0.0027145045,0.0027145045,0.0
2019-01-02,SERRES,56.472534,56.472534,56.472534,0.0,0.002941533,0.002941533,0.002941533,0.0
2019-01-03,SERRES,86.710556,86.710556,86.710556,0.0,0.0038242536,0.0038242536,0.0038242536,0.0
2019-01-04,SERRES,77.26271,77.26271,77.26271,0.0,0.003078785,0.003078785,0.003078785,0.0
2019-01-05,SERRES,72.06543,72.06543,72.06543,0.0,0.002616294,0.002616294,0.002616294,0.0
2019-01-06,SERRES,49.378387,49.378387,49.378387,0.0,0.0021738394,0.0021738394,0.0021738394,0.0
2019-01-07,SERRES,56.459198,56.459198,56.459198,0.0,0.0021357327,0.0021357327,0.0021357327,0.0
2019-01-08,SERRES,47.931854,47.931854,47.931854,0.0,0.001536811,0.001536811,0.001536811,0.0
2019-01-09,SERRES,89.811264,89.811264,89.811264,0.0,0.0029932032,0.0029932032,0.0029932032,0.0
2019-01-10,SERRES,90.75473,90.75473,90.75473,0.0,0.0052960617,0.0052960617,0.0052960617,0.0
2019-01-11,SERRES,61.604996,61.604996,61.604996,0.0,0.0033037737,0.0033037737,0.0033037737,0.0
2019-01-12,SERRES,54.23578,54.23578,54.23578,0.0,0.0027969843,0.0027969843,0.0027969843,0.0
2019-01-13,SERRES,57.286255,57.286255,57.286255,0.0,0.0027056315,0.0027056315,0.0027056315,0.0
2019-01-14,SERRES,64.20392,64.20392,64.20392,0.0,0.0030200898,0.0030200898,0.0030200898,0.0
2019-01-15,SERRES,31.736633,31.736633,31.736633,0.0,0.0014469654,0.0014469654,0.0014469654,0.0
2019-01-16,SERRES,47.278656,47.278656,47.278656,0.0,0.0026421435,0.0026421435,0.0026421435,0.0
2019-01-17,SERRES,51.365845,51.365845,51.365845,0.0,0.0034233422,0.0034233422,0.0034233422,0.0
2019-01-18,SERRES,63.895355,63.895355,63.895355,0.0,0.0038234342,0.0038234342,0.0038234342,0.0
2019-01-19,SERRES,64.65172,64.65172,64.65172,0.0,0.0048129223,0.0048129223,0.0048129223,0.0
2019-01-20,SERRES,89.42273,89.42273,89.42273,0.0,0.0062984377,0.0062984377,0.0062984377,0.0
2019-01-21,SERRES,69.941574,69.941574,69.941574,0.0,0.005304739,0.005304739,0.005304739,0.0
2019-01-22,SERRES,84.29976,84.29976,84.29976,0.0,0.0050582625,0.0050582625,0.0050582625,0.0
2019-01-23,SERRES,94.17775,94.17775,94.17775,0.0,0.0069762394,0.0069762394,0.0069762394,0.0
2019-01-24,SERRES,71.14224,71.14224,71.14224,0.0,0.005668764,0.005668764,0.005668764,0.0
2019-01-25,SERRES,95.08072,95.08072,95.08072,0.0,0.0064519453,0.0064519453,0.0064519453,0.0
2019-01-26,SERRES,86.88896,86.88896,86.88896,0.0,0.0051658624,0.0051658624,0.0051658624,0.0
2019-01-27,SERRES,62.26619,62.26619,62.26619,0.0,0.004265748,0.004265748,0.004265748,0.0
2019-01-28,SERRES,81.02608,81.02608,81.02608,0.0,0.005916003,0.005916003,0.005916003,0.0
2019-01-29,SERRES,82.82036,82.82036,82.82036,0.0,0.006226223,0.006226223,0.006226223,0.0
2019-01-30,SERRES,83.48857,83.48857,83.48857,0.0,0.006036304,0.006036304,0.006036304,0.0
2019-01-31,SERRES,90.27733,90.27733,90.27733,0.0,0.0054045543,0.0054045543,0.0054045543,0.0
2019-02-01,SERRES,50.54074,50.54074,50.54074,0.0,0.0043287557,0.0043287557,0.0043287557,0.0
2019-02-02,SERRES,68.102005,68.102005,68.102005,0.0,0.0062669106,0.0062669106,0.0062669106,0.0
2019-02-03,SERRES,82.88658,82.88658,82.88658,0.0,0.007890794,0.007890794,0.007890794,0.0
2019-02-04,SERRES,78.11223,78.11223,78.11223,0.0,0.007868413,0.007868413,0.007868413,0.0
2019-02-05,SERRES,52.16095,52.16095,52.16095,0.0,0.0056287907,0.0056287907,0.0056287907,0.0
2019-02-06,SERRES,70.80676,70.80676,70.80676,0.0,0.0050557964,0.0050557964,0.0050557964,0.0
2019-02-07,SERRES,69.38484,69.38484,69.38484,0.0,0.0044712443,0.0044712443,0.0044712443,0.0
