Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ORAIOKASTRO,48.936203,48.936203,48.936203,0.0,0.0030164616,0.0030164616,0.0030164616,0.0
2019-01-02,ORAIOKASTRO,52.103394,52.103394,52.103394,0.0,0.0029601296,0.0029601296,0.0029601296,0.0
2019-01-03,ORAIOKASTRO,81.04747,81.04747,81.04747,0.0,0.0035836892,0.0035836892,0.0035836892,0.0
2019-01-04,ORAIOKASTRO,82.36134,82.36134,82.36134,0.0,0.0029236937,0.0029236937,0.0029236937,0.0
2019-01-05,ORAIOKASTRO,61.79785,61.79785,61.79785,0.0,0.0022041874,0.0022041874,0.0022041874,0.0
2019-01-06,ORAIOKASTRO,51.92038,51.92038,51.92038,0.0,0.0023391827,0.0023391827,0.0023391827,0.0
2019-01-07,ORAIOKASTRO,46.513885,46.513885,46.513885,0.0,0.0016783266,0.0016783266,0.0016783266,0.0
2019-01-08,ORAIOKASTRO,45.18283,45.18283,45.18283,0.0,0.0015112406,0.0015112406,0.0015112406,0.0
2019-01-09,ORAIOKASTRO,90.32982,90.32982,90.32982,0.0,0.0029511224,0.0029511224,0.0029511224,0.0
2019-01-10,ORAIOKASTRO,88.43442,88.43442,88.43442,0.0,0.0045743687,0.0045743687,0.0045743687,0.0
2019-01-11,ORAIOKASTRO,59.133316,59.133316,59.133316,0.0,0.0029423311,0.0029423311,0.0029423311,0.0
2019-01-12,ORAIOKASTRO,59.091248,59.091248,59.091248,0.0,0.0024894243,0.0024894243,0.0024894243,0.0
2019-01-13,ORAIOKASTRO,53.549927,53.549927,53.549927,0.0,0.0025683024,0.0025683024,0.0025683024,0.0
2019-01-14,ORAIOKASTRO,61.10431,61.10431,61.10431,0.0,0.0029782474,0.0029782474,0.0029782474,0.0
2019-01-15,ORAIOKASTRO,41.258118,41.258118,41.258118,0.0,0.0018497736,0.0018497736,0.0018497736,0.0
2019-01-16,ORAIOKASTRO,42.182953,42.182953,42.182953,0.0,0.00258236,0.00258236,0.00258236,0.0
2019-01-17,ORAIOKASTRO,43.215454,43.215454,43.215454,0.0,0.0030640454,0.0030640454,0.0030640454,0.0
2019-01-18,ORAIOKASTRO,59.62094,59.62094,59.62094,0.0,0.0036908735,0.0036908735,0.0036908735,0.0
2019-01-19,ORAIOKASTRO,60.640976,60.640976,60.640976,0.0,0.004469361,0.004469361,0.004469361,0.0
2019-01-20,ORAIOKASTRO,84.38953,84.38953,84.38953,0.0,0.006416455,0.006416455,0.006416455,0.0
2019-01-21,ORAIOKASTRO,71.586105,71.586105,71.586105,0.0,0.00540857,0.00540857,0.00540857,0.0
2019-01-22,ORAIOKASTRO,83.485306,83.485306,83.485306,0.0,0.005861137,0.005861137,0.005861137,0.0
2019-01-23,ORAIOKASTRO,93.98927,93.98927,93.98927,0.0,0.0069359466,0.0069359466,0.0069359466,0.0
2019-01-24,ORAIOKASTRO,58.423492,58.423492,58.423492,0.0,0.005182867,0.005182867,0.005182867,0.0
2019-01-25,ORAIOKASTRO,86.73892,86.73892,86.73892,0.0,0.00668941,0.00668941,0.00668941,0.0
2019-01-26,ORAIOKASTRO,75.03056,75.03056,75.03056,0.0,0.003359484,0.003359484,0.003359484,0.0
2019-01-27,ORAIOKASTRO,54.14705,54.14705,54.14705,0.0,0.003629528,0.003629528,0.003629528,0.0
2019-01-28,ORAIOKASTRO,73.7917,73.7917,73.7917,0.0,0.0058586635,0.0058586635,0.0058586635,0.0
2019-01-29,ORAIOKASTRO,91.57915,91.57915,91.57915,0.0,0.0067245774,0.0067245774,0.0067245774,0.0
2019-01-30,ORAIOKASTRO,84.06084,84.06084,84.06084,0.0,0.0064984784,0.0064984784,0.0064984784,0.0
2019-01-31,ORAIOKASTRO,85.16698,85.16698,85.16698,0.0,0.005521737,0.005521737,0.005521737,0.0
