Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,TIRNAVOS,55.207687,55.207687,55.207687,0.0,0.003103246,0.003103246,0.003103246,0.0
2019-01-02,TIRNAVOS,60.395386,60.395386,60.395386,0.0,0.0034147939,0.0034147939,0.0034147939,0.0
2019-01-03,TIRNAVOS,93.009384,93.009384,93.009384,0.0,0.0037712054,0.0037712054,0.0037712054,0.0
2019-01-04,TIRNAVOS,92.221695,92.221695,92.221695,0.0,0.0031566287,0.0031566287,0.0031566287,0.0
2019-01-05,TIRNAVOS,66.4375,66.4375,66.4375,0.0,0.0024859982,0.0024859982,0.0024859982,0.0
2019-01-06,TIRNAVOS,49.375458,49.375458,49.375458,0.0,0.0024664982,0.0024664982,0.0024664982,0.0
2019-01-07,TIRNAVOS,60.835175,60.835175,60.835175,0.0,0.0022414713,0.0022414713,0.0022414713,0.0
2019-01-08,TIRNAVOS,43.85666,43.85666,43.85666,0.0,0.0015625602,0.0015625602,0.0015625602,0.0
2019-01-09,TIRNAVOS,95.561264,95.561264,95.561264,0.0,0.0037736665,0.0037736665,0.0037736665,0.0
2019-01-10,TIRNAVOS,88.344574,88.344574,88.344574,0.0,0.005616377,0.005616377,0.005616377,0.0
2019-01-11,TIRNAVOS,71.65871,71.65871,71.65871,0.0,0.0042988136,0.0042988136,0.0042988136,0.0
2019-01-12,TIRNAVOS,71.74359,71.74359,71.74359,0.0,0.00331173,0.00331173,0.00331173,0.0
2019-01-13,TIRNAVOS,53.319458,53.319458,53.319458,0.0,0.0026333907,0.0026333907,0.0026333907,0.0
2019-01-14,TIRNAVOS,65.63165,65.63165,65.63165,0.0,0.0033159673,0.0033159673,0.0033159673,0.0
2019-01-15,TIRNAVOS,30.191711,30.191711,30.191711,0.0,0.0013693601,0.0013693601,0.0013693601,0.0
2019-01-16,TIRNAVOS,44.32553,44.32553,44.32553,0.0,0.0029067285,0.0029067285,0.0029067285,0.0
2019-01-17,TIRNAVOS,53.79358,53.79358,53.79358,0.0,0.0037082525,0.0037082525,0.0037082525,0.0
2019-01-18,TIRNAVOS,71.80258,71.80258,71.80258,0.0,0.005190526,0.005190526,0.005190526,0.0
2019-01-19,TIRNAVOS,75.73863,75.73863,75.73863,0.0,0.005635824,0.005635824,0.005635824,0.0
2019-01-20,TIRNAVOS,65.95007,65.95007,65.95007,0.0,0.005257085,0.005257085,0.005257085,0.0
2019-01-21,TIRNAVOS,74.62419,74.62419,74.62419,0.0,0.0055820197,0.0055820197,0.0055820197,0.0
2019-01-22,TIRNAVOS,81.065384,81.065384,81.065384,0.0,0.0061226822,0.0061226822,0.0061226822,0.0
2019-01-23,TIRNAVOS,87.37599,87.37599,87.37599,0.0,0.006767027,0.006767027,0.006767027,0.0
2019-01-24,TIRNAVOS,59.411774,59.411774,59.411774,0.0,0.004804735,0.004804735,0.004804735,0.0
