Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,NIKAIA,56.28093,56.28093,56.28093,0.0,0.003317465,0.003317465,0.003317465,0.0
2019-01-02,NIKAIA,58.822144,58.822144,58.822144,0.0,0.0035096845,0.0035096845,0.0035096845,0.0
2019-01-03,NIKAIA,95.6754,95.6754,95.6754,0.0,0.00394692,0.00394692,0.00394692,0.0
2019-01-04,NIKAIA,91.684586,91.684586,91.684586,0.0,0.0033558274,0.0033558274,0.0033558274,0.0
2019-01-05,NIKAIA,64.993164,64.993164,64.993164,0.0,0.0026047307,0.0026047307,0.0026047307,0.0
2019-01-06,NIKAIA,50.57077,50.57077,50.57077,0.0,0.0026341064,0.0026341064,0.0026341064,0.0
2019-01-07,NIKAIA,56.5549,56.5549,56.5549,0.0,0.0023108511,0.0023108511,0.0023108511,0.0
2019-01-08,NIKAIA,43.21115,43.21115,43.21115,0.0,0.001598025,0.001598025,0.001598025,0.0
2019-01-09,NIKAIA,94.67259,94.67259,94.67259,0.0,0.0036849747,0.0036849747,0.0036849747,0.0
2019-01-10,NIKAIA,77.41196,77.41196,77.41196,0.0,0.0057686074,0.0057686074,0.0057686074,0.0
2019-01-11,NIKAIA,68.72414,68.72414,68.72414,0.0,0.004695542,0.004695542,0.004695542,0.0
2019-01-12,NIKAIA,82.2807,82.2807,82.2807,0.0,0.0038939482,0.0038939482,0.0038939482,0.0
2019-01-13,NIKAIA,52.74524,52.74524,52.74524,0.0,0.0028057673,0.0028057673,0.0028057673,0.0
2019-01-14,NIKAIA,65.63458,65.63458,65.63458,0.0,0.003615421,0.003615421,0.003615421,0.0
2019-01-15,NIKAIA,27.574524,27.574524,27.574524,0.0,0.0014392168,0.0014392168,0.0014392168,0.0
2019-01-16,NIKAIA,40.745453,40.745453,40.745453,0.0,0.0028127916,0.0028127916,0.0028127916,0.0
2019-01-17,NIKAIA,53.204712,53.204712,53.204712,0.0,0.0039265845,0.0039265845,0.0039265845,0.0
2019-01-18,NIKAIA,65.66098,65.66098,65.66098,0.0,0.005299126,0.005299126,0.005299126,0.0
2019-01-19,NIKAIA,67.27574,67.27574,67.27574,0.0,0.005685892,0.005685892,0.005685892,0.0
2019-01-20,NIKAIA,62.825073,62.825073,62.825073,0.0,0.0056328326,0.0056328326,0.0056328326,0.0
2019-01-21,NIKAIA,67.22185,67.22185,67.22185,0.0,0.005598828,0.005598828,0.005598828,0.0
2019-01-22,NIKAIA,75.53511,75.53511,75.53511,0.0,0.006407831,0.006407831,0.006407831,0.0
2019-01-23,NIKAIA,84.7383,84.7383,84.7383,0.0,0.007165067,0.007165067,0.007165067,0.0
2019-01-24,NIKAIA,57.24185,57.24185,57.24185,0.0,0.0051250504,0.0051250504,0.0051250504,0.0
2019-01-25,NIKAIA,91.5983,91.5983,91.5983,0.0,0.006675701,0.006675701,0.006675701,0.0
2019-01-26,NIKAIA,76.19951,76.19951,76.19951,0.0,0.00472145,0.00472145,0.00472145,0.0
2019-01-27,NIKAIA,53.2408,53.2408,53.2408,0.0,0.004299365,0.004299365,0.004299365,0.0
2019-01-28,NIKAIA,56.957718,56.957718,56.957718,0.0,0.0054303445,0.0054303445,0.0054303445,0.0
2019-01-29,NIKAIA,87.173874,87.173874,87.173874,0.0,0.0067337565,0.0067337565,0.0067337565,0.0
2019-01-30,NIKAIA,68.640915,68.640915,68.640915,0.0,0.0056627616,0.0056627616,0.0056627616,0.0
2019-01-31,NIKAIA,53.7285,53.7285,53.7285,0.0,0.004105769,0.004105769,0.004105769,0.0
2019-02-01,NIKAIA,52.935272,52.935272,52.935272,0.0,0.005105285,0.005105285,0.005105285,0.0
2019-02-02,NIKAIA,59.911575,59.911575,59.911575,0.0,0.006316144,0.006316144,0.006316144,0.0
2019-02-03,NIKAIA,74.26842,74.26842,74.26842,0.0,0.007242296,0.007242296,0.007242296,0.0
2019-02-04,NIKAIA,78.54289,78.54289,78.54289,0.0,0.007531289,0.007531289,0.007531289,0.0
2019-02-05,NIKAIA,71.49005,71.49005,71.49005,0.0,0.0066704415,0.0066704415,0.0066704415,0.0
2019-02-06,NIKAIA,88.50305,88.50305,88.50305,0.0,0.006088745,0.006088745,0.006088745,0.0
2019-02-07,NIKAIA,74.14754,74.14754,74.14754,0.0,0.0046708006,0.0046708006,0.0046708006,0.0
2019-02-08,NIKAIA,68.32425,68.32425,68.32425,0.0,0.004610217,0.004610217,0.004610217,0.0
2019-02-09,NIKAIA,58.99434,58.99434,58.99434,0.0,0.0042738253,0.0042738253,0.0042738253,0.0
2019-02-10,NIKAIA,55.952377,55.952377,55.952377,0.0,0.0050456207,0.0050456207,0.0050456207,0.0
2019-02-11,NIKAIA,54.86972,54.86972,54.86972,0.0,0.0057044923,0.0057044923,0.0057044923,0.0
2019-02-12,NIKAIA,63.589676,63.589676,63.589676,0.0,0.004744308,0.004744308,0.004744308,0.0
2019-02-13,NIKAIA,44.961044,44.961044,44.961044,0.0,0.002452085,0.002452085,0.002452085,0.0
2019-02-14,NIKAIA,39.45961,39.45961,39.45961,0.0,0.0029086636,0.0029086636,0.0029086636,0.0
2019-02-15,NIKAIA,72.379,72.379,72.379,0.0,0.003947192,0.003947192,0.003947192,0.0
2019-02-16,NIKAIA,49.134735,49.134735,49.134735,0.0,0.003199774,0.003199774,0.003199774,0.0
2019-02-17,NIKAIA,49.669205,49.669205,49.669205,0.0,0.0038463713,0.0038463713,0.0038463713,0.0
2019-02-18,NIKAIA,43.689575,43.689575,43.689575,0.0,0.00427215,0.00427215,0.00427215,0.0
2019-02-19,NIKAIA,48.61728,48.61728,48.61728,0.0,0.004829917,0.004829917,0.004829917,0.0
2019-02-20,NIKAIA,38.11168,38.11168,38.11168,0.0,0.004044368,0.004044368,0.004044368,0.0
2019-02-21,NIKAIA,38.618805,38.618805,38.618805,0.0,0.003783401,0.003783401,0.003783401,0.0
2019-02-22,NIKAIA,50.46469,50.46469,50.46469,0.0,0.004670817,0.004670817,0.004670817,0.0
2019-02-23,NIKAIA,84.3734,84.3734,84.3734,0.0,0.0034629393,0.0034629393,0.0034629393,0.0
2019-02-24,NIKAIA,62.800064,62.800064,62.800064,0.0,0.0025572046,0.0025572046,0.0025572046,0.0
2019-02-25,NIKAIA,62.470886,62.470886,62.470886,0.0,0.0028498922,0.0028498922,0.0028498922,0.0
2019-02-26,NIKAIA,41.47815,41.47815,41.47815,0.0,0.004074643,0.004074643,0.004074643,0.0
2019-02-27,NIKAIA,56.370514,56.370514,56.370514,0.0,0.0038000203,0.0038000203,0.0038000203,0.0
2019-02-28,NIKAIA,33.0309,33.0309,33.0309,0.0,0.0032367164,0.0032367164,0.0032367164,0.0
2019-03-01,NIKAIA,39.483093,39.483093,39.483093,0.0,0.0047092633,0.0047092633,0.0047092633,0.0
2019-03-02,NIKAIA,41.6416,41.6416,41.6416,0.0,0.004525258,0.004525258,0.004525258,0.0
2019-03-03,NIKAIA,54.349045,54.349045,54.349045,0.0,0.00450425,0.00450425,0.00450425,0.0
2019-03-04,NIKAIA,37.995865,37.995865,37.995865,0.0,0.004026655,0.004026655,0.004026655,0.0
2019-03-05,NIKAIA,39.49478,39.49478,39.49478,0.0,0.005489673,0.005489673,0.005489673,0.0
2019-03-06,NIKAIA,39.931427,39.931427,39.931427,0.0,0.0056835082,0.0056835082,0.0056835082,0.0
2019-03-07,NIKAIA,38.53572,38.53572,38.53572,0.0,0.005450017,0.005450017,0.005450017,0.0
2019-03-08,NIKAIA,30.182022,30.182022,30.182022,0.0,0.0043670894,0.0043670894,0.0043670894,0.0
2019-03-09,NIKAIA,27.766861,27.766861,27.766861,0.0,0.004305108,0.004305108,0.004305108,0.0
2019-03-10,NIKAIA,28.987091,28.987091,28.987091,0.0,0.004592985,0.004592985,0.004592985,0.0
2019-03-11,NIKAIA,44.764267,44.764267,44.764267,0.0,0.006150916,0.006150916,0.006150916,0.0
2019-03-12,NIKAIA,79.88066,79.88066,79.88066,0.0,0.0057323277,0.0057323277,0.0057323277,0.0
2019-03-13,NIKAIA,53.944656,53.944656,53.944656,0.0,0.0038634022,0.0038634022,0.0038634022,0.0
2019-03-14,NIKAIA,63.751556,63.751556,63.751556,0.0,0.0049781655,0.0049781655,0.0049781655,0.0
2019-03-15,NIKAIA,46.55919,46.55919,46.55919,0.0,0.0039198436,0.0039198436,0.0039198436,0.0
2019-03-16,NIKAIA,35.60228,35.60228,35.60228,0.0,0.0049064495,0.0049064495,0.0049064495,0.0
2019-03-17,NIKAIA,34.18286,34.18286,34.18286,0.0,0.0056204568,0.0056204568,0.0056204568,0.0
2019-03-18,NIKAIA,33.84822,33.84822,33.84822,0.0,0.004926813,0.004926813,0.004926813,0.0
2019-03-19,NIKAIA,46.926987,46.926987,46.926987,0.0,0.0063212067,0.0063212067,0.0063212067,0.0
2019-03-20,NIKAIA,54.43016,54.43016,54.43016,0.0,0.006461696,0.006461696,0.006461696,0.0
2019-03-21,NIKAIA,54.88411,54.88411,54.88411,0.0,0.0052030697,0.0052030697,0.0052030697,0.0
2019-03-22,NIKAIA,58.722794,58.722794,58.722794,0.0,0.0052896757,0.0052896757,0.0052896757,0.0
2019-03-23,NIKAIA,39.84874,39.84874,39.84874,0.0,0.004457929,0.004457929,0.004457929,0.0
2019-03-24,NIKAIA,42.540283,42.540283,42.540283,0.0,0.0049099503,0.0049099503,0.0049099503,0.0
2019-03-25,NIKAIA,39.652233,39.652233,39.652233,0.0,0.005603303,0.005603303,0.005603303,0.0
2019-03-26,NIKAIA,55.803833,55.803833,55.803833,0.0,0.0060483674,0.0060483674,0.0060483674,0.0
2019-03-27,NIKAIA,72.68573,72.68573,72.68573,0.0,0.006197569,0.006197569,0.006197569,0.0
2019-03-28,NIKAIA,56.723785,56.723785,56.723785,0.0,0.004198663,0.004198663,0.004198663,0.0
2019-03-29,NIKAIA,36.63611,36.63611,36.63611,0.0,0.0031489497,0.0031489497,0.0031489497,0.0
2019-03-30,NIKAIA,36.57312,36.57312,36.57312,0.0,0.0036984573,0.0036984573,0.0036984573,0.0
2019-03-31,NIKAIA,26.396935,26.396935,26.396935,0.0,0.0032053033,0.0032053033,0.0032053033,0.0
2019-04-01,NIKAIA,32.160583,32.160583,32.160583,0.0,0.004254109,0.004254109,0.004254109,0.0
2019-04-02,NIKAIA,37.853348,37.853348,37.853348,0.0,0.004473274,0.004473274,0.004473274,0.0
2019-04-03,NIKAIA,43.178482,43.178482,43.178482,0.0,0.004185178,0.004185178,0.004185178,0.0
2019-04-04,NIKAIA,48.192673,48.192673,48.192673,0.0,0.0050051278,0.0050051278,0.0050051278,0.0
2019-04-05,NIKAIA,61.0849,61.0849,61.0849,0.0,0.0058972,0.0058972,0.0058972,0.0
2019-04-06,NIKAIA,77.48761,77.48761,77.48761,0.0,0.0068360455,0.0068360455,0.0068360455,0.0
2019-04-07,NIKAIA,47.096313,47.096313,47.096313,0.0,0.0060450397,0.0060450397,0.0060450397,0.0
2019-04-08,NIKAIA,66.179855,66.179855,66.179855,0.0,0.006707255,0.006707255,0.006707255,0.0
2019-04-09,NIKAIA,44.065994,44.065994,44.065994,0.0,0.0052588657,0.0052588657,0.0052588657,0.0
2019-04-10,NIKAIA,45.901535,45.901535,45.901535,0.0,0.006215859,0.006215859,0.006215859,0.0
2019-04-11,NIKAIA,44.29521,44.29521,44.29521,0.0,0.0057783397,0.0057783397,0.0057783397,0.0
2019-04-12,NIKAIA,40.150253,40.150253,40.150253,0.0,0.0051921457,0.0051921457,0.0051921457,0.0
2019-04-13,NIKAIA,41.529694,41.529694,41.529694,0.0,0.005250321,0.005250321,0.005250321,0.0
2019-04-14,NIKAIA,62.199768,62.199768,62.199768,0.0,0.0063796155,0.0063796155,0.0063796155,0.0
2019-04-15,NIKAIA,86.194016,86.194016,86.194016,0.0,0.007085383,0.007085383,0.007085383,0.0
2019-04-16,NIKAIA,55.127945,55.127945,55.127945,0.0,0.0056646965,0.0056646965,0.0056646965,0.0
2019-04-17,NIKAIA,55.357094,55.357094,55.357094,0.0,0.005724208,0.005724208,0.005724208,0.0
2019-04-18,NIKAIA,57.740585,57.740585,57.740585,0.0,0.005410494,0.005410494,0.005410494,0.0
2019-04-19,NIKAIA,44.611343,44.611343,44.611343,0.0,0.005151703,0.005151703,0.005151703,0.0
2019-04-20,NIKAIA,62.71283,62.71283,62.71283,0.0,0.005882074,0.005882074,0.005882074,0.0
2019-04-21,NIKAIA,35.218567,35.218567,35.218567,0.0,0.0042758943,0.0042758943,0.0042758943,0.0
2019-04-22,NIKAIA,38.151886,38.151886,38.151886,0.0,0.0051479638,0.0051479638,0.0051479638,0.0
2019-04-23,NIKAIA,64.77724,64.77724,64.77724,0.0,0.0064966027,0.0064966027,0.0064966027,0.0
2019-04-24,NIKAIA,53.856827,53.856827,53.856827,0.0,0.0071681347,0.0071681347,0.0071681347,0.0
2019-04-25,NIKAIA,71.003586,71.003586,71.003586,0.0,0.00950815,0.00950815,0.00950815,0.0
2019-04-26,NIKAIA,41.514465,41.514465,41.514465,0.0,0.008422859,0.008422859,0.008422859,0.0
2019-04-27,NIKAIA,20.159714,20.159714,20.159714,0.0,0.004853513,0.004853513,0.004853513,0.0
2019-04-28,NIKAIA,26.209198,26.209198,26.209198,0.0,0.00468125,0.00468125,0.00468125,0.0
2019-04-29,NIKAIA,30.873978,30.873978,30.873978,0.0,0.0052234177,0.0052234177,0.0052234177,0.0
2019-04-30,NIKAIA,33.540268,33.540268,33.540268,0.0,0.004964426,0.004964426,0.004964426,0.0
2019-05-01,NIKAIA,30.885193,30.885193,30.885193,0.0,0.004224602,0.004224602,0.004224602,0.0
2019-05-02,NIKAIA,31.133453,31.133453,31.133453,0.0,0.0045222268,0.0045222268,0.0045222268,0.0
2019-05-03,NIKAIA,24.789139,24.789139,24.789139,0.0,0.0044092024,0.0044092024,0.0044092024,0.0
2019-05-04,NIKAIA,41.33171,41.33171,41.33171,0.0,0.005673442,0.005673442,0.005673442,0.0
2019-05-05,NIKAIA,46.591187,46.591187,46.591187,0.0,0.0075470842,0.0075470842,0.0075470842,0.0
2019-05-06,NIKAIA,33.942917,33.942917,33.942917,0.0,0.0043577757,0.0043577757,0.0043577757,0.0
2019-05-07,NIKAIA,31.647781,31.647781,31.647781,0.0,0.0041372282,0.0041372282,0.0041372282,0.0
2019-05-08,NIKAIA,28.169388,28.169388,28.169388,0.0,0.0039168647,0.0039168647,0.0039168647,0.0
2019-05-09,NIKAIA,32.844208,32.844208,32.844208,0.0,0.0056013353,0.0056013353,0.0056013353,0.0
2019-05-10,NIKAIA,29.146606,29.146606,29.146606,0.0,0.005268935,0.005268935,0.005268935,0.0
2019-05-11,NIKAIA,27.168915,27.168915,27.168915,0.0,0.0049467003,0.0049467003,0.0049467003,0.0
2019-05-12,NIKAIA,35.361176,35.361176,35.361176,0.0,0.0064944997,0.0064944997,0.0064944997,0.0
2019-05-13,NIKAIA,49.80609,49.80609,49.80609,0.0,0.0069268197,0.0069268197,0.0069268197,0.0
2019-05-14,NIKAIA,54.390884,54.390884,54.390884,0.0,0.008391343,0.008391343,0.008391343,0.0
2019-05-15,NIKAIA,23.559143,23.559143,23.559143,0.0,0.004495304,0.004495304,0.004495304,0.0
2019-05-16,NIKAIA,33.602173,33.602173,33.602173,0.0,0.005721867,0.005721867,0.005721867,0.0
2019-05-17,NIKAIA,38.449646,38.449646,38.449646,0.0,0.006928727,0.006928727,0.006928727,0.0
2019-05-18,NIKAIA,24.31224,24.31224,24.31224,0.0,0.005690247,0.005690247,0.005690247,0.0
2019-05-19,NIKAIA,35.093475,35.093475,35.093475,0.0,0.00781405,0.00781405,0.00781405,0.0
2019-05-20,NIKAIA,26.892624,26.892624,26.892624,0.0,0.0055844486,0.0055844486,0.0055844486,0.0
2019-05-21,NIKAIA,19.838913,19.838913,19.838913,0.0,0.004204016,0.004204016,0.004204016,0.0
2019-05-22,NIKAIA,21.376617,21.376617,21.376617,0.0,0.004792236,0.004792236,0.004792236,0.0
2019-05-23,NIKAIA,18.463638,18.463638,18.463638,0.0,0.0045709647,0.0045709647,0.0045709647,0.0
2019-05-24,NIKAIA,32.24121,32.24121,32.24121,0.0,0.0061120912,0.0061120912,0.0061120912,0.0
2019-05-25,NIKAIA,21.656906,21.656906,21.656906,0.0,0.004937485,0.004937485,0.004937485,0.0
2019-05-26,NIKAIA,38.14157,38.14157,38.14157,0.0,0.008149289,0.008149289,0.008149289,0.0
2019-05-27,NIKAIA,44.99997,44.99997,44.99997,0.0,0.008354645,0.008354645,0.008354645,0.0
2019-05-28,NIKAIA,26.079155,26.079155,26.079155,0.0,0.0061613955,0.0061613955,0.0061613955,0.0
2019-05-29,NIKAIA,28.922241,28.922241,28.922241,0.0,0.0064961873,0.0064961873,0.0064961873,0.0
2019-05-30,NIKAIA,31.795227,31.795227,31.795227,0.0,0.0072048344,0.0072048344,0.0072048344,0.0
2019-05-31,NIKAIA,35.25859,35.25859,35.25859,0.0,0.0073420517,0.0073420517,0.0073420517,0.0
2019-06-01,NIKAIA,30.051132,30.051132,30.051132,0.0,0.0063868947,0.0063868947,0.0063868947,0.0
2019-06-02,NIKAIA,50.963562,50.963562,50.963562,0.0,0.008664541,0.008664541,0.008664541,0.0
2019-06-03,NIKAIA,61.981384,61.981384,61.981384,0.0,0.008106496,0.008106496,0.008106496,0.0
2019-06-04,NIKAIA,41.323456,41.323456,41.323456,0.0,0.007535614,0.007535614,0.007535614,0.0
2019-06-05,NIKAIA,47.86917,47.86917,47.86917,0.0,0.009053979,0.009053979,0.009053979,0.0
2019-06-06,NIKAIA,29.282547,29.282547,29.282547,0.0,0.0077667646,0.0077667646,0.0077667646,0.0
2019-06-07,NIKAIA,22.797588,22.797588,22.797588,0.0,0.0070856772,0.0070856772,0.0070856772,0.0
2019-06-08,NIKAIA,24.86052,24.86052,24.86052,0.0,0.0077695027,0.0077695027,0.0077695027,0.0
2019-06-09,NIKAIA,34.797546,34.797546,34.797546,0.0,0.009249717,0.009249717,0.009249717,0.0
2019-06-10,NIKAIA,31.940659,31.940659,31.940659,0.0,0.007793214,0.007793214,0.007793214,0.0
2019-06-11,NIKAIA,43.12474,43.12474,43.12474,0.0,0.010033183,0.010033183,0.010033183,0.0
2019-06-12,NIKAIA,39.945618,39.945618,39.945618,0.0,0.009952523,0.009952523,0.009952523,0.0
2019-06-13,NIKAIA,28.168434,28.168434,28.168434,0.0,0.008689605,0.008689605,0.008689605,0.0
2019-06-14,NIKAIA,27.020844,27.020844,27.020844,0.0,0.008099478,0.008099478,0.008099478,0.0
2019-06-15,NIKAIA,21.212814,21.212814,21.212814,0.0,0.0063590035,0.0063590035,0.0063590035,0.0
2019-06-16,NIKAIA,39.993027,39.993027,39.993027,0.0,0.00990247,0.00990247,0.00990247,0.0
2019-06-17,NIKAIA,34.21707,34.21707,34.21707,0.0,0.008279797,0.008279797,0.008279797,0.0
2019-06-18,NIKAIA,44.56659,44.56659,44.56659,0.0,0.010632705,0.010632705,0.010632705,0.0
2019-06-19,NIKAIA,39.700348,39.700348,39.700348,0.0,0.010026172,0.010026172,0.010026172,0.0
2019-06-20,NIKAIA,42.912796,42.912796,42.912796,0.0,0.0109304,0.0109304,0.0109304,0.0
2019-06-21,NIKAIA,30.315475,30.315475,30.315475,0.0,0.008666735,0.008666735,0.008666735,0.0
2019-06-22,NIKAIA,24.169006,24.169006,24.169006,0.0,0.007537313,0.007537313,0.007537313,0.0
2019-06-23,NIKAIA,17.751892,17.751892,17.751892,0.0,0.00646811,0.00646811,0.00646811,0.0
2019-06-24,NIKAIA,36.22969,36.22969,36.22969,0.0,0.009623326,0.009623326,0.009623326,0.0
2019-06-25,NIKAIA,35.24298,35.24298,35.24298,0.0,0.009385351,0.009385351,0.009385351,0.0
2019-06-26,NIKAIA,35.290024,35.290024,35.290024,0.0,0.009469178,0.009469178,0.009469178,0.0
2019-06-27,NIKAIA,29.211609,29.211609,29.211609,0.0,0.008391023,0.008391023,0.008391023,0.0
2019-06-28,NIKAIA,24.082275,24.082275,24.082275,0.0,0.007837992,0.007837992,0.007837992,0.0
2019-06-29,NIKAIA,45.538467,45.538467,45.538467,0.0,0.010335136,0.010335136,0.010335136,0.0
2019-06-30,NIKAIA,34.436104,34.436104,34.436104,0.0,0.008153722,0.008153722,0.008153722,0.0
2019-07-01,NIKAIA,28.074434,28.074434,28.074434,0.0,0.0075565893,0.0075565893,0.0075565893,0.0
2019-07-02,NIKAIA,22.422737,22.422737,22.422737,0.0,0.006997065,0.006997065,0.006997065,0.0
2019-07-03,NIKAIA,14.33585,14.33585,14.33585,0.0,0.0052211853,0.0052211853,0.0052211853,0.0
2019-07-04,NIKAIA,22.272007,22.272007,22.272007,0.0,0.0076555237,0.0076555237,0.0076555237,0.0
2019-07-05,NIKAIA,31.281786,31.281786,31.281786,0.0,0.009748675,0.009748675,0.009748675,0.0
2019-07-06,NIKAIA,29.54036,29.54036,29.54036,0.0,0.008933961,0.008933961,0.008933961,0.0
2019-07-07,NIKAIA,20.496037,20.496037,20.496037,0.0,0.007716812,0.007716812,0.007716812,0.0
2019-07-08,NIKAIA,14.848884,14.848884,14.848884,0.0,0.006209489,0.006209489,0.006209489,0.0
2019-07-09,NIKAIA,20.188168,20.188168,20.188168,0.0,0.008047935,0.008047935,0.008047935,0.0
2019-07-10,NIKAIA,22.665192,22.665192,22.665192,0.0,0.008609649,0.008609649,0.008609649,0.0
2019-07-11,NIKAIA,50.83873,50.83873,50.83873,0.0,0.009234924,0.009234924,0.009234924,0.0
2019-07-12,NIKAIA,37.59021,37.59021,37.59021,0.0,0.0085681975,0.0085681975,0.0085681975,0.0
2019-07-13,NIKAIA,36.525436,36.525436,36.525436,0.0,0.009442762,0.009442762,0.009442762,0.0
2019-07-14,NIKAIA,59.753433,59.753433,59.753433,0.0,0.0110543035,0.0110543035,0.0110543035,0.0
2019-07-15,NIKAIA,44.653214,44.653214,44.653214,0.0,0.0093265325,0.0093265325,0.0093265325,0.0
2019-07-16,NIKAIA,84.633484,84.633484,84.633484,0.0,0.012214448,0.012214448,0.012214448,0.0
2019-07-17,NIKAIA,43.246353,43.246353,43.246353,0.0,0.008570824,0.008570824,0.008570824,0.0
2019-07-18,NIKAIA,32.994827,32.994827,32.994827,0.0,0.008118011,0.008118011,0.008118011,0.0
2019-07-19,NIKAIA,43.79634,43.79634,43.79634,0.0,0.009957857,0.009957857,0.009957857,0.0
2019-07-20,NIKAIA,36.598892,36.598892,36.598892,0.0,0.009023238,0.009023238,0.009023238,0.0
