Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,VEROIA,52.100266,52.100266,52.100266,0.0,0.0027522938,0.0027522938,0.0027522938,0.0
2019-01-02,VEROIA,52.49695,52.49695,52.49695,0.0,0.0027867993,0.0027867993,0.0027867993,0.0
2019-01-03,VEROIA,85.560165,85.560165,85.560165,0.0,0.003151794,0.003151794,0.003151794,0.0
2019-01-04,VEROIA,90.815445,90.815445,90.815445,0.0,0.0025523568,0.0025523568,0.0025523568,0.0
2019-01-05,VEROIA,65.62598,65.62598,65.62598,0.0,0.0019781666,0.0019781666,0.0019781666,0.0
2019-01-06,VEROIA,54.796356,54.796356,54.796356,0.0,0.0022326095,0.0022326095,0.0022326095,0.0
2019-01-07,VEROIA,57.925995,57.925995,57.925995,0.0,0.0016132384,0.0016132384,0.0016132384,0.0
2019-01-08,VEROIA,44.511932,44.511932,44.511932,0.0,0.0013480431,0.0013480431,0.0013480431,0.0
2019-01-09,VEROIA,91.93529,91.93529,91.93529,0.0,0.0027994881,0.0027994881,0.0027994881,0.0
2019-01-10,VEROIA,87.270355,87.270355,87.270355,0.0,0.0042291386,0.0042291386,0.0042291386,0.0
2019-01-11,VEROIA,66.85695,66.85695,66.85695,0.0,0.0030990914,0.0030990914,0.0030990914,0.0
2019-01-12,VEROIA,66.092224,66.092224,66.092224,0.0,0.002489782,0.002489782,0.002489782,0.0
2019-01-13,VEROIA,57.627075,57.627075,57.627075,0.0,0.0023633817,0.0023633817,0.0023633817,0.0
2019-01-14,VEROIA,71.50763,71.50763,71.50763,0.0,0.003165406,0.003165406,0.003165406,0.0
2019-01-15,VEROIA,43.400696,43.400696,43.400696,0.0,0.001629594,0.001629594,0.001629594,0.0
2019-01-16,VEROIA,50.48178,50.48178,50.48178,0.0,0.0025218613,0.0025218613,0.0025218613,0.0
2019-01-17,VEROIA,53.57483,53.57483,53.57483,0.0,0.0032652707,0.0032652707,0.0032652707,0.0
2019-01-18,VEROIA,72.199066,72.199066,72.199066,0.0,0.004309808,0.004309808,0.004309808,0.0
2019-01-19,VEROIA,77.252304,77.252304,77.252304,0.0,0.004727926,0.004727926,0.004727926,0.0
2019-01-20,VEROIA,71.423706,71.423706,71.423706,0.0,0.005181566,0.005181566,0.005181566,0.0
2019-01-21,VEROIA,74.76677,74.76677,74.76677,0.0,0.0048060864,0.0048060864,0.0048060864,0.0
2019-01-22,VEROIA,98.77144,98.77144,98.77144,0.0,0.00594208,0.00594208,0.00594208,0.0
2019-01-23,VEROIA,97.968765,97.968765,97.968765,0.0,0.0059044287,0.0059044287,0.0059044287,0.0
2019-01-24,VEROIA,55.18033,55.18033,55.18033,0.0,0.0042223977,0.0042223977,0.0042223977,0.0
2019-01-25,VEROIA,100.09732,100.09732,100.09732,0.0,0.0057002115,0.0057002115,0.0057002115,0.0
2019-01-26,VEROIA,74.712204,74.712204,74.712204,0.0,0.0032128566,0.0032128566,0.0032128566,0.0
2019-01-27,VEROIA,58.460526,58.460526,58.460526,0.0,0.0037655458,0.0037655458,0.0037655458,0.0
2019-01-28,VEROIA,76.024124,76.024124,76.024124,0.0,0.0054068603,0.0054068603,0.0054068603,0.0
2019-01-29,VEROIA,96.767624,96.767624,96.767624,0.0,0.0059761815,0.0059761815,0.0059761815,0.0
2019-01-30,VEROIA,86.46416,86.46416,86.46416,0.0,0.005881928,0.005881928,0.005881928,0.0
2019-01-31,VEROIA,60.669907,60.669907,60.669907,0.0,0.0041186437,0.0041186437,0.0041186437,0.0
2019-02-01,VEROIA,63.43625,63.43625,63.43625,0.0,0.0051557105,0.0051557105,0.0051557105,0.0
2019-02-02,VEROIA,71.689896,71.689896,71.689896,0.0,0.006233532,0.006233532,0.006233532,0.0
2019-02-03,VEROIA,85.010605,85.010605,85.010605,0.0,0.006936524,0.006936524,0.006936524,0.0
2019-02-04,VEROIA,90.510666,90.510666,90.510666,0.0,0.0074229278,0.0074229278,0.0074229278,0.0
2019-02-05,VEROIA,67.74396,67.74396,67.74396,0.0,0.005938139,0.005938139,0.005938139,0.0
