Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,60.201733,60.201733,63.22429,159.22658,0.0030735682,0.0030735682,0.002971639,3.1031354e-07
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,61.288727,61.288727,62.122925,10.815612,0.003294621,0.003294621,0.0032957038,5.9083973e-08
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,71.29212,71.29212,71.85704,58.498993,0.0033601306,0.0033601306,0.0034772353,1.438229e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,58.97156,58.97156,59.651382,23.739372,0.0022733242,0.0022733242,0.0021738673,5.633992e-08
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,75.810295,75.810295,72.48535,55.284195,0.0026001695,0.0026001695,0.0025993662,1.887926e-08
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,63.718285,63.718285,65.31296,98.61687,0.0026523252,0.0026523252,0.00281447,8.608311e-08
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,56.732983,56.732983,57.058807,50.370808,0.0020200214,0.0020200214,0.00203965,4.370995e-08
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,51.164795,51.164795,51.11252,15.770376,0.0017381713,0.0017381713,0.0018130785,2.1951767e-08
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,90.07698,90.07698,89.467514,16.97967,0.0037496795,0.0037496795,0.0038449536,2.7227298e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,92.831245,92.831245,93.51059,6.4843974,0.0062577697,0.0062577697,0.006316374,5.6041887e-07
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,69.365265,69.365265,66.838394,82.76882,0.0039624777,0.0039624777,0.003799446,2.597213e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,63.67733,63.67733,62.415466,28.232084,0.0031368658,0.0031368658,0.0031071668,1.9926686e-08
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,67.85377,67.85377,64.62512,54.95177,0.0031181215,0.0031181215,0.0030115226,7.20779e-08
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,67.50782,67.50782,67.13556,33.698147,0.0035152494,0.0035152494,0.0035103976,1.2550593e-07
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,41.750305,41.750305,41.480774,107.44253,0.0017994468,0.0017994468,0.0017339021,1.7577739e-07
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,55.042126,55.042126,55.339203,23.411303,0.0030918808,0.0030918808,0.0031887777,4.5772087e-08
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,69.65385,69.65385,72.50061,49.209484,0.0045063193,0.0045063193,0.0046253297,2.736872e-07
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,75.33223,75.33223,74.57797,96.83759,0.004938223,0.004938223,0.004849826,9.179833e-07
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,81.19584,81.19584,82.48668,41.182243,0.005810125,0.005810125,0.0058233403,4.2757733e-07
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,92.21039,92.21039,92.0155,6.7499323,0.0064394907,0.0064394907,0.006627515,2.2619112e-07
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,77.566345,77.566345,77.10759,23.411098,0.0054811374,0.0054811374,0.005415365,1.303473e-07
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,85.43471,85.43471,83.59566,34.69987,0.004977137,0.004977137,0.00496969,5.1021225e-08
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,89.60531,89.60531,89.05861,18.123287,0.0068241446,0.0068241446,0.0070009157,1.8148931e-07
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,85.67357,85.67357,85.81607,61.59904,0.006243456,0.006243456,0.006423597,2.3265684e-07
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,88.091705,88.091705,86.65103,43.621742,0.0062114634,0.0062114634,0.0061489153,1.4903088e-07
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,85.84666,85.84666,85.87529,21.830399,0.0058986726,0.0058986726,0.0060381168,2.0282246e-07
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,73.95553,73.95553,75.21736,30.474577,0.0049016518,0.0049016518,0.004928313,5.625323e-08
2019-01-28,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,82.448265,82.448265,82.76143,29.063313,0.0061185746,0.0061185746,0.006225709,1.09343645e-07
2019-01-29,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,88.63926,88.63926,88.281296,17.598635,0.0069034104,0.0069034104,0.007062178,3.2278444e-07
2019-01-30,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,87.05862,87.05862,88.70537,60.113564,0.0062054475,0.0062054475,0.006169103,1.3101737e-07
2019-01-31,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,87.62741,87.62741,88.38573,23.716982,0.0057427506,0.0057427506,0.0058084354,1.8787397e-07
2019-02-01,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,61.40853,61.40853,60.138397,17.880766,0.004701498,0.004701498,0.0047508758,1.4273382e-07
2019-02-02,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,83.09998,83.09998,83.54732,29.002134,0.006888451,0.006888451,0.0070079155,4.2277046e-07
2019-02-03,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,88.5706,88.5706,90.936386,56.097683,0.007945915,0.007945915,0.007875178,2.0810852e-07
2019-02-04,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,76.32383,76.32383,77.763596,46.0464,0.007765503,0.007765503,0.0077679195,1.2465864e-07
2019-02-05,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,62.69324,62.69324,66.22247,83.50293,0.005683141,0.005683141,0.005733814,3.4578474e-07
2019-02-06,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,77.27288,77.27288,77.96301,67.47515,0.004410116,0.004410116,0.0043437593,5.339564e-08
2019-02-07,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,62.73901,62.73901,62.95125,26.273592,0.0033117312,0.0033117312,0.0031562464,1.0856138e-07
2019-02-08,ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,66.65033,66.65033,68.12015,34.288197,0.0037024259,0.0037024259,0.003647006,8.576275e-08
