Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,76.21025,76.21025,75.90007,7.360168,0.0048488276,0.0048488276,0.0048399465,1.5436086e-08
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,56.25,56.25,56.196167,2.5015018,0.0039657047,0.0039657047,0.0039459905,6.7925683e-09
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,84.860214,84.860214,85.443954,52.84252,0.0048013823,0.0048013823,0.0048149424,5.1123955e-08
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,78.889175,78.889175,78.62355,9.331981,0.0047789626,0.0047789626,0.004681971,5.5298226e-08
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,68.33386,68.33386,69.01465,9.892387,0.003407173,0.003407173,0.003356822,1.08222835e-08
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,44.971283,44.971283,45.061005,4.44965,0.0028084947,0.0028084947,0.0027393086,3.705805e-08
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,71.19052,71.19052,71.77707,140.70801,0.003352502,0.003352502,0.0033761053,8.426132e-08
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,55.54306,55.54306,53.71115,18.921722,0.0026441684,0.0026441684,0.002608592,2.8064667e-08
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,79.68053,79.68053,78.97484,8.793058,0.006322689,0.006322689,0.0061799656,9.010519e-08
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,68.80698,68.80698,68.72885,7.242793,0.006605859,0.006605859,0.0065929396,1.5331587e-07
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,71.160904,71.160904,69.49562,29.463673,0.0062453523,0.0062453523,0.0059983805,3.3739207e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,91.0932,91.0932,91.00482,5.9706254,0.005674592,0.005674592,0.005749739,1.8692992e-07
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,62.79541,62.79541,62.49475,4.9843693,0.0044085365,0.0044085365,0.0044332724,4.460763e-08
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,58.838806,58.838806,59.069153,9.345686,0.0048139663,0.0048139663,0.004819614,4.9941644e-08
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,42.3006,42.3006,40.716125,16.46456,0.002562496,0.002562496,0.0025911361,3.8163698e-08
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,39.401337,39.401337,41.50717,16.947159,0.0028136335,0.0028136335,0.0028864034,3.250479e-08
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,58.312256,58.312256,59.768677,29.39141,0.00471195,0.00471195,0.004834423,1.0344435e-07
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,59.003876,59.003876,59.81772,24.178013,0.0053023146,0.0053023146,0.0053261863,4.5355286e-08
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,71.52208,71.52208,71.675644,8.540043,0.006203007,0.006203007,0.0061973,1.1326765e-07
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,76.64258,76.64258,79.86951,45.252632,0.00669007,0.00669007,0.0068339556,6.6075366e-08
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,74.21611,74.21611,73.80583,13.25693,0.0067043006,0.0067043006,0.0068095177,9.304697e-08
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,77.97981,77.97981,77.90718,4.096075,0.007232461,0.007232461,0.00724921,1.2287219e-08
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,75.42799,75.42799,75.96437,4.081992,0.007259123,0.007259123,0.007307403,9.904049e-08
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,62.048126,62.048126,62.96695,7.9951897,0.0057489322,0.0057489322,0.005642061,9.546973e-08
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,75.793976,75.793976,76.780426,15.013439,0.0062272656,0.0062272656,0.0062141228,1.791778e-08
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,61.81804,61.81804,61.74199,3.9831052,0.0053666704,0.0053666704,0.0053173774,1.2865498e-08
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,57.648758,57.648758,56.974686,4.3039646,0.005059518,0.005059518,0.0050051436,3.9382563e-08
