Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,78.40545,78.40545,78.873215,5.9241333,0.0047917855,0.0047917855,0.004814853,2.1787383e-07
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,71.5588,71.5588,72.00818,1.7746845,0.005109672,0.005109672,0.005081161,2.4507218e-08
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,83.36909,83.36909,83.10167,3.1320724,0.006187776,0.006187776,0.0061743455,1.0987224e-06
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,63.922375,63.922375,64.44679,1.7497516,0.0042980374,0.0042980374,0.0042891763,1.003096e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,63.295246,63.295246,63.472656,12.711903,0.004129278,0.004129278,0.004136212,1.8436952e-08
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,63.813446,63.813446,63.157684,82.436584,0.0038476174,0.0038476174,0.0038617235,2.709214e-07
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,60.493702,60.493702,58.990936,6.074718,0.0030825327,0.0030825327,0.0030744462,6.358922e-08
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,51.23166,51.23166,50.62082,3.8471234,0.002390091,0.002390091,0.0023614115,2.1718138e-08
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,63.960846,63.960846,63.995346,3.5595987,0.005036729,0.005036729,0.005053974,8.123922e-08
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,83.83025,83.83025,83.7811,2.3313463,0.0077267396,0.0077267396,0.0077117784,3.8168956e-08
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,83.85174,83.85174,84.83302,6.4012585,0.007128445,0.007128445,0.007270165,2.046877e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,85.66384,85.66384,85.25238,6.9630075,0.006958879,0.006958879,0.0069632893,3.4683332e-09
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,65.15686,65.15686,64.02014,25.145042,0.00445924,0.00445924,0.0044076424,2.039895e-07
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,64.20376,64.20376,64.67169,1.3387083,0.0049974937,0.0049974937,0.005033654,1.44419126e-08
