Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,64.23698,64.23698,61.909836,105.71385,0.0037455147,0.0037455147,0.0038775103,6.0903105e-08
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,61.827747,61.827747,62.07019,8.683723,0.004108316,0.004108316,0.00410287,1.01928e-07
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,88.537605,88.537605,88.219345,35.257458,0.0044926857,0.0044926857,0.004477759,1.9021658e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,87.66932,87.66932,88.19142,37.59132,0.0039515416,0.0039515416,0.0040839575,1.5172468e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,61.682102,61.682102,61.600586,51.08416,0.0029072023,0.0029072023,0.002814539,5.6451608e-08
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,56.662624,56.662624,57.038544,13.497979,0.0031685971,0.0031685971,0.0031666143,5.275453e-08
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,47.68921,47.68921,46.57541,33.989338,0.002355523,0.002355523,0.002292016,3.39937e-08
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,48.562668,48.562668,49.595917,17.619787,0.0022559194,0.0022559194,0.0022666699,7.7276965e-08
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,93.42604,93.42604,93.55052,6.1086016,0.0059536784,0.0059536784,0.005692817,9.750923e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,81.61005,81.61005,84.32309,87.49031,0.0059340256,0.0059340256,0.005866359,1.0032943e-07
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,82.20111,82.20111,81.201675,11.643182,0.005711977,0.005711977,0.0055741146,1.9987061e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,82.25938,82.25938,81.120544,64.22513,0.0044589187,0.0044589187,0.004366136,1.8074994e-07
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,67.817505,67.817505,69.74231,38.49985,0.0043249144,0.0043249144,0.0043134075,5.8302074e-08
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,79.47642,79.47642,79.111145,13.009708,0.005082662,0.005082662,0.005076808,2.3442614e-07
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,30.238998,30.238998,28.537415,47.18912,0.0017925845,0.0017925845,0.0015323192,1.8745595e-07
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,51.196476,51.196476,50.845062,5.9839387,0.00307354,0.00307354,0.003079284,6.5648585e-08
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,72.03628,72.03628,72.831665,24.308933,0.004979463,0.004979463,0.005039761,5.699081e-08
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,73.52519,73.52519,74.27719,61.069992,0.0055482425,0.0055482425,0.0054566013,1.6441159e-07
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,86.74306,86.74306,87.18297,13.929721,0.0064081,0.0064081,0.006420221,1.4501053e-07
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,84.92252,84.92252,85.13074,7.09946,0.0064929654,0.0064929654,0.006583944,1.9168256e-07
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,75.57217,75.57217,73.48845,15.22006,0.0062349476,0.0062349476,0.0063332766,2.6104394e-07
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,84.06385,84.06385,85.36128,21.379318,0.0068090074,0.0068090074,0.0067044236,2.950758e-07
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,82.02638,82.02638,82.12599,26.850218,0.0065988037,0.0065988037,0.0065884516,8.654913e-08
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,75.87163,75.87163,75.74771,9.438798,0.0058339196,0.0058339196,0.0058341073,1.245559e-07
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,83.24313,83.24313,84.30142,20.175613,0.005713362,0.005713362,0.0057389545,7.5587195e-08
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,78.890236,78.890236,80.14775,12.844963,0.0057952367,0.0057952367,0.005846309,1.2824455e-07
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,65.980576,65.980576,65.4117,19.96959,0.005089484,0.005089484,0.00519868,7.5698594e-08
2019-01-28,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,78.00332,78.00332,78.13838,39.69234,0.006215199,0.006215199,0.006368879,1.8949186e-07
2019-01-29,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,84.2193,84.2193,83.008835,20.90912,0.006662363,0.006662363,0.0066932254,1.3407818e-07
2019-01-30,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,86.622765,86.622765,87.32353,27.221664,0.006076851,0.006076851,0.0061249956,1.6699573e-07
2019-01-31,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,76.215706,76.215706,76.8535,190.891,0.0049737133,0.0049737133,0.0050328597,8.4410445e-08
2019-02-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,71.5978,71.5978,69.21164,42.09223,0.005959075,0.005959075,0.0059968513,1.6016565e-07
2019-02-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,58.288788,58.288788,58.24263,14.681098,0.006074343,0.006074343,0.0059765168,1.18480955e-07
2019-02-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,54.3045,54.3045,53.544785,36.40358,0.0062548346,0.0062548346,0.006294582,3.0511765e-07
2019-02-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,63.540314,63.540314,59.161057,117.65137,0.006421456,0.006421456,0.0063650645,1.1075088e-07
2019-02-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,61.88997,61.88997,59.668762,95.31555,0.005983307,0.005983307,0.005872097,1.6865992e-07
2019-02-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,68.83961,68.83961,66.77161,81.728065,0.005463584,0.005463584,0.0054656975,3.853725e-08
2019-02-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,56.32666,56.32666,53.977615,64.677635,0.0043197037,0.0043197037,0.0042845625,2.0415875e-08
2019-02-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,65.66388,65.66388,64.94925,29.26249,0.004736636,0.004736636,0.004652179,1.099004e-07
2019-02-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,64.36914,64.36914,63.918167,7.3872,0.0049254578,0.0049254578,0.0049235756,1.0224261e-07
2019-02-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,69.19287,69.19287,69.2473,14.442516,0.0053336057,0.0053336057,0.0053717177,6.879874e-08
2019-02-11,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,82.01719,82.01719,82.022064,36.744007,0.0069690705,0.0069690705,0.0071588457,3.1475142e-07
2019-02-12,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,70.870674,70.870674,71.905106,26.833939,0.0050059347,0.0050059347,0.0048824716,1.4590262e-07
2019-02-13,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,54.78136,54.78136,52.043076,90.019806,0.0031405503,0.0031405503,0.0031376577,4.829104e-08
2019-02-14,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,41.97338,41.97338,42.673477,27.386889,0.003028569,0.003028569,0.0029358433,3.5968366e-08
2019-02-15,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,47.59508,47.59508,46.46103,74.081406,0.0030341242,0.0030341242,0.0029552516,5.666663e-08
