Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,57.327377,57.327377,56.541183,19.89123,0.0025992738,0.0025992738,0.0025936859,6.814495e-09
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,48.387268,48.387268,47.668823,14.384541,0.0024549654,0.0024549654,0.002442344,1.1134693e-08
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,85.86662,85.86662,86.1129,6.8726487,0.002809492,0.002809492,0.0027621584,3.8431004e-08
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,89.03346,89.03346,88.341324,3.7626605,0.002246041,0.002246041,0.0022342468,3.509274e-08
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,70.81378,70.81378,71.1167,6.440295,0.001944937,0.001944937,0.0019195753,4.6263713e-09
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,61.29294,61.29294,62.676727,49.11502,0.0023268817,0.0023268817,0.0023543222,1.233557e-08
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,64.67093,64.67093,65.982635,67.491394,0.0015895381,0.0015895381,0.0015790849,1.7486442e-09
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,42.692535,42.692535,40.182343,39.16441,0.0012420102,0.0012420102,0.0012111908,6.608524e-09
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,95.129074,95.129074,94.73558,0.97073424,0.003181703,0.003181703,0.0031881104,7.118739e-08
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,89.57242,89.57242,89.28549,7.3696194,0.0043204008,0.0043204008,0.0043018563,5.1088346e-08
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,72.260635,72.260635,72.71095,13.46565,0.003239803,0.003239803,0.0032420233,1.0270969e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,71.37518,71.37518,71.8642,26.1402,0.002471759,0.002471759,0.002519465,2.8426888e-08
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,58.48474,58.48474,58.31653,20.495125,0.0022769624,0.0022769624,0.002267895,5.4405787e-09
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,78.251526,78.251526,79.281555,32.85292,0.0033334761,0.0033334761,0.0033259213,2.0981105e-08
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,44.429626,44.429626,43.742493,11.72616,0.0014644593,0.0014644593,0.001480642,5.8103593e-09
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,55.79715,55.79715,56.092133,35.139275,0.0024643913,0.0024643913,0.0024475344,6.2940457e-09
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,53.141174,53.141174,53.087524,22.492043,0.003093315,0.003093315,0.0031062753,4.6868296e-09
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,77.2999,77.2999,76.509125,28.774862,0.00449339,0.00449339,0.004493152,6.4167924e-09
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,79.46953,79.46953,80.689316,12.517853,0.0048569404,0.0048569404,0.0048417114,4.0533433e-08
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,71.66937,71.66937,72.611206,12.629482,0.0045992546,0.0045992546,0.004578635,1.2821868e-08
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,72.44914,72.44914,72.34831,30.064587,0.0044739544,0.0044739544,0.004460618,1.4390443e-08
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,96.05977,96.05977,97.04195,13.265596,0.0054549165,0.0054549165,0.005465422,8.330035e-08
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,97.112076,97.112076,97.35011,8.244397,0.0051926896,0.0051926896,0.005156867,2.0959929e-07
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,57.00876,57.00876,56.575348,13.809916,0.0037533017,0.0037533017,0.0037432958,2.764003e-08
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,95.13034,95.13034,95.982574,7.4655476,0.0049330625,0.0049330625,0.0049430537,2.504878e-07
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,72.883835,72.883835,72.762985,16.02579,0.0030308017,0.0030308017,0.0029972666,4.5074035e-08
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,55.97841,55.97841,55.13533,6.6379404,0.0036276653,0.0036276653,0.003606759,2.1033934e-08
2019-01-28,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,83.100845,83.100845,82.54805,55.11618,0.005226057,0.005226057,0.0052403845,2.0743048e-08
2019-01-29,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,96.844955,96.844955,97.47954,8.107014,0.005189799,0.005189799,0.005190205,1.0123075e-07
2019-01-30,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,87.8065,87.8065,87.96709,7.220499,0.0051677413,0.0051677413,0.0051637813,7.383626e-08
2019-01-31,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,62.32512,62.32512,59.627426,103.53824,0.0033855364,0.0033855364,0.0034269318,6.163013e-08
2019-02-01,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,65.60263,65.60263,63.011932,36.236187,0.004700741,0.004700741,0.004677443,1.6485224e-08
2019-02-02,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,65.481155,65.481155,64.84273,3.2126262,0.0055526085,0.0055526085,0.0055068918,4.6264418e-08
2019-02-03,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,61.673447,61.673447,57.80699,70.527466,0.0054942407,0.0054942407,0.0054406263,2.5656934e-07
2019-02-04,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,80.28166,80.28166,79.94963,27.723642,0.0063112415,0.0063112415,0.006249968,1.6707116e-07
2019-02-05,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,64.948425,64.948425,64.210266,22.198284,0.005142417,0.005142417,0.005121913,1.2950751e-07
2019-02-06,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,90.77783,90.77783,91.10022,13.469578,0.004810918,0.004810918,0.004815411,6.654713e-08
2019-02-07,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,67.87343,67.87343,67.01961,34.97058,0.0038992334,0.0038992334,0.0038298385,1.213555e-07
2019-02-08,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,61.076385,61.076385,60.962433,20.428093,0.0037294505,0.0037294505,0.0037779573,6.8120286e-08
2019-02-09,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,47.593826,47.593826,46.808304,12.146385,0.0033250793,0.0033250793,0.003299319,1.6536482e-08
2019-02-10,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,47.652206,47.652206,47.36888,8.479195,0.0038174894,0.0038174894,0.0037772637,2.543439e-08
2019-02-11,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,61.99826,61.99826,60.018646,66.3769,0.00483682,0.00483682,0.004822284,7.7963364e-08
2019-02-12,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,50.78865,50.78865,49.49446,20.494827,0.0027387086,0.0027387086,0.0026632715,2.7023184e-08
