Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,56.049362,56.049362,55.904953,92.54606,0.0028132172,0.0028132172,0.002787103,5.7347513e-08
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,53.95958,53.95958,54.118042,24.487867,0.0030471846,0.0030471846,0.0029815873,2.9791414e-07
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,87.34526,87.34526,87.78282,13.72546,0.0033511354,0.0033511354,0.003305097,2.4757685e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,79.51362,79.51362,78.34181,39.941746,0.002484797,0.002484797,0.002349701,1.7428627e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,63.09414,63.09414,64.365234,56.073174,0.0022314626,0.0022314626,0.002218731,5.7771825e-08
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,57.820263,57.820263,55.760223,28.26706,0.002654412,0.002654412,0.0025520904,7.94599e-08
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,54.29072,54.29072,52.506073,128.44998,0.0018631808,0.0018631808,0.00180898,2.9770673e-08
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,42.889217,42.889217,42.139862,4.012023,0.001528045,0.001528045,0.0014665371,7.924721e-08
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,92.68295,92.68295,94.614,29.520378,0.0044597397,0.0044597397,0.004192091,6.862833e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,92.119194,92.119194,93.701996,26.591326,0.0049534617,0.0049534617,0.004735182,3.11133e-07
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,74.50239,74.50239,73.670425,23.779196,0.004127923,0.004127923,0.0041836575,4.3701965e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,68.02276,68.02276,68.42328,80.286255,0.003226162,0.003226162,0.0032249456,1.3782667e-07
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,61.63261,61.63261,60.539185,30.707912,0.003083588,0.003083588,0.003139315,1.9526367e-07
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,87.021225,87.021225,88.52716,13.080475,0.0042221886,0.0042221886,0.004142207,2.201152e-07
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,30.125435,30.125435,28.787415,26.519373,0.0013080628,0.0013080628,0.0012716085,1.3179697e-08
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,53.259197,53.259197,53.312836,15.953849,0.0026770202,0.0026770202,0.0025141723,8.541779e-08
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,65.87913,65.87913,66.166626,14.361952,0.0039414093,0.0039414093,0.0038107724,3.827309e-07
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,91.369064,91.369064,90.932465,3.7560408,0.005424987,0.005424987,0.005181347,5.3744986e-07
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,88.70466,88.70466,88.07457,9.980739,0.005652411,0.005652411,0.005522456,4.3411572e-07
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,82.68217,82.68217,83.267456,3.4150426,0.0054432857,0.0054432857,0.0053382665,4.06262e-07
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,76.93096,76.93096,78.00798,17.475325,0.0053732684,0.0053732684,0.0052223653,6.918492e-07
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,92.701195,92.701195,93.24019,9.334359,0.0058861068,0.0058861068,0.005665157,4.5904926e-07
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,94.424164,94.424164,93.3965,11.429252,0.005654089,0.005654089,0.0056902096,8.290051e-07
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,72.8544,72.8544,74.42447,22.295374,0.0047559543,0.0047559543,0.004712467,5.1296934e-07
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,86.14718,86.14718,83.90494,19.71354,0.005289908,0.005289908,0.0052076387,2.981188e-07
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,69.83512,69.83512,68.33037,15.680456,0.004310155,0.004310155,0.004253077,4.8850484e-07
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,68.69002,68.69002,68.63533,19.23632,0.004587343,0.004587343,0.0045940503,3.013155e-07
2019-01-28,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,94.49217,94.49217,97.93233,50.689323,0.00600411,0.00600411,0.005962912,3.4884522e-07
2019-01-29,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,96.205635,96.205635,99.15532,31.332747,0.0050800266,0.0050800266,0.0049710684,1.908039e-07
2019-01-30,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,86.04423,86.04423,88.23955,52.418213,0.005182412,0.005182412,0.00519868,1.6177707e-07
2019-01-31,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,90.29628,90.29628,94.690414,131.79582,0.004567379,0.004567379,0.0045531616,1.5297543e-07
2019-02-01,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,89.8429,89.8429,90.252655,16.419342,0.0059057525,0.0059057525,0.005903868,4.5136008e-07
2019-02-02,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,65.60721,65.60721,64.95357,9.88082,0.005569742,0.005569742,0.005383212,1.564009e-07
2019-02-03,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,61.0166,61.0166,62.141464,16.149189,0.0058603734,0.0058603734,0.0055776574,6.1258106e-07
2019-02-04,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,64.251686,64.251686,64.97063,91.74911,0.0057203877,0.0057203877,0.0055999793,7.8658914e-08
2019-02-05,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,56.788097,56.788097,56.181458,57.876774,0.0048981737,0.0048981737,0.004832592,9.953298e-08
2019-02-06,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,72.85937,72.85937,73.15637,185.45987,0.0047444412,0.0047444412,0.004692506,6.384755e-08
2019-02-07,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,59.624287,59.624287,58.059647,64.447365,0.0040544244,0.0040544244,0.003986897,1.5845444e-07
2019-02-08,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,73.48979,73.48979,75.84378,34.7832,0.0047328444,0.0047328444,0.0047321683,4.94286e-07
2019-02-09,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,60.13535,60.13535,60.215042,37.473557,0.0042960932,0.0042960932,0.0040829713,5.8943937e-07
2019-02-10,ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,64.24998,64.24998,64.66722,24.608395,0.004623295,0.004623295,0.0045032185,3.5674825e-07
