Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,66.97991,66.97991,65.71013,98.65112,0.0034825325,0.0034825325,0.0033886926,1.7907918e-07
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,57.73967,57.73967,58.90564,16.240175,0.0033216267,0.0033216267,0.003402873,1.8169854e-07
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,93.59022,93.59022,93.01427,13.099461,0.003720428,0.003720428,0.0037844973,1.3979934e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,92.82885,92.82885,92.710464,11.843171,0.0031580755,0.0031580755,0.0031401778,2.4988142e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,69.177826,69.177826,68.67676,36.26508,0.0024991978,0.0024991978,0.0023809748,1.5800754e-07
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,49.62329,49.62329,50.213837,41.95879,0.0024145504,0.0024145504,0.002333997,7.881079e-08
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,60.93932,60.93932,60.77707,32.735607,0.0023336036,0.0023336036,0.0022984534,1.5119535e-07
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,43.7322,43.7322,44.147675,15.378437,0.0016020159,0.0016020159,0.0016187078,5.211965e-08
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,93.796135,93.796135,95.11693,20.00304,0.003935564,0.003935564,0.0038388143,1.1591748e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,81.58157,81.58157,80.69028,66.14234,0.005361572,0.005361572,0.005455862,3.0517435e-07
