Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,45.36296,45.36296,41.40886,41.916817,0.0035323596,0.0035323596,0.0032116072,2.5717256e-07
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,58.224163,58.224163,57.80652,0.44627276,0.0046116947,0.0046116947,0.0044501266,1.3522082e-07
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,66.500595,66.500595,58.05919,151.03706,0.0042278566,0.0042278566,0.0036853747,8.7846973e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,69.30275,69.30275,69.13576,23.127747,0.0034549695,0.0034549695,0.003299203,3.05004e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,52.623047,52.623047,49.374023,23.848417,0.002947219,0.002947219,0.0027659016,1.17772466e-07
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,53.6528,53.6528,52.602997,6.6589475,0.0037346464,0.0037346464,0.0035313948,1.2586854e-07
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,55.94618,55.94618,54.54709,6.255825,0.0030231264,0.0030231264,0.0027864962,1.2784967e-07
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,47.133026,47.133026,46.402557,2.9857967,0.0024848229,0.0024848229,0.0023221022,1.1694198e-07
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,83.11693,83.11693,79.9431,27.160692,0.007020332,0.007020332,0.006837226,6.9691197e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,75.05291,75.05291,78.326996,72.20891,0.0058858693,0.0058858693,0.0059014065,2.5030076e-08
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,79.05454,79.05454,80.00539,5.8711376,0.0058238977,0.0058238977,0.005426891,3.498219e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΙΟΝΙΩΝ ΝΗΣΩΝ,59.998474,59.998474,51.24945,163.7689,0.0044166413,0.0044166413,0.0038574701,8.1356205e-07
