Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,48.45694,48.45694,47.426437,17.75781,0.0028973506,0.0028973506,0.002868046,3.0922408e-08
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,54.58475,54.58475,53.82898,9.842876,0.0030136232,0.0030136232,0.0029776534,5.162508e-08
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,82.86255,82.86255,81.921005,31.348404,0.003645191,0.003645191,0.0035495358,1.895744e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,83.4916,83.4916,84.04494,37.726887,0.0030347055,0.0030347055,0.0029457475,1.7526091e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,67.23639,67.23639,69.11035,41.320267,0.002404922,0.002404922,0.002352007,1.3724647e-07
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,51.838177,51.838177,51.489716,30.29969,0.0023164384,0.0023164384,0.0023010357,3.9915367e-08
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,54.115307,54.115307,52.858124,54.539047,0.0019484023,0.0019484023,0.0018405109,1.5394575e-07
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,47.655777,47.655777,48.135468,14.60483,0.0015780277,0.0015780277,0.0015388376,3.0834236e-08
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,89.14261,89.14261,90.4807,30.354773,0.0032671357,0.0032671357,0.0029901038,4.0920645e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,86.31206,86.31206,87.8143,42.28951,0.0050656796,0.0050656796,0.0047609312,7.5906706e-07
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,61.399113,61.399113,60.602554,33.378757,0.0031914716,0.0031914716,0.0031383708,1.1041144e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,60.78349,60.78349,59.469177,37.694294,0.0027774516,0.0027774516,0.002565897,2.1878296e-07
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,56.05412,56.05412,55.52649,19.142727,0.0026430993,0.0026430993,0.0025719383,5.8268512e-08
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,65.7937,65.7937,64.75177,36.661976,0.0032474082,0.0032474082,0.003163737,8.1918e-08
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,40.366684,40.366684,40.36847,32.45265,0.0017682204,0.0017682204,0.0017735392,5.4550167e-08
