Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,82.5858,82.5858,82.881516,21.4322,0.0066522406,0.0066522406,0.0065596,5.4860802e-08
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,77.017944,77.017944,77.216675,22.806356,0.0058932146,0.0058932146,0.0060469946,1.4368419e-07
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,75.51836,75.51836,76.34386,16.849188,0.0067105936,0.0067105936,0.006745656,4.0331773e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,65.808365,65.808365,67.46437,54.648354,0.004844982,0.004844982,0.0047958754,6.0077106e-08
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,74.52887,74.52887,74.1499,24.262615,0.0043517053,0.0043517053,0.004473336,1.5270834e-07
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,65.2424,65.2424,64.65378,144.5299,0.0046114307,0.0046114307,0.004389165,3.864903e-07
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,76.257416,76.257416,76.73947,3.6066313,0.0048574745,0.0048574745,0.004779616,9.187434e-08
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,71.39505,71.39505,71.27951,76.5538,0.0038396623,0.0038396623,0.0038794226,1.5707798e-07
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,58.27861,58.27861,55.194565,67.78199,0.0049575637,0.0049575637,0.004699267,3.0806814e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,75.67239,75.67239,76.75864,32.26128,0.0068896366,0.0068896366,0.006856094,2.3730976e-08
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,69.722855,69.722855,70.11037,19.364012,0.006556593,0.006556593,0.006513007,3.8676564e-08
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,72.1496,72.1496,69.57123,38.244682,0.006780482,0.006780482,0.0068488484,8.450553e-08
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,77.96057,77.96057,76.993286,14.559474,0.0061900374,0.0061900374,0.006189106,1.02879106e-07
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,67.23871,67.23871,67.216125,21.703985,0.005776261,0.005776261,0.005765659,1.7819263e-08
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,76.00812,76.00812,77.90558,38.806664,0.005320358,0.005320358,0.00540674,2.407493e-07
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,47.94388,47.94388,50.200043,27.333164,0.0031887256,0.0031887256,0.003349591,1.4471732e-07
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,62.460632,62.460632,63.240356,8.436691,0.0054570753,0.0054570753,0.0054298136,2.4248676e-08
2019-01-18,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,61.839874,61.839874,62.00766,7.020007,0.005244379,0.005244379,0.0053263055,2.6126369e-08
2019-01-19,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,59.949875,59.949875,60.008163,17.803991,0.005180586,0.005180586,0.0051208995,3.1551977e-08
2019-01-20,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,78.5589,78.5589,78.941284,16.289423,0.006603703,0.006603703,0.0066568702,1.4627234e-07
2019-01-21,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,73.45952,73.45952,74.293625,12.111625,0.0066353157,0.0066353157,0.006566748,7.96862e-08
2019-01-22,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,68.66145,68.66145,67.96626,21.0345,0.0066414885,0.0066414885,0.0067314245,8.8362725e-08
2019-01-23,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,75.105484,75.105484,75.2798,8.926879,0.006957017,0.006957017,0.0069599077,1.11596506e-07
2019-01-24,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,70.83774,70.83774,70.286285,36.036068,0.0062345313,0.0062345313,0.006103878,1.0388085e-07
2019-01-25,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,72.57144,72.57144,73.4357,69.01582,0.0063599753,0.0063599753,0.0063153314,7.04217e-08
2019-01-26,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,69.260605,69.260605,70.075485,10.280016,0.0060302936,0.0060302936,0.0060078376,1.1184211e-07
2019-01-27,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,63.14308,63.14308,64.30281,18.668215,0.0055070147,0.0055070147,0.005509399,3.14585e-08
2019-01-28,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,65.714554,65.714554,66.47676,15.7471695,0.006148681,0.006148681,0.006181095,6.1836104e-08
2019-01-29,ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,60.033737,60.033737,59.73979,8.588177,0.0057110637,0.0057110637,0.0056952946,1.94049e-08
