Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,79.09463,79.09463,78.49187,38.291866,0.0073375073,0.0073375073,0.007294287,5.0019884e-07
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,79.03048,79.03048,87.460815,141.68137,0.006666956,0.006666956,0.007535263,1.5926124e-06
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,83.79562,83.79562,86.00743,24.747969,0.008174837,0.008174837,0.008436223,8.7266966e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,57.02703,57.02703,53.06935,41.390617,0.004709753,0.004709753,0.0046678446,3.063222e-08
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,60.63151,60.63151,57.833008,62.582928,0.0042888396,0.0042888396,0.004233606,6.8089186e-08
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,64.57056,64.57056,68.32468,151.56769,0.0044864863,0.0044864863,0.0047901254,7.6111706e-07
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,78.57661,78.57661,80.8967,86.27991,0.0048619695,0.0048619695,0.004831889,2.7321857e-07
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,55.82324,55.82324,48.45822,104.87935,0.003160448,0.003160448,0.0030241853,1.3077867e-07
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,57.519707,57.519707,54.67845,52.899742,0.0049654017,0.0049654017,0.0049705277,3.0026524e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,66.98347,66.98347,61.951996,98.96304,0.0068082977,0.0068082977,0.0062784655,6.0765984e-07
