Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,73.529236,73.529236,75.234055,78.74914,0.0042703464,0.0042703464,0.0042358534,1.2376232e-07
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,60.03571,60.03571,60.069214,18.550865,0.0041311686,0.0041311686,0.004048868,1.2598625e-07
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,84.35849,84.35849,83.93468,94.75661,0.0048456066,0.0048456066,0.004812737,1.0676975e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,74.11889,74.11889,75.25929,62.639153,0.0040066415,0.0040066415,0.003983941,1.909122e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,64.9055,64.9055,63.71045,30.390251,0.003116033,0.003116033,0.0031923729,1.1258331e-07
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,52.029118,52.029118,50.317352,29.320097,0.003112264,0.003112264,0.0030260666,1.8039684e-07
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,58.32154,58.32154,57.238983,53.401787,0.0028274534,0.0028274534,0.0028479486,8.7422976e-08
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,48.27929,48.27929,48.413788,8.800661,0.0023991736,0.0023991736,0.0024222082,1.0450957e-07
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,91.85291,91.85291,92.64964,23.973703,0.0062730536,0.0062730536,0.006090678,5.8478093e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,82.828606,82.828606,85.20297,114.88671,0.0062992265,0.0062992265,0.0061406,2.7898957e-07
2019-01-11,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,80.19687,80.19687,82.795425,46.479805,0.006068759,0.006068759,0.0059624985,5.131922e-07
2019-01-12,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,93.97827,93.97827,94.932556,29.10095,0.0052021774,0.0052021774,0.0050867563,6.0377283e-07
2019-01-13,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,65.77784,65.77784,64.542114,36.088985,0.004499319,0.004499319,0.004467128,5.0113442e-08
2019-01-14,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,67.13785,67.13785,65.37872,86.27048,0.004768941,0.004768941,0.004587573,2.0219068e-07
2019-01-15,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,46.362003,46.362003,46.76593,49.837204,0.0028231265,0.0028231265,0.0029117495,2.1631962e-07
2019-01-16,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,44.601337,44.601337,44.06186,48.111267,0.0028783428,0.0028783428,0.0027742572,1.2146903e-07
2019-01-17,ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,64.255646,64.255646,63.396606,59.621765,0.004790056,0.004790056,0.004736075,6.9781215e-08
