Date,City,r_mean,r_average,r_median,r_var,q_mean,q_average,q_median,q_var
2019-01-01,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,84.567215,84.567215,85.97722,44.03245,0.004342312,0.004342312,0.0043880837,2.6436828e-07
2019-01-02,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,61.844486,61.844486,60.656128,17.060776,0.0037689314,0.0037689314,0.0038197478,6.321627e-08
2019-01-03,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,93.96516,93.96516,94.10118,14.833828,0.0041836267,0.0041836267,0.004076858,4.0997892e-07
2019-01-04,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,87.94541,87.94541,89.61427,41.073746,0.0038244105,0.0038244105,0.0038929845,4.4892369e-07
2019-01-05,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,75.31539,75.31539,75.37109,15.368614,0.0030149391,0.0030149391,0.0031455832,2.3424272e-07
2019-01-06,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,48.735966,48.735966,47.206512,24.307981,0.0025753602,0.0025753602,0.002599178,1.1151783e-07
2019-01-07,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,74.851974,74.851974,69.48459,140.77754,0.0029964712,0.0029964712,0.002872446,4.2548263e-07
2019-01-08,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,57.134785,57.134785,54.533417,60.758266,0.0023390658,0.0023390658,0.0022657162,2.465049e-07
2019-01-09,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,88.59267,88.59267,89.40404,66.33277,0.0051300055,0.0051300055,0.005017973,5.97192e-07
2019-01-10,ΠΕΡΙΦΕΡΕΙΑ ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,76.630516,76.630516,73.90512,109.043846,0.005879329,0.005879329,0.0056683524,4.6605913e-07
